data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,42.8,21.3,27.797,0.0,95.0,12.0,61.78,13.3,2.414
2010-01-10,39.5,19.7,27.153,17.914,100.0,8.0,64.997,15.2,2.494
2010-01-17,38.4,20.1,27.242,17.286,100.0,7.0,65.21,21.2,2.477
2010-01-24,39.2,20.4,26.534,38.457,100.0,7.0,69.386,15.4,2.195
2010-01-31,39.1,18.7,26.916,14.543,100.0,7.0,66.579,13.6,2.504
2010-02-07,37.6,20.9,27.223,11.971,100.0,13.0,66.579,15.1,2.745
2010-02-14,38.1,20.1,27.333,14.714,100.0,7.0,65.224,15.3,2.435
2010-02-21,38.8,20.3,26.986,37.971,100.0,9.0,69.058,14.1,2.205
2010-02-28,39.8,19.9,27.542,11.543,100.0,7.0,67.082,14.4,2.265
2010-03-07,40.1,19.4,27.443,8.0,100.0,9.0,66.642,16.5,2.256
2010-03-14,39.0,19.2,27.501,29.143,100.0,7.0,66.724,18.3,2.201
2010-03-21,37.4,19.5,27.264,12.457,100.0,12.0,68.099,15.4,1.997
2010-03-28,38.5,19.7,27.101,23.371,100.0,14.0,69.855,15.1,1.938
2010-04-04,37.9,19.4,26.986,22.143,100.0,19.0,70.609,14.3,1.802
2010-04-11,37.4,19.3,26.924,14.829,100.0,19.0,71.345,12.6,1.863
2010-04-18,37.2,19.4,26.58,22.286,100.0,16.0,71.814,16.9,1.677
2010-04-25,36.0,18.5,26.245,42.657,100.0,14.0,74.454,14.3,1.628
2010-05-02,36.2,18.6,26.091,35.857,100.0,21.0,74.979,13.6,1.656
2010-05-09,35.5,19.3,25.745,30.029,100.0,25.0,75.345,12.1,1.538
2010-05-16,36.0,18.0,25.509,23.629,100.0,25.0,76.476,12.3,1.443
2010-05-23,36.4,18.8,25.559,45.286,100.0,26.0,77.196,11.7,1.432
2010-05-30,33.6,18.9,25.046,63.286,100.0,33.0,81.585,12.9,1.286
2010-06-06,35.2,19.4,24.891,52.4,100.0,34.0,80.095,12.3,1.342
2010-06-13,36.2,18.5,24.694,35.543,100.0,21.0,78.922,13.8,1.342
2010-06-20,33.8,18.1,24.136,51.314,100.0,28.0,81.271,13.4,1.407
2010-06-27,32.1,17.6,23.724,70.457,100.0,21.0,82.904,20.4,1.466
2010-07-04,32.6,16.7,23.296,67.857,100.0,25.0,81.831,13.8,1.295
2010-07-11,32.4,17.2,23.261,45.429,100.0,26.0,81.636,14.0,1.407
2010-07-18,33.4,15.6,23.132,39.314,100.0,24.0,79.938,14.2,1.454
2010-07-25,32.6,16.0,23.0,49.486,100.0,22.0,79.838,13.2,1.512
2010-08-01,31.9,16.3,22.764,43.2,100.0,19.0,80.448,14.7,1.509
2010-08-08,32.5,15.4,22.918,22.2,100.0,22.0,76.454,14.3,1.593
2010-08-15,34.7,16.6,23.322,25.314,100.0,17.0,74.935,13.5,1.653
2010-08-22,35.6,16.3,23.33,38.514,100.0,14.0,77.064,14.0,1.83
2010-08-29,35.0,16.8,23.471,19.771,100.0,9.0,76.188,15.3,1.771
2010-09-05,33.7,16.0,23.668,22.286,100.0,12.0,74.489,13.5,1.897
2010-09-12,34.3,15.9,23.903,10.486,100.0,12.0,72.669,14.1,2.065
2010-09-19,35.6,16.5,23.952,21.314,100.0,13.0,74.215,13.4,2.175
2010-09-26,37.8,17.3,24.199,13.857,100.0,21.0,73.946,15.0,2.184
2010-10-03,36.4,18.2,24.809,5.629,100.0,17.0,72.807,12.1,2.271
2010-10-10,40.6,18.2,25.121,3.6,100.0,18.0,70.224,12.2,2.351
2010-10-17,37.6,18.6,25.059,23.457,100.0,15.0,71.877,12.9,2.585
2010-10-24,37.2,18.2,25.41,17.543,100.0,11.0,72.135,24.9,2.658
2010-10-31,37.5,19.3,25.64,5.629,100.0,10.0,70.117,13.3,2.793
2010-11-07,38.2,18.5,25.954,10.543,97.0,10.0,69.086,14.4,2.788
2010-11-14,36.8,19.2,25.961,1.343,100.0,15.0,68.471,14.9,3.101
2010-11-21,37.0,18.5,26.086,1.343,100.0,18.0,67.467,16.3,3.05
2010-11-28,37.0,18.3,26.5,0.429,97.0,15.0,66.66,14.4,3.029
2010-12-05,37.0,19.3,26.753,1.486,100.0,14.0,65.8,15.6,2.936
2010-12-12,41.1,19.4,27.478,7.057,100.0,11.0,63.472,15.3,3.074
2010-12-19,39.3,18.4,26.856,9.629,100.0,10.0,66.075,13.6,2.709
2010-12-26,37.5,19.2,26.639,20.886,100.0,17.0,68.299,13.2,2.536
2011-01-02,39.2,19.7,26.993,0.714,100.0,9.0,67.219,13.6,2.704
2011-01-09,38.4,18.8,26.971,6.6,100.0,18.0,68.262,13.2,2.575
2011-01-16,37.8,19.9,26.639,10.657,100.0,20.0,70.361,15.4,2.351
2011-01-23,37.4,19.6,26.673,22.886,100.0,22.0,70.48,13.4,2.184
2011-01-30,38.5,19.6,26.825,9.486,100.0,16.0,69.389,13.8,2.245
2011-02-06,38.3,19.9,27.023,9.314,100.0,21.0,69.699,13.9,2.349
2011-02-13,38.1,20.4,27.202,6.371,100.0,22.0,68.341,16.0,2.256
2011-02-20,37.2,19.4,26.945,29.743,100.0,18.0,70.642,14.1,2.108
2011-02-27,37.8,20.5,27.103,16.714,100.0,12.0,70.984,12.1,2.08
2011-03-06,38.7,20.2,27.241,7.486,100.0,13.0,68.969,15.7,2.261
2011-03-13,38.4,20.7,27.469,1.714,100.0,11.0,68.129,13.0,2.217
2011-03-20,38.2,20.1,27.102,7.771,100.0,14.0,70.304,20.0,1.952
2011-03-27,38.3,20.7,27.383,6.857,100.0,13.0,70.201,13.5,1.947
2011-04-03,39.1,21.0,26.86,14.057,100.0,19.0,72.183,14.7,1.718
2011-04-10,38.4,20.4,26.999,25.343,100.0,19.0,72.099,13.7,1.781
2011-04-17,37.6,19.6,26.809,38.514,100.0,22.0,72.295,14.2,1.576
2011-04-24,37.3,20.5,26.261,59.4,100.0,19.0,74.119,11.9,1.386
2011-05-01,36.4,17.8,25.594,44.4,100.0,20.0,77.098,13.3,1.296
2011-05-08,36.1,18.6,25.268,48.743,100.0,16.0,78.139,12.3,1.233
2011-05-15,37.0,18.9,25.219,25.257,100.0,22.0,77.069,10.8,1.103
2011-05-22,39.0,19.0,25.459,21.829,100.0,17.0,77.406,14.7,1.16
2011-05-29,33.1,18.0,24.546,59.829,100.0,22.0,80.858,11.9,1.229
2011-06-05,33.7,18.2,24.677,42.086,100.0,22.0,78.815,12.5,1.293
2011-06-12,33.7,18.2,24.355,22.8,100.0,24.0,80.136,13.4,1.346
2011-06-19,32.8,18.1,23.72,31.429,100.0,28.0,81.746,12.5,1.335
2011-06-26,33.7,17.5,23.726,44.086,100.0,30.0,82.374,12.8,1.529
2011-07-03,31.7,16.6,23.349,30.057,100.0,32.0,82.058,14.1,1.425
2011-07-10,31.1,17.1,22.969,24.829,100.0,37.0,84.68,13.4,1.42
2011-07-17,32.3,16.4,23.098,37.343,100.0,41.0,82.756,12.1,1.536
2011-07-24,30.3,16.3,22.659,34.086,100.0,39.0,82.804,12.7,1.537
2011-07-31,31.0,17.2,22.749,48.229,100.0,35.0,83.227,14.3,1.762
2011-08-07,31.5,15.5,22.833,16.971,100.0,33.0,80.759,13.7,1.568
2011-08-14,32.2,16.1,22.961,12.771,100.0,36.0,78.899,11.9,1.608
2011-08-21,31.9,16.4,22.935,21.457,100.0,36.0,80.492,13.7,1.772
2011-08-28,32.0,16.4,22.924,37.886,100.0,38.0,81.016,15.1,1.802
2011-09-04,32.7,17.1,23.322,18.057,100.0,31.0,79.247,13.3,1.959
2011-09-11,33.0,15.6,23.234,25.429,100.0,24.0,78.552,14.1,1.845
2011-09-18,34.5,17.4,23.635,17.686,100.0,29.0,77.394,14.8,2.052
2011-09-25,35.1,16.7,24.072,11.257,100.0,27.0,76.651,13.5,2.088
2011-10-02,36.0,18.0,24.572,7.457,100.0,28.0,75.402,11.8,2.121
2011-10-09,35.2,17.9,24.923,19.714,100.0,27.0,74.508,14.1,2.41
2011-10-16,35.5,18.3,24.879,15.286,100.0,27.0,75.552,14.2,2.325
2011-10-23,37.8,17.6,25.661,15.286,100.0,29.0,72.979,13.6,2.637
2011-10-30,39.0,18.7,25.876,7.086,100.0,24.0,73.097,12.2,2.372
2011-11-06,40.4,19.0,26.332,17.257,100.0,16.0,70.9,16.1,2.621
2011-11-13,40.8,17.5,26.192,16.171,100.0,16.0,70.683,13.3,2.979
2011-11-20,40.2,19.2,26.459,2.543,100.0,17.0,70.163,14.5,2.993
2011-11-27,38.9,18.5,26.54,2.857,100.0,19.0,70.068,13.3,2.902
2011-12-04,38.4,18.4,26.594,25.286,100.0,23.0,69.336,16.8,2.914
2011-12-11,40.5,19.6,27.164,7.743,100.0,21.0,68.024,17.9,2.975
2011-12-18,38.6,20.0,26.805,8.6,100.0,19.0,70.0,14.7,2.971
2011-12-25,37.2,19.8,26.369,15.029,100.0,26.0,73.299,12.9,2.823
2012-01-01,38.7,19.4,26.579,3.229,100.0,24.0,71.175,15.0,3.002
2012-01-08,40.0,19.4,26.677,5.286,100.0,22.0,68.871,14.6,3.09
2012-01-15,37.0,20.5,26.553,8.571,100.0,26.0,70.807,19.0,3.058
2012-01-22,37.3,19.8,26.384,32.171,100.0,24.0,70.952,16.8,2.801
2012-01-29,37.5,19.4,26.212,16.857,100.0,25.0,71.779,14.6,2.755
2012-02-05,39.0,20.2,26.593,5.571,100.0,21.0,72.07,14.0,2.762
2012-02-12,38.8,20.4,26.829,6.971,100.0,23.0,71.066,13.1,2.89
2012-02-19,37.1,19.6,26.711,13.514,100.0,28.0,71.841,16.1,2.775
2012-02-26,37.6,19.9,26.806,15.0,100.0,27.0,73.072,15.1,2.622
2012-03-04,37.7,20.0,27.241,2.0,100.0,24.0,69.117,14.2,2.739
2012-03-11,40.4,20.5,27.539,32.886,100.0,19.0,69.571,14.4,2.596
2012-03-18,39.3,19.7,27.261,9.229,100.0,14.0,70.08,15.3,2.558
2012-03-25,38.9,20.3,27.396,19.114,100.0,22.0,70.385,16.8,2.462
2012-04-01,38.8,20.4,27.032,12.514,100.0,22.0,71.29,13.4,2.396
2012-04-08,39.9,20.8,27.255,26.571,100.0,20.0,71.866,14.6,2.292
2012-04-15,40.0,20.9,26.436,55.829,100.0,17.0,75.73,13.5,1.971
2012-04-22,39.4,20.9,26.42,26.971,100.0,24.0,75.39,12.5,2.017
2012-04-29,35.1,18.4,26.017,25.914,100.0,27.0,77.59,13.6,1.971
2012-05-06,34.8,19.8,25.521,56.714,100.0,31.0,80.285,15.7,1.956
2012-05-13,35.9,18.5,25.374,18.286,100.0,33.0,79.332,12.1,1.771
2012-05-20,34.5,19.7,25.323,15.8,100.0,33.0,80.821,15.4,1.736
2012-05-27,34.9,19.1,24.987,80.771,100.0,35.0,82.516,14.0,1.839
2012-06-03,33.2,17.8,24.867,32.771,100.0,38.0,80.544,12.8,1.797
2012-06-10,33.3,17.7,24.438,49.4,100.0,34.0,81.635,15.2,1.685
2012-06-17,32.3,17.8,23.676,43.6,100.0,33.0,84.874,13.9,1.704
2012-06-24,32.6,16.9,23.695,62.971,100.0,33.0,84.033,12.8,1.725
2012-07-01,32.6,16.7,23.283,86.057,100.0,31.0,83.283,14.5,1.64
2012-07-08,31.9,17.2,23.268,41.914,100.0,39.0,83.98,13.3,1.736
2012-07-15,33.1,17.1,23.242,51.057,100.0,30.0,83.977,13.4,1.738
2012-07-22,31.9,16.1,22.863,40.886,100.0,30.0,83.632,12.4,1.707
2012-07-29,31.8,17.0,22.949,32.657,100.0,33.0,83.63,14.2,1.87
2012-08-05,33.2,16.4,22.876,27.914,100.0,28.0,81.481,14.3,1.847
2012-08-12,37.0,16.2,23.16,14.543,100.0,22.0,79.908,14.0,1.86
2012-08-19,34.8,16.4,22.936,28.229,100.0,28.0,81.077,13.7,1.946
2012-08-26,33.5,17.0,22.951,28.457,100.0,30.0,81.884,12.9,2.077
2012-09-02,32.4,16.7,23.428,17.2,99.0,35.0,77.995,12.4,2.177
2012-09-09,34.7,15.8,23.521,22.657,99.0,32.0,77.932,12.6,2.192
2012-09-16,34.1,16.9,23.726,21.086,99.0,27.0,78.008,12.6,2.285
2012-09-23,34.8,15.8,24.093,26.971,100.0,29.0,76.253,13.4,2.433
2012-09-30,36.8,17.0,24.812,13.114,100.0,25.0,74.253,13.2,2.669
2012-10-07,38.9,17.7,25.095,19.629,100.0,18.0,73.231,14.3,2.571
2012-10-14,36.5,17.2,24.851,28.971,99.0,16.0,75.717,13.8,2.589
2012-10-21,40.2,18.9,25.788,9.057,98.0,17.0,72.474,14.4,2.756
2012-10-28,39.7,18.8,25.777,16.571,99.0,21.0,72.386,12.5,2.77
