data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,34.5,21.3,26.027,183.4,98.0,39.0,83.461,11.5,1.052
2010-01-10,35.1,20.9,26.195,197.714,99.0,36.0,82.938,16.9,0.983
2010-01-17,35.4,21.2,26.005,135.143,99.0,36.0,83.361,20.7,0.996
2010-01-24,34.8,21.2,25.912,209.486,98.0,28.0,84.171,14.3,0.979
2010-01-31,35.6,21.3,26.233,167.571,98.0,10.0,82.595,15.7,1.065
2010-02-07,34.1,21.3,26.136,174.543,99.0,30.0,83.233,13.1,1.064
2010-02-14,36.0,20.8,25.899,221.686,98.0,23.0,84.045,20.0,1.014
2010-02-21,35.0,20.8,26.172,161.4,99.0,31.0,82.893,15.3,1.102
2010-02-28,35.1,20.7,25.846,197.771,98.0,37.0,84.686,16.0,1.059
2010-03-07,35.6,21.2,26.364,154.629,98.0,38.0,82.482,14.8,1.041
2010-03-14,35.2,20.8,26.319,121.429,97.0,31.0,82.88,17.7,0.965
2010-03-21,35.0,21.4,26.315,203.286,98.0,34.0,83.274,17.1,0.943
2010-03-28,34.7,21.4,26.454,178.8,98.0,33.0,82.198,16.6,0.92
2010-04-04,35.5,19.5,26.371,164.771,100.0,13.0,83.151,13.7,0.936
2010-04-11,34.9,20.4,26.524,184.486,100.0,46.0,83.808,15.4,0.898
2010-04-18,35.0,21.7,26.373,157.829,98.0,47.0,83.811,16.0,0.872
2010-04-25,34.8,21.1,26.406,161.657,98.0,46.0,84.12,14.4,0.806
2010-05-02,35.4,17.1,26.227,156.343,98.0,46.0,84.032,19.9,0.856
2010-05-09,34.8,19.2,26.424,141.629,98.0,40.0,84.112,41.2,0.816
2010-05-16,34.9,20.4,26.529,101.343,98.0,44.0,83.788,16.0,0.786
2010-05-23,34.7,21.0,26.354,139.343,98.0,34.0,83.021,14.5,0.765
2010-05-30,34.9,18.4,26.699,80.829,98.0,40.0,81.908,13.7,0.827
2010-06-06,34.2,18.9,26.645,56.571,99.0,11.0,81.014,16.1,0.784
2010-06-13,35.4,15.3,26.195,79.514,99.0,10.0,80.19,13.8,0.846
2010-06-20,35.1,19.3,26.633,64.0,100.0,10.0,79.335,14.3,0.802
2010-06-27,35.2,14.4,26.551,45.771,100.0,10.0,78.315,18.0,0.841
2010-07-04,36.1,18.5,26.744,48.029,100.0,10.0,76.973,14.9,0.822
2010-07-11,35.1,14.6,26.683,43.543,100.0,11.0,77.931,15.3,0.879
2010-07-18,35.2,16.5,26.514,56.943,99.0,10.0,78.107,14.7,0.875
2010-07-25,36.0,11.2,26.529,25.114,99.0,11.0,74.545,15.2,0.981
2010-08-01,37.0,13.9,27.111,27.257,100.0,13.0,73.453,18.2,0.823
2010-08-08,37.0,15.4,27.363,20.829,100.0,21.0,72.993,14.5,0.897
2010-08-15,38.1,16.8,27.456,37.0,99.0,20.0,73.165,19.8,0.939
2010-08-22,38.6,16.6,27.334,38.343,100.0,20.0,74.046,19.2,0.9
2010-08-29,38.6,17.0,27.505,41.571,100.0,26.0,72.719,20.8,0.96
2010-09-05,38.0,14.4,27.656,37.286,99.0,27.0,74.133,19.0,0.891
2010-09-12,37.7,19.5,27.605,57.314,100.0,23.0,74.962,21.3,0.916
2010-09-19,37.9,18.7,27.936,40.743,100.0,31.0,73.919,19.9,0.977
2010-09-26,38.3,19.3,28.122,30.6,100.0,27.0,73.25,20.0,1.03
2010-10-03,37.8,18.9,28.052,72.286,100.0,27.0,73.108,20.5,1.13
2010-10-10,39.5,19.7,27.944,53.371,100.0,29.0,74.061,19.0,1.085
2010-10-17,37.2,20.1,27.307,107.514,100.0,30.0,77.252,24.2,0.993
2010-10-24,38.2,20.2,27.319,110.143,100.0,27.0,77.541,17.8,1.013
2010-10-31,37.1,21.2,27.553,118.714,100.0,30.0,76.926,16.9,1.026
2010-11-07,36.6,16.2,27.129,127.971,100.0,29.0,78.012,19.6,1.086
2010-11-14,36.5,21.0,27.305,96.657,100.0,24.0,78.838,19.0,1.037
2010-11-21,36.8,21.0,27.012,132.657,100.0,32.0,79.739,15.7,1.037
2010-11-28,36.3,21.2,27.07,135.114,100.0,33.0,79.878,16.4,1.036
2010-12-05,36.1,20.9,27.308,112.314,100.0,34.0,78.973,16.3,1.022
2010-12-12,35.6,21.4,26.933,168.029,100.0,39.0,80.57,16.0,0.999
2010-12-19,36.8,21.7,26.535,181.857,100.0,32.0,81.862,15.4,1.009
2010-12-26,34.8,20.8,26.208,184.829,100.0,40.0,83.408,16.3,1.004
2011-01-02,34.5,21.0,26.233,200.971,100.0,40.0,83.254,17.2,0.995
2011-01-09,35.2,21.4,26.348,152.286,100.0,36.0,82.544,17.6,0.964
2011-01-16,36.4,21.3,26.279,142.914,100.0,45.0,82.187,18.3,1.022
2011-01-23,35.7,20.8,26.168,218.4,100.0,39.0,83.984,17.8,0.935
2011-01-30,36.0,21.2,26.461,151.829,100.0,42.0,82.535,15.5,1.043
2011-02-06,34.8,20.8,26.263,176.114,100.0,42.0,83.356,16.1,1.037
2011-02-13,36.6,20.4,26.302,196.2,100.0,37.0,82.751,16.1,1.033
2011-02-20,36.6,20.7,26.247,163.143,100.0,42.0,83.214,15.4,1.029
2011-02-27,35.2,20.7,26.1,198.0,100.0,41.0,83.676,15.7,1.006
2011-03-06,43.1,20.6,26.383,192.343,100.0,28.0,82.981,17.9,0.99
2011-03-13,35.1,20.8,26.594,195.886,100.0,42.0,82.63,14.7,0.99
2011-03-20,35.2,21.0,26.454,177.114,100.0,45.0,83.345,16.8,0.996
2011-03-27,34.7,21.4,26.444,203.657,100.0,41.0,83.293,16.5,0.996
2011-04-03,35.4,21.0,26.353,223.657,100.0,41.0,84.28,18.0,0.937
2011-04-10,35.2,21.5,26.542,147.8,100.0,43.0,84.009,15.9,0.908
2011-04-17,35.2,21.5,26.235,144.943,100.0,43.0,84.497,17.8,0.927
2011-04-24,35.7,17.4,26.226,160.971,100.0,34.0,84.539,15.8,0.813
2011-05-01,34.8,19.4,26.392,212.543,100.0,41.0,84.5,16.5,0.858
2011-05-08,34.5,20.7,26.295,195.257,100.0,44.0,84.373,14.4,0.863
2011-05-15,34.7,16.9,26.423,116.057,100.0,38.0,84.099,12.8,0.874
2011-05-22,34.8,18.0,26.429,111.829,100.0,46.0,83.848,14.9,0.847
2011-05-29,34.9,18.6,26.542,111.429,100.0,45.0,82.975,14.3,0.886
2011-06-05,34.8,15.0,26.588,80.457,100.0,39.0,82.509,16.0,0.826
2011-06-12,34.4,16.2,26.614,70.257,98.0,39.0,81.58,20.3,0.865
2011-06-19,34.4,14.3,26.464,82.971,100.0,38.0,80.791,17.8,0.841
2011-06-26,35.1,15.9,26.54,54.029,98.0,12.0,79.81,16.4,0.84
2011-07-03,34.9,18.4,26.453,45.114,100.0,33.0,78.854,13.3,0.867
2011-07-10,35.8,16.3,26.428,82.6,99.0,29.0,78.828,15.7,0.879
2011-07-17,36.7,13.9,26.459,50.743,98.0,31.0,77.836,15.8,0.905
2011-07-24,37.1,13.3,26.638,45.714,98.0,17.0,74.66,16.9,0.964
2011-07-31,37.3,11.3,26.599,25.2,98.0,12.0,71.524,13.4,0.949
2011-08-07,38.3,15.9,27.118,19.486,98.0,10.0,70.525,17.8,0.975
2011-08-14,37.7,13.2,27.245,46.886,99.0,10.0,70.526,13.8,0.961
2011-08-21,38.6,14.6,27.384,58.457,98.0,11.0,70.274,17.4,0.929
2011-08-28,38.3,13.0,26.93,51.371,99.0,15.0,70.873,16.0,1.01
2011-09-04,39.1,14.3,27.292,81.714,98.0,11.0,72.163,41.1,0.911
2011-09-11,38.0,13.3,27.488,84.914,98.0,10.0,72.162,20.2,0.882
2011-09-18,38.8,20.1,27.634,117.886,98.0,10.0,74.467,24.5,0.906
2011-09-25,38.0,17.6,27.663,71.4,98.0,10.0,73.943,19.5,0.928
2011-10-02,38.6,15.4,27.689,81.114,98.0,10.0,73.167,17.2,0.921
2011-10-09,38.5,20.4,27.529,88.143,99.0,10.0,75.171,21.1,0.957
2011-10-16,37.6,19.6,27.209,140.6,99.0,10.0,76.358,21.8,0.895
2011-10-23,37.7,20.1,27.291,131.686,99.0,16.0,76.376,21.5,0.993
2011-10-30,38.3,20.8,27.22,144.457,98.0,31.0,77.539,19.7,0.989
2011-11-06,37.2,15.0,27.067,136.429,98.0,20.0,78.361,23.7,1.007
2011-11-13,37.5,17.5,27.1,124.2,99.0,23.0,79.753,17.5,0.92
2011-11-20,36.8,21.2,26.832,176.6,100.0,31.0,81.448,19.9,0.938
2011-11-27,36.3,20.7,27.035,199.171,100.0,36.0,81.07,14.8,0.932
2011-12-04,39.3,20.8,27.203,120.771,100.0,37.0,80.55,15.2,0.959
2011-12-11,36.5,19.7,26.957,154.857,100.0,35.0,80.9,15.2,0.931
2011-12-18,37.1,20.5,26.556,235.971,100.0,31.0,82.788,14.5,0.909
2011-12-25,36.0,20.7,26.435,284.029,100.0,36.0,82.318,15.3,0.906
2012-01-01,36.0,20.9,26.162,275.171,100.0,37.0,83.501,14.7,0.864
2012-01-08,36.6,21.3,26.362,283.457,100.0,38.0,82.546,15.6,0.884
2012-01-15,36.7,19.9,26.061,247.486,100.0,37.0,82.608,15.2,0.968
2012-01-22,37.2,20.2,25.984,262.857,100.0,37.0,84.385,18.3,0.928
2012-01-29,37.0,20.6,26.184,196.4,100.0,42.0,83.154,16.4,0.966
2012-02-05,35.1,21.3,26.179,260.686,100.0,43.0,84.07,15.9,0.974
2012-02-12,35.1,20.3,26.353,255.0,100.0,42.0,83.377,17.1,0.949
2012-02-19,33.9,20.3,26.131,225.543,100.0,44.0,84.061,17.6,0.979
2012-02-26,35.0,20.9,26.306,202.943,100.0,37.0,83.238,18.8,0.971
2012-03-04,35.5,21.2,26.28,193.4,100.0,42.0,83.22,16.3,0.925
2012-03-11,34.7,16.8,26.188,200.571,100.0,43.0,83.803,18.0,0.924
2012-03-18,36.0,20.4,26.439,181.0,100.0,46.0,83.452,16.6,0.977
2012-03-25,34.6,20.1,26.143,223.286,100.0,42.0,83.94,14.0,0.995
2012-04-01,35.0,17.5,26.411,180.686,100.0,37.0,83.029,15.2,0.996
2012-04-08,36.0,12.3,26.479,182.657,100.0,23.0,82.782,16.2,0.953
2012-04-15,34.8,17.1,26.495,212.886,100.0,33.0,82.742,15.5,0.964
2012-04-22,35.3,19.7,26.478,174.771,100.0,32.0,83.405,16.6,0.9
2012-04-29,34.9,20.5,26.62,211.371,100.0,40.0,83.478,16.7,0.852
2012-05-06,36.0,19.4,26.446,184.514,100.0,34.0,83.655,19.5,0.911
2012-05-13,36.2,15.1,26.517,134.943,100.0,32.0,82.972,18.1,0.842
2012-05-20,36.6,15.9,26.714,120.771,100.0,33.0,82.101,13.5,0.831
2012-05-27,35.8,15.8,26.724,93.057,100.0,37.0,81.65,14.7,0.881
2012-06-03,35.3,19.8,26.862,125.029,100.0,38.0,81.139,15.5,0.838
2012-06-10,34.3,18.4,26.687,106.629,100.0,41.0,81.507,15.9,0.85
2012-06-17,35.1,18.4,26.721,82.229,100.0,41.0,80.997,16.3,0.858
2012-06-24,35.3,18.3,26.705,79.314,100.0,39.0,80.575,16.0,0.819
2012-07-01,35.2,15.1,26.722,80.771,100.0,32.0,78.599,39.0,0.932
2012-07-08,35.3,16.2,26.475,89.343,100.0,17.0,79.397,15.0,0.924
2012-07-15,35.9,17.1,26.524,78.686,100.0,32.0,78.497,17.1,0.899
2012-07-22,35.7,13.2,26.496,90.343,100.0,26.0,77.782,18.2,0.913
2012-07-29,36.4,14.3,26.763,46.829,100.0,22.0,75.773,18.9,0.974
2012-08-05,36.6,9.6,26.858,64.429,100.0,17.0,73.927,16.7,0.879
2012-08-12,37.6,12.4,27.059,49.286,100.0,19.0,73.376,17.4,0.924
2012-08-19,37.4,15.1,27.349,49.314,100.0,19.0,74.019,14.5,0.946
2012-08-26,38.7,12.6,27.301,54.771,100.0,21.0,72.881,23.6,0.993
2012-09-02,43.2,18.0,27.273,80.6,100.0,28.0,75.048,19.3,0.958
2012-09-09,37.0,18.4,27.501,72.486,100.0,21.0,74.936,17.3,0.946
2012-09-16,38.0,20.2,27.613,76.771,100.0,28.0,75.388,17.0,0.984
2012-09-23,37.7,19.5,27.718,63.4,100.0,21.0,75.216,19.8,1.011
2012-09-30,38.3,19.8,27.573,93.6,100.0,26.0,75.779,19.1,1.002
2012-10-07,38.5,18.4,27.472,115.514,100.0,28.0,76.211,21.7,0.986
2012-10-14,37.6,20.6,27.463,117.429,100.0,32.0,76.415,18.5,0.981
2012-10-21,37.2,20.6,27.362,131.914,100.0,31.0,77.733,19.0,0.978
2012-10-28,38.4,21.0,27.299,135.571,100.0,12.0,77.785,21.5,1.028
2012-11-04,36.9,16.4,27.058,152.0,100.0,32.0,78.635,39.0,1.007
2012-11-11,37.1,19.1,27.062,176.486,100.0,29.0,78.908,22.0,1.001
2012-11-18,36.9,20.4,26.728,212.714,100.0,32.0,81.095,17.4,0.965
2012-11-25,36.5,20.8,26.944,216.829,100.0,14.0,78.664,13.1,1.005
2012-12-02,35.9,20.4,26.889,197.257,100.0,10.0,79.055,15.8,0.945
2012-12-09,35.4,19.1,26.806,168.943,100.0,10.0,79.652,16.4,0.918
2012-12-16,35.5,20.3,26.435,206.629,100.0,16.0,80.594,17.3,0.929
2012-12-23,35.5,20.0,26.352,272.0,100.0,24.0,80.785,15.9,0.935
2012-12-30,36.2,20.4,26.196,278.171,100.0,12.0,81.773,18.9,0.931
2013-01-06,35.4,20.8,26.325,282.771,100.0,10.0,80.992,18.2,0.943
2013-01-13,36.1,19.7,26.387,264.914,100.0,10.0,80.637,16.7,0.965
2013-01-20,35.9,20.2,26.204,263.971,100.0,10.0,82.352,19.0,0.889
2013-01-27,35.9,20.7,26.276,230.743,100.0,10.0,81.552,18.9,0.883
2013-02-03,35.4,21.4,26.34,204.2,100.0,10.0,81.255,15.7,0.932
