data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,27.9,22.0,24.396,52.4,100.0,84.0,95.25,8.5,0.725
2010-01-10,30.8,21.6,25.032,14.0,100.0,55.0,91.048,10.2,1.181
2010-01-17,31.5,22.1,24.826,29.971,100.0,58.0,93.1,10.8,0.923
2010-01-24,30.8,21.5,24.957,29.886,100.0,62.0,91.53,11.1,1.102
2010-01-31,31.7,21.5,25.022,21.0,100.0,57.0,91.012,10.4,1.118
2010-02-07,31.5,20.9,25.333,16.886,100.0,53.0,90.283,11.1,1.232
2010-02-14,32.3,20.8,25.311,18.914,100.0,47.0,89.497,11.5,1.221
2010-02-21,31.2,20.3,25.184,40.114,100.0,57.0,90.967,12.1,1.143
2010-02-28,32.8,20.7,25.636,9.714,100.0,51.0,88.554,11.0,1.215
2010-03-07,32.9,20.5,25.437,16.029,100.0,53.0,88.0,10.3,1.181
2010-03-14,32.5,21.0,25.733,6.971,100.0,53.0,87.777,10.8,1.186
2010-03-21,32.8,20.3,25.762,10.086,100.0,48.0,87.193,12.1,1.222
2010-03-28,32.1,21.3,25.387,24.657,100.0,54.0,89.199,14.1,1.163
2010-04-04,32.7,21.3,25.601,13.314,100.0,53.0,89.61,11.5,1.095
2010-04-11,33.4,22.0,25.38,25.857,100.0,52.0,90.854,10.1,1.036
2010-04-18,33.9,23.0,25.823,17.857,100.0,50.0,90.759,8.7,0.959
2010-04-25,32.8,22.7,25.488,40.114,100.0,59.0,92.875,8.7,0.838
2010-05-02,31.9,21.6,25.569,31.943,100.0,55.0,89.792,11.8,1.027
2010-05-09,32.8,22.9,25.497,36.114,100.0,59.0,93.384,10.0,0.787
2010-05-16,32.0,23.1,25.585,43.8,100.0,58.0,93.205,9.1,0.862
2010-05-23,32.1,22.6,25.466,30.543,100.0,63.0,92.991,8.0,0.771
2010-05-30,32.0,22.7,25.451,34.2,100.0,58.0,93.327,19.0,0.767
2010-06-06,33.0,21.4,25.945,16.143,100.0,51.0,89.226,8.0,0.853
2010-06-13,33.4,22.3,25.64,24.143,100.0,47.0,90.152,8.1,0.801
2010-06-20,33.5,22.1,25.427,24.571,100.0,53.0,90.985,10.8,0.792
2010-06-27,33.1,21.7,25.462,21.629,100.0,54.0,90.19,9.8,0.798
2010-07-04,32.5,22.7,25.288,15.914,100.0,52.0,91.119,8.6,0.842
2010-07-11,33.1,22.3,25.632,6.543,97.0,51.0,87.827,11.0,0.841
2010-07-18,32.7,21.7,25.564,3.857,97.0,49.0,87.226,9.5,0.823
2010-07-25,32.8,21.9,25.139,9.143,97.0,52.0,89.119,8.8,0.846
2010-08-01,32.6,22.2,25.416,4.114,97.0,55.0,89.155,10.6,0.87
2010-08-08,33.0,22.3,25.699,3.457,97.0,52.0,87.554,11.3,0.821
2010-08-15,33.3,21.7,25.829,2.057,97.0,50.0,84.994,9.3,0.979
2010-08-22,33.3,21.4,25.242,10.4,97.0,48.0,88.423,8.9,0.956
2010-08-29,33.4,21.8,26.127,1.743,97.0,49.0,83.851,7.8,0.946
2010-09-05,34.3,21.1,26.244,1.657,97.0,46.0,82.786,7.5,0.918
2010-09-12,34.6,21.5,26.617,0.971,97.0,45.0,82.304,7.4,0.925
2010-09-19,34.7,21.0,26.896,0.057,97.0,43.0,79.107,7.1,1.014
2010-09-26,34.7,21.4,27.504,0.0,97.0,38.0,77.387,9.2,1.221
2010-10-03,35.1,25.6,28.156,0.0,94.0,41.0,80.317,6.0,0.987
2010-10-10,37.3,20.7,27.411,121.543,100.0,9.0,71.402,26.1,1.383
2010-10-17,26.9,23.1,29.15,0.0,96.0,88.0,74.25,0.0,0.925
2010-10-24,38.0,18.5,27.046,179.486,100.0,26.0,73.809,16.9,1.249
2010-10-31,35.6,21.5,27.118,2.143,97.0,45.0,79.595,9.8,1.014
2010-11-07,35.1,19.9,26.497,0.0,97.0,38.0,76.548,7.8,1.088
2010-11-14,35.4,20.5,26.567,1.086,97.0,27.0,79.923,9.2,1.096
2010-11-21,33.7,21.8,25.698,4.257,97.0,46.0,86.667,11.2,0.926
2010-11-28,33.8,21.6,25.898,9.571,97.0,45.0,84.512,10.2,1.042
2010-12-05,33.7,21.0,25.528,7.943,97.0,47.0,86.548,8.8,0.96
2010-12-12,33.0,21.5,25.251,26.6,97.0,53.0,89.732,9.9,0.875
2010-12-19,31.5,21.2,25.026,5.686,97.0,59.0,90.167,8.9,0.817
2010-12-26,32.4,21.7,24.446,16.857,98.0,59.0,92.25,10.5,0.796
2011-01-02,31.7,20.8,24.836,14.743,98.0,51.0,89.804,12.1,0.937
2011-01-09,31.2,20.7,24.199,14.657,98.0,62.0,91.065,9.9,0.937
2011-01-16,30.9,20.2,24.386,22.486,98.0,52.0,89.976,11.2,1.136
2011-01-23,31.6,20.4,24.433,5.343,97.0,47.0,87.077,13.7,1.152
2011-01-30,30.5,20.9,24.078,15.486,98.0,59.0,90.411,9.9,0.995
2011-02-06,30.7,22.6,24.965,1.714,97.0,63.0,90.797,7.2,0.887
2011-02-13,28.3,23.6,26.125,0.0,95.0,81.0,89.0,3.1,1.25
2011-02-20,36.7,9.6,26.135,245.057,100.0,23.0,79.335,17.7,1.163
2011-02-27,36.6,17.8,26.352,214.229,100.0,23.0,79.656,16.9,1.172
2011-03-06,36.7,16.9,26.356,221.0,100.0,22.0,79.246,16.9,1.217
2011-03-13,43.0,-5.0,26.057,248.6,100.0,25.0,80.713,14.3,1.11
2011-03-20,36.6,18.8,26.229,196.171,100.0,24.0,80.427,15.4,1.162
2011-03-27,36.2,18.6,26.266,165.914,100.0,31.0,80.133,17.6,1.203
2011-04-03,36.7,18.3,26.285,199.171,100.0,33.0,80.532,17.7,1.174
2011-04-10,35.8,19.3,26.499,182.657,100.0,23.0,79.723,17.8,1.198
2011-04-17,36.9,18.3,26.436,191.914,100.0,19.0,79.921,17.5,1.145
2011-04-24,38.8,18.5,26.534,217.057,100.0,26.0,79.167,16.0,1.271
2011-05-01,36.9,18.0,26.706,114.971,100.0,28.0,78.647,23.6,1.246
2011-05-08,36.6,17.5,26.628,154.371,100.0,28.0,79.107,19.3,1.225
2011-05-15,36.6,19.0,26.578,183.114,100.0,27.0,79.474,18.4,1.098
2011-05-22,35.5,20.1,26.687,191.286,100.0,24.0,78.818,19.8,1.111
2011-05-29,35.6,19.6,26.762,135.657,100.0,24.0,78.162,16.8,1.114
2011-06-05,36.8,20.3,26.97,116.257,100.0,23.0,77.056,15.9,1.239
2011-06-12,38.1,20.4,26.946,88.229,100.0,29.0,76.572,19.4,1.248
2011-06-19,37.5,20.0,26.932,117.057,100.0,30.0,76.116,16.9,1.247
2011-06-26,38.2,19.5,26.752,155.514,100.0,29.0,76.725,19.6,1.201
2011-07-03,39.9,19.5,26.642,155.714,100.0,30.0,76.652,15.7,1.164
2011-07-10,36.4,20.4,26.596,142.543,100.0,30.0,77.024,15.1,1.211
2011-07-17,36.3,20.4,26.743,104.314,100.0,22.0,76.152,18.0,1.188
2011-07-24,35.8,18.4,26.628,149.457,100.0,15.0,76.183,18.6,1.148
2011-07-31,36.9,17.8,26.822,75.543,100.0,15.0,74.69,17.4,1.123
2011-08-07,36.7,17.7,26.93,99.171,100.0,18.0,73.517,14.6,1.245
2011-08-14,37.2,18.4,26.923,132.8,100.0,17.0,74.532,15.9,1.174
2011-08-21,38.6,18.4,26.843,111.686,100.0,19.0,74.281,16.8,1.131
2011-08-28,36.6,18.1,26.665,158.8,100.0,25.0,75.371,20.5,1.125
2011-09-04,38.5,0.0,26.904,130.314,100.0,24.0,75.851,15.8,1.08
2011-09-11,37.4,18.9,26.736,151.457,100.0,26.0,76.762,15.0,1.126
2011-09-18,37.7,0.0,26.899,123.486,100.0,31.0,75.955,19.0,1.131
2011-09-25,37.6,20.8,27.087,146.057,100.0,25.0,75.082,19.5,1.164
2011-10-02,37.4,20.7,27.089,140.029,100.0,19.0,74.7,15.2,1.145
2011-10-09,33.8,20.7,26.049,0.829,97.0,40.0,82.69,10.4,0.994
2011-10-16,34.0,20.0,25.786,6.2,97.0,43.0,83.44,10.2,0.997
2011-10-23,34.9,21.8,25.853,4.0,97.0,45.0,85.387,10.8,1.066
2011-10-30,34.1,20.8,26.056,3.0,97.0,46.0,83.208,7.8,0.97
2011-11-06,33.2,20.9,25.583,3.229,97.0,45.0,85.167,9.8,1.01
2011-11-13,33.3,21.0,25.582,1.829,97.0,44.0,84.048,7.9,1.012
2011-11-20,33.8,21.2,26.061,0.429,97.0,43.0,82.845,7.9,1.002
2011-11-27,32.2,21.8,24.934,10.771,97.0,53.0,90.155,7.8,0.872
2011-12-04,32.7,20.4,25.504,0.771,97.0,43.0,84.423,7.0,0.936
2011-12-11,33.1,19.7,25.521,1.171,97.0,47.0,83.179,10.3,1.004
2011-12-18,32.7,20.8,25.351,4.857,97.0,47.0,87.542,8.5,0.902
2011-12-25,32.3,21.5,24.989,9.886,97.0,49.0,89.214,9.3,0.945
2012-01-01,31.0,21.7,24.673,11.657,97.0,58.0,89.589,10.4,1.085
2012-01-08,30.2,21.5,24.39,15.686,97.0,67.0,92.286,9.9,0.867
