data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,38.5,16.8,25.641,277.2,100.0,18.0,70.083,15.2,2.219
2010-01-10,40.0,14.4,25.606,220.886,100.0,15.0,70.361,23.2,2.285
2010-01-17,38.2,14.6,25.581,180.943,100.0,8.0,70.331,18.8,2.355
2010-01-24,37.6,14.6,25.503,213.286,100.0,14.0,70.745,17.9,2.267
2010-01-31,38.0,14.0,25.563,244.2,100.0,15.0,71.164,22.5,2.312
2010-02-07,38.2,14.2,25.751,141.943,100.0,11.0,69.941,18.4,2.356
2010-02-14,37.8,15.0,25.524,234.457,100.0,14.0,72.184,18.2,2.14
2010-02-21,38.5,13.8,25.655,138.657,100.0,12.0,70.838,24.1,2.185
2010-02-28,38.1,14.1,25.794,167.286,100.0,10.0,71.394,24.6,2.142
2010-03-07,38.2,15.0,26.041,180.971,100.0,15.0,70.427,17.8,2.087
2010-03-14,38.9,15.6,26.12,191.514,100.0,15.0,70.155,19.4,2.105
2010-03-21,39.3,15.5,26.113,161.457,100.0,13.0,70.2,22.6,2.1
2010-03-28,38.6,15.3,25.728,266.943,100.0,17.0,73.445,23.5,2.005
2010-04-04,38.0,15.6,25.621,219.486,100.0,16.0,72.581,18.3,1.959
2010-04-11,37.9,15.7,25.847,202.143,100.0,15.0,72.226,23.9,2.001
2010-04-18,38.1,14.0,25.343,232.429,100.0,12.0,73.243,17.6,2.046
2010-04-25,36.9,13.5,25.165,135.8,100.0,20.0,73.531,23.3,2.064
2010-05-02,37.3,11.6,24.944,146.314,100.0,11.0,70.741,19.1,2.015
2010-05-09,40.8,13.0,24.582,143.8,100.0,12.0,71.238,17.1,2.143
2010-05-16,36.8,12.5,24.415,137.257,100.0,10.0,70.963,23.8,2.089
2010-05-23,36.7,10.4,24.233,156.886,100.0,10.0,72.673,20.0,2.076
2010-05-30,37.4,10.8,24.056,167.457,100.0,15.0,71.652,18.3,2.016
2010-06-06,36.5,10.0,23.849,94.057,100.0,12.0,70.182,17.2,2.004
2010-06-13,37.6,9.7,23.668,121.4,100.0,14.0,69.565,22.0,2.211
2010-06-20,36.5,8.0,22.982,97.086,100.0,16.0,71.05,16.8,2.319
2010-06-27,36.1,9.6,22.899,122.514,100.0,7.0,69.839,20.7,2.269
2010-07-04,35.0,9.2,22.286,173.714,100.0,13.0,71.848,20.2,2.369
2010-07-11,37.0,10.5,22.236,139.057,100.0,11.0,71.47,19.9,2.36
2010-07-18,36.2,8.4,22.232,111.486,100.0,10.0,70.616,20.1,2.224
2010-07-25,36.5,10.1,22.214,116.771,100.0,14.0,69.261,19.8,2.423
2010-08-01,35.0,9.9,22.055,130.029,100.0,15.0,69.593,18.5,2.59
2010-08-08,37.1,9.0,22.205,88.914,100.0,13.0,68.149,19.8,2.515
2010-08-15,38.4,9.8,22.423,84.286,100.0,10.0,66.265,20.5,2.469
2010-08-22,38.0,9.3,22.728,66.171,100.0,10.0,65.858,19.1,2.634
2010-08-29,38.0,9.2,22.771,63.943,100.0,12.0,66.463,23.7,2.64
2010-09-05,38.3,9.7,23.218,58.086,100.0,10.0,64.617,23.8,2.562
2010-09-12,39.0,9.5,23.487,70.029,100.0,10.0,63.089,18.5,2.772
2010-09-19,39.2,10.4,23.76,62.314,100.0,10.0,63.1,19.4,2.798
2010-09-26,39.6,9.9,24.494,67.943,100.0,10.0,61.887,24.2,2.827
2010-10-03,39.8,12.6,24.924,70.743,100.0,9.0,62.667,20.0,2.765
2010-10-10,41.6,11.5,25.538,64.514,100.0,10.0,60.942,19.5,2.822
2010-10-17,40.1,11.6,25.459,59.0,100.0,10.0,62.042,24.2,2.885
2010-10-24,40.8,13.0,25.582,143.371,100.0,7.0,62.764,20.3,2.733
2010-10-31,40.1,14.6,25.875,193.771,100.0,10.0,64.068,23.4,2.57
2010-11-07,40.1,13.5,25.603,219.171,100.0,10.0,66.935,19.3,2.483
2010-11-14,41.2,12.5,25.195,229.171,100.0,9.0,69.307,22.8,2.296
2010-11-21,40.9,15.1,25.393,318.486,100.0,9.0,71.437,21.8,2.395
2010-11-28,39.4,14.1,25.289,300.429,100.0,15.0,71.856,18.1,2.348
2010-12-05,38.4,15.5,25.14,313.429,100.0,10.0,72.844,24.8,2.167
2010-12-12,39.0,15.1,25.696,309.057,100.0,10.0,70.462,21.2,2.16
2010-12-19,39.0,13.1,25.172,320.571,100.0,10.0,73.589,29.5,2.174
2010-12-26,39.6,14.7,25.087,316.857,100.0,10.0,71.609,17.9,2.251
2011-01-02,38.5,13.7,25.553,162.686,100.0,10.0,69.627,18.6,2.199
2011-01-09,39.3,13.7,25.601,187.971,100.0,10.0,70.846,21.9,2.121
2011-01-16,37.3,13.9,25.47,119.543,100.0,10.0,70.443,18.4,2.14
2011-01-23,38.5,13.1,25.665,185.771,100.0,10.0,69.55,23.1,2.101
2011-01-30,39.3,13.3,25.462,232.457,100.0,10.0,71.933,21.0,2.073
2011-02-06,39.4,15.4,25.831,82.971,100.0,10.0,69.449,20.8,2.1
2011-02-13,38.1,15.0,25.703,171.257,100.0,10.0,71.598,19.9,2.07
2011-02-20,38.8,14.3,25.795,121.143,100.0,10.0,70.474,22.5,2.049
2011-02-27,41.5,14.5,25.733,155.029,100.0,10.0,71.679,19.1,2.055
2011-03-06,37.9,14.9,25.937,201.229,100.0,19.0,71.951,22.3,1.925
2011-03-13,38.2,13.2,25.938,226.543,100.0,18.0,71.916,19.4,1.907
2011-03-20,39.5,13.5,25.918,180.0,100.0,17.0,71.639,18.8,1.922
2011-03-27,39.5,13.9,25.646,282.457,100.0,23.0,73.706,20.5,1.938
2011-04-03,36.7,12.0,25.408,266.857,100.0,21.0,74.372,16.7,1.895
2011-04-10,39.0,14.7,25.603,235.886,100.0,13.0,73.066,16.4,1.817
2011-04-17,38.0,13.6,25.166,248.743,100.0,7.0,74.579,19.4,1.8
2011-04-24,37.4,14.7,24.912,228.771,100.0,19.0,75.793,16.8,1.901
2011-05-01,37.1,12.3,24.699,250.086,100.0,17.0,74.034,16.4,2.055
2011-05-08,37.1,11.5,24.248,141.571,100.0,14.0,74.395,18.7,1.981
2011-05-15,36.9,12.7,24.214,154.429,100.0,20.0,73.386,17.1,1.913
2011-05-22,37.2,12.1,23.98,157.371,100.0,18.0,74.609,18.6,1.986
2011-05-29,36.5,11.4,23.791,158.086,100.0,15.0,74.835,16.7,2.055
2011-06-05,36.0,10.2,23.706,86.314,100.0,13.0,71.906,14.7,1.882
2011-06-12,36.9,10.5,23.61,114.257,100.0,14.0,71.743,16.8,1.966
2011-06-19,36.7,8.1,23.057,127.886,100.0,14.0,71.808,15.9,2.075
2011-06-26,35.8,8.3,22.643,119.6,100.0,12.0,71.73,21.5,2.157
2011-07-03,35.2,9.7,22.328,148.514,100.0,14.0,71.582,17.1,2.155
2011-07-10,36.5,9.4,22.411,106.8,100.0,11.0,70.174,24.1,2.165
2011-07-17,36.8,9.7,22.326,120.829,100.0,10.0,69.536,18.9,2.154
2011-07-24,36.2,10.1,22.229,144.714,100.0,10.0,69.171,19.0,2.251
2011-07-31,35.4,10.2,22.119,107.029,100.0,12.0,68.756,17.2,2.415
2011-08-07,36.9,10.8,22.243,104.457,100.0,7.0,67.588,19.1,2.311
2011-08-14,37.6,8.7,22.607,60.314,100.0,7.0,64.771,17.6,2.301
2011-08-21,37.8,8.2,22.723,85.371,100.0,7.0,65.379,17.8,2.379
2011-08-28,36.8,9.3,22.888,88.371,100.0,8.0,64.905,23.5,2.45
2011-09-04,38.1,10.6,23.291,77.571,100.0,7.0,63.166,18.4,2.401
2011-09-11,40.1,9.8,23.652,55.2,100.0,8.0,60.892,18.4,2.545
2011-09-18,39.2,11.2,23.989,53.629,100.0,7.0,60.992,16.4,2.593
2011-09-25,40.5,10.8,24.519,37.0,100.0,7.0,60.387,19.3,2.644
2011-10-02,40.5,10.7,25.109,67.114,100.0,7.0,59.771,23.8,2.511
2011-10-09,41.4,11.7,25.74,46.086,100.0,7.0,58.41,18.1,2.631
2011-10-16,41.5,11.8,25.661,62.914,100.0,7.0,59.726,21.7,2.815
2011-10-23,40.3,13.3,25.651,150.457,100.0,7.0,62.077,17.8,2.802
2011-10-30,41.7,12.6,25.903,107.2,100.0,7.0,63.263,20.7,2.754
2011-11-06,39.8,15.3,25.792,216.057,100.0,13.0,66.375,19.2,2.632
2011-11-13,40.8,12.9,25.159,355.943,100.0,14.0,69.334,20.7,2.517
2011-11-20,40.9,13.2,25.555,303.029,100.0,13.0,69.091,23.1,2.489
2011-11-27,40.0,15.3,25.402,227.686,100.0,10.0,69.933,23.1,2.354
2011-12-04,41.2,14.1,25.108,268.829,100.0,15.0,72.224,17.2,2.286
2011-12-11,40.3,14.9,25.66,301.343,100.0,13.0,70.221,21.8,2.3
2011-12-18,39.9,14.3,25.438,289.543,100.0,13.0,72.174,18.2,2.337
2011-12-25,39.2,13.8,25.165,209.743,100.0,14.0,71.792,21.1,2.267
2012-01-01,39.4,14.8,25.513,199.0,100.0,18.0,70.458,23.7,2.221
2012-01-08,40.5,14.7,25.553,203.943,100.0,16.0,70.599,19.4,2.168
2012-01-15,37.1,14.7,25.373,184.457,100.0,13.0,71.265,19.6,2.238
2012-01-22,37.8,12.5,25.646,157.571,100.0,16.0,69.075,18.3,2.207
2012-01-29,38.7,14.0,25.446,292.171,100.0,10.0,70.577,22.1,2.208
2012-02-05,38.8,14.7,25.752,126.0,100.0,11.0,69.26,20.4,2.277
2012-02-12,39.3,15.4,25.622,177.314,100.0,10.0,71.221,17.9,2.259
2012-02-19,39.0,14.5,25.62,122.8,100.0,16.0,70.75,20.7,2.105
2012-02-26,37.8,15.4,25.475,182.657,100.0,14.0,73.017,18.4,2.126
2012-03-04,37.7,14.9,25.681,144.8,100.0,15.0,72.358,21.8,2.093
2012-03-11,39.4,15.0,25.683,220.914,100.0,14.0,72.445,20.8,2.079
2012-03-18,38.1,14.4,25.892,163.914,100.0,12.0,71.389,23.6,2.169
2012-03-25,39.9,14.5,25.709,193.771,100.0,15.0,72.435,17.4,2.024
2012-04-01,37.6,14.2,25.388,176.371,100.0,15.0,73.845,20.4,2.054
2012-04-08,37.9,14.7,25.446,131.571,100.0,13.0,73.561,16.5,1.903
2012-04-15,37.5,14.3,25.153,273.8,100.0,17.0,75.125,16.4,1.937
2012-04-22,37.3,14.7,24.714,230.629,100.0,12.0,76.167,21.7,1.991
2012-04-29,37.7,14.4,24.653,116.571,100.0,10.0,73.726,18.7,1.94
2012-05-06,38.0,13.2,24.255,163.429,100.0,10.0,72.745,24.7,2.021
2012-05-13,35.6,13.2,24.111,110.029,100.0,21.0,73.595,24.2,2.06
2012-05-20,36.6,11.8,24.027,169.343,100.0,15.0,73.627,22.2,2.031
2012-05-27,37.1,7.4,23.658,144.629,100.0,15.0,74.193,22.0,2.06
2012-06-03,36.9,10.3,23.585,98.229,100.0,8.0,71.764,15.8,1.994
2012-06-10,37.4,9.7,23.565,104.886,100.0,10.0,70.406,20.7,2.013
2012-06-17,37.5,10.0,23.053,110.829,100.0,10.0,71.259,15.9,2.204
