data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,29.6,15.8,21.674,61.4,95.0,25.0,63.927,11.7,2.359
2010-01-10,29.8,15.3,21.808,10.886,95.0,25.0,66.773,12.4,2.194
2010-01-17,30.8,7.9,20.931,20.4,95.0,28.0,70.507,10.9,2.17
2010-01-24,31.2,13.3,21.837,12.171,94.0,22.0,62.534,10.3,2.198
2010-01-31,30.7,13.2,21.794,11.314,94.0,21.0,63.429,12.8,2.199
2010-02-07,31.8,14.2,22.487,10.171,95.0,13.0,61.403,12.7,2.207
2010-02-14,30.2,9.2,21.165,18.743,95.0,22.0,68.238,18.3,2.307
2010-02-21,30.4,10.5,21.446,5.6,95.0,24.0,63.962,13.1,2.451
2010-02-28,30.8,13.2,22.339,10.486,95.0,20.0,61.767,13.1,2.202
2010-03-07,29.7,14.8,21.635,28.8,96.0,18.0,70.021,13.1,2.392
2010-03-14,31.6,15.7,22.12,25.543,95.0,18.0,66.943,12.8,2.293
2010-03-21,31.8,15.6,22.415,21.143,96.0,18.0,66.36,13.1,2.39
2010-03-28,33.9,17.1,22.663,25.571,95.0,12.0,67.568,15.9,2.334
2010-04-04,33.8,16.4,22.946,38.286,96.0,12.0,65.336,12.6,1.901
2010-04-11,34.7,13.1,22.502,32.657,96.0,11.0,64.295,14.2,1.941
2010-04-18,32.7,13.7,21.972,35.686,96.0,24.0,72.188,11.1,2.125
2010-04-25,34.1,15.6,23.009,13.229,96.0,14.0,67.133,14.4,1.919
2010-05-02,32.6,16.1,22.308,19.343,96.0,25.0,69.703,12.3,2.163
2010-05-09,31.3,13.4,22.063,17.457,95.0,29.0,71.751,11.8,2.005
2010-05-16,30.9,12.1,21.313,14.686,96.0,25.0,73.209,20.3,2.253
2010-05-23,31.1,12.4,20.768,14.629,96.0,28.0,72.141,12.5,2.338
2010-05-30,29.8,13.1,20.905,17.743,95.0,31.0,72.284,10.6,1.968
2010-06-06,28.3,13.3,20.355,19.086,95.0,32.0,72.847,13.2,2.151
2010-06-13,29.9,11.3,20.399,4.6,95.0,32.0,66.893,10.3,2.3
2010-06-20,29.5,8.9,20.073,13.286,95.0,17.0,63.988,19.7,2.188
2010-06-27,29.1,9.3,19.899,25.8,96.0,19.0,65.964,12.5,2.178
2010-07-04,28.4,11.2,19.427,8.857,95.0,23.0,67.653,12.8,2.328
2010-07-11,28.4,8.5,19.478,9.429,95.0,23.0,65.043,12.4,2.006
2010-07-18,29.8,10.6,20.586,15.4,96.0,19.0,62.263,12.3,2.226
2010-07-25,27.1,11.4,19.186,11.971,96.0,23.0,64.656,12.6,2.842
2010-08-01,28.4,11.1,19.509,25.829,96.0,20.0,61.796,14.4,2.645
2010-08-08,30.6,10.0,20.612,0.0,95.0,21.0,53.201,12.3,2.371
2010-08-15,31.1,10.7,20.916,0.429,94.0,16.0,53.397,12.3,2.245
2010-08-22,30.1,10.7,20.239,9.257,96.0,19.0,56.106,11.8,2.574
