data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,37.1,10.9,24.258,218.6,99.0,11.0,70.222,15.8,1.85
2010-01-10,37.4,11.4,24.526,223.514,100.0,7.0,68.37,19.0,1.695
2010-01-17,38.6,9.4,24.453,219.971,100.0,10.0,69.159,20.4,1.661
2010-01-24,37.7,8.1,24.581,178.0,99.0,7.0,68.601,23.0,1.593
2010-01-31,38.9,12.5,24.071,256.457,100.0,10.0,72.465,24.9,1.617
2010-02-07,37.3,13.4,24.532,197.914,98.0,10.0,68.26,18.6,1.722
2010-02-14,38.7,14.6,24.071,224.657,99.0,8.0,72.73,21.0,1.624
2010-02-21,39.1,14.1,24.196,201.971,98.0,7.0,72.986,23.7,1.55
2010-02-28,40.3,15.9,24.356,199.029,100.0,8.0,72.624,23.0,1.496
2010-03-07,40.4,12.7,24.105,263.829,100.0,7.0,75.098,23.8,1.411
2010-03-14,37.1,15.2,24.259,246.029,100.0,7.0,75.033,22.1,1.43
2010-03-21,36.0,14.8,24.203,199.171,100.0,8.0,74.984,22.8,1.42
2010-03-28,35.5,14.6,23.877,198.543,100.0,7.0,76.615,18.2,1.451
2010-04-04,36.4,14.3,24.284,176.514,100.0,11.0,73.784,17.0,1.386
2010-04-11,37.5,12.6,24.096,231.257,100.0,7.0,75.1,18.0,1.331
2010-04-18,35.9,13.9,23.719,164.571,100.0,11.0,73.799,20.9,1.365
2010-04-25,37.4,11.5,24.066,114.714,100.0,12.0,70.112,19.6,1.283
2010-05-02,37.0,13.0,24.036,99.429,100.0,7.0,68.963,21.2,1.425
2010-05-09,39.2,11.5,23.616,88.886,100.0,7.0,67.931,18.8,1.331
2010-05-16,38.5,8.3,23.27,81.943,100.0,7.0,68.479,20.6,1.321
2010-05-23,39.4,4.5,22.795,113.886,100.0,7.0,68.403,20.2,1.372
2010-05-30,39.7,5.3,23.079,121.0,100.0,7.0,67.384,24.2,1.338
2010-06-06,40.7,7.6,23.193,66.429,100.0,7.0,65.594,15.2,1.393
2010-06-13,38.0,11.7,22.88,130.314,100.0,7.0,67.501,18.5,1.501
2010-06-20,38.8,9.2,22.6,88.743,100.0,7.0,64.897,19.2,1.455
2010-06-27,37.9,10.2,22.626,91.143,100.0,8.0,62.98,18.5,1.503
2010-07-04,35.6,6.0,22.366,66.971,100.0,7.0,62.607,23.6,1.507
2010-07-11,36.1,5.8,22.164,55.286,100.0,7.0,61.445,14.2,1.553
2010-07-18,36.6,7.9,22.556,40.057,100.0,8.0,59.217,16.3,1.439
2010-07-25,37.1,7.9,22.471,43.657,100.0,8.0,58.105,16.2,1.674
2010-08-01,35.7,6.8,22.196,49.486,100.0,7.0,57.357,16.5,1.645
2010-08-08,36.6,7.1,22.714,17.457,100.0,7.0,54.293,18.8,1.69
2010-08-15,38.1,2.6,22.713,18.857,100.0,7.0,52.732,17.4,1.625
2010-08-22,39.3,3.8,22.84,45.429,100.0,10.0,52.921,18.9,1.743
2010-08-29,39.6,6.2,23.655,16.057,100.0,9.0,50.892,15.6,1.716
2010-09-05,40.0,8.5,24.395,34.343,100.0,7.0,49.169,19.3,1.782
2010-09-12,40.8,5.8,24.237,36.971,100.0,7.0,47.999,18.1,1.832
2010-09-19,41.1,8.0,24.694,48.057,100.0,7.0,47.599,17.2,1.762
2010-09-26,43.1,9.2,24.787,54.857,100.0,7.0,50.088,17.8,1.871
2010-10-03,41.8,7.7,24.493,62.629,100.0,7.0,54.98,23.8,1.689
2010-10-10,43.6,5.3,24.507,60.829,100.0,8.0,55.026,24.2,1.742
2010-10-17,43.9,9.4,24.98,88.086,100.0,7.0,54.414,19.8,1.659
2010-10-24,41.7,5.1,24.72,128.743,100.0,7.0,57.546,20.8,1.648
2010-10-31,40.4,7.3,24.239,98.457,100.0,7.0,61.96,19.3,1.573
2010-11-07,37.5,6.8,23.598,154.914,100.0,8.0,65.634,20.3,1.587
2010-11-14,39.9,4.7,24.025,132.6,100.0,7.0,62.214,20.9,1.613
2010-11-21,36.9,6.4,23.634,157.8,100.0,10.0,66.171,20.3,1.708
2010-11-28,37.5,4.8,23.818,234.029,100.0,7.0,66.293,20.1,1.598
2010-12-05,39.3,7.8,24.234,152.486,100.0,7.0,66.499,18.4,1.571
2010-12-12,38.9,6.9,24.611,167.029,100.0,8.0,65.152,21.6,1.604
2010-12-19,39.0,8.4,24.544,180.286,100.0,9.0,66.581,19.9,1.631
2010-12-26,37.3,7.8,24.573,147.0,100.0,10.0,66.881,25.0,1.59
2011-01-02,36.2,10.9,24.45,204.114,100.0,10.0,70.067,24.6,1.515
2011-01-09,36.6,11.7,24.344,217.429,100.0,10.0,70.017,19.7,1.558
2011-01-16,38.8,14.2,24.544,203.057,100.0,10.0,69.736,24.8,1.553
2011-01-23,37.4,12.0,24.41,197.029,100.0,10.0,70.517,24.1,1.469
2011-01-30,37.3,11.3,24.112,222.629,100.0,10.0,71.389,19.6,1.679
2011-02-06,38.0,10.1,24.311,157.057,100.0,10.0,69.927,19.6,1.551
2011-02-13,36.6,13.3,24.086,297.857,100.0,10.0,73.629,24.5,1.594
2011-02-20,35.5,13.2,23.822,193.943,100.0,11.0,73.906,24.9,1.52
2011-02-27,35.2,9.6,23.933,193.886,100.0,10.0,74.138,23.1,1.488
2011-03-06,36.5,11.8,23.903,254.743,100.0,10.0,74.994,17.2,1.436
2011-03-13,37.1,10.9,24.18,269.6,100.0,12.0,73.356,18.0,1.502
2011-03-20,43.1,11.6,24.045,192.543,100.0,10.0,73.773,21.1,1.469
2011-03-27,36.5,12.9,23.884,247.343,100.0,10.0,74.689,20.5,1.475
2011-04-03,36.2,14.6,24.281,171.457,100.0,10.0,72.792,16.6,1.457
2011-04-10,37.1,13.3,24.261,144.743,100.0,10.0,72.202,24.5,1.474
2011-04-17,36.7,10.9,23.869,183.714,100.0,14.0,71.476,18.2,1.442
2011-04-24,37.3,14.0,24.097,140.171,100.0,13.0,69.971,18.4,1.448
2011-05-01,37.0,14.0,23.841,109.029,100.0,19.0,70.243,20.2,1.576
2011-05-08,36.2,9.0,23.57,83.343,100.0,15.0,67.165,16.0,1.511
2011-05-15,36.8,3.5,23.182,116.229,100.0,16.0,67.476,17.6,1.551
2011-05-22,38.0,4.5,22.724,101.971,100.0,11.0,69.552,19.1,1.456
