data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,36.6,21.4,26.766,85.0,100.0,31.0,76.217,18.9,1.731
2010-01-10,36.1,20.3,26.722,110.4,100.0,30.0,76.103,20.6,1.756
2010-01-17,36.6,20.4,26.604,157.371,100.0,32.0,76.842,18.4,1.693
2010-01-24,34.7,20.5,26.54,125.6,100.0,35.0,78.326,20.4,1.593
2010-01-31,36.0,18.8,26.517,118.514,100.0,33.0,78.217,15.5,1.598
2010-02-07,36.4,20.5,26.914,120.457,100.0,29.0,77.016,16.4,1.749
2010-02-14,36.4,20.2,26.428,162.0,100.0,27.0,79.528,18.4,1.619
2010-02-21,35.0,20.4,25.984,243.8,100.0,29.0,81.206,16.5,1.485
2010-02-28,37.4,20.4,26.46,128.0,100.0,33.0,79.811,18.7,1.429
2010-03-07,37.6,21.1,26.54,185.286,100.0,29.0,79.786,15.1,1.365
2010-03-14,34.8,20.1,26.519,169.914,100.0,43.0,80.679,16.2,1.397
2010-03-21,35.6,20.9,26.593,207.829,100.0,42.0,80.35,24.3,1.378
2010-03-28,35.7,20.8,26.284,218.314,100.0,37.0,81.787,18.5,1.252
2010-04-04,35.3,20.6,26.423,216.8,100.0,41.0,81.832,19.3,1.265
2010-04-11,35.7,21.0,26.618,190.686,100.0,34.0,81.062,17.9,1.29
2010-04-18,34.7,20.6,26.411,239.857,100.0,37.0,81.813,18.3,1.256
2010-04-25,35.9,20.6,26.388,176.886,100.0,31.0,81.924,15.2,1.169
2010-05-02,36.1,20.1,26.701,124.971,100.0,33.0,79.871,14.2,1.237
2010-05-09,35.7,20.0,26.716,160.486,100.0,29.0,79.206,14.6,1.272
2010-05-16,36.1,19.5,26.801,127.371,100.0,27.0,78.087,17.8,1.269
2010-05-23,36.5,16.8,26.899,132.8,100.0,25.0,78.105,17.6,1.417
2010-05-30,42.9,18.9,26.905,77.743,100.0,27.0,76.327,17.7,1.433
2010-06-06,37.3,17.4,26.82,69.4,100.0,27.0,75.486,13.8,1.524
2010-06-13,35.9,16.8,26.749,74.829,97.0,26.0,73.625,14.6,1.531
2010-06-20,35.8,16.5,26.933,46.343,97.0,26.0,70.91,13.8,1.675
2010-06-27,36.4,16.0,26.696,40.4,100.0,15.0,70.48,13.8,1.64
2010-07-04,35.7,15.4,26.614,46.257,100.0,20.0,68.942,14.6,1.63
2010-07-11,37.6,16.2,26.495,58.657,100.0,20.0,69.243,14.5,1.559
2010-07-18,37.4,14.4,26.696,37.543,100.0,13.0,67.809,14.8,1.605
