data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,36.9,18.5,26.299,84.8,100.0,24.0,75.408,20.7,1.6
2010-01-10,39.1,18.1,26.512,142.086,100.0,19.0,73.656,21.1,1.571
2010-01-17,38.4,16.5,25.964,236.514,100.0,24.0,76.213,20.3,1.498
2010-01-24,38.4,17.4,26.238,148.143,100.0,18.0,74.013,24.5,1.367
2010-01-31,38.9,17.2,26.037,150.143,100.0,18.0,74.882,24.3,1.408
2010-02-07,38.7,17.7,26.63,101.571,100.0,16.0,72.388,17.0,1.466
2010-02-14,38.4,17.9,26.416,202.371,100.0,17.0,73.596,19.0,1.438
2010-02-21,37.8,17.0,25.913,183.0,100.0,18.0,76.447,22.6,1.5
2010-02-28,37.8,14.0,25.862,199.8,100.0,21.0,75.386,17.8,1.443
2010-03-07,37.9,16.0,25.603,136.114,100.0,16.0,75.859,20.7,1.503
2010-03-14,38.0,14.4,26.108,94.571,100.0,21.0,72.022,20.3,1.298
2010-03-21,38.8,15.7,26.185,159.543,100.0,19.0,73.92,18.3,1.423
2010-03-28,37.7,12.9,25.456,105.857,100.0,26.0,74.992,19.4,1.507
2010-04-04,37.4,13.3,25.228,91.657,100.0,22.0,73.628,20.7,1.327
2010-04-11,37.8,11.5,25.203,80.514,100.0,14.0,71.093,21.4,1.458
2010-04-18,37.4,9.7,24.586,83.257,100.0,19.0,71.707,17.5,1.595
2010-04-25,36.4,10.6,24.669,78.886,100.0,22.0,71.405,18.4,1.371
2010-05-02,35.9,6.1,23.338,59.571,100.0,16.0,70.981,17.9,1.512
2010-05-09,36.0,5.9,22.58,96.229,100.0,13.0,70.277,18.8,1.311
2010-05-16,34.6,5.6,21.777,63.343,100.0,16.0,72.718,16.0,1.426
2010-05-23,35.3,5.4,21.039,71.8,100.0,19.0,74.757,19.5,1.414
2010-05-30,35.3,5.8,20.747,62.029,100.0,15.0,74.429,17.6,1.502
2010-06-06,34.9,5.1,20.512,55.286,100.0,19.0,75.828,17.1,1.491
2010-06-13,35.4,4.1,20.248,55.114,100.0,15.0,73.005,18.5,1.572
2010-06-20,33.9,4.3,21.011,14.429,100.0,17.0,70.257,15.0,1.54
