data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,36.7,9.8,25.007,269.2,100.0,15.0,77.732,19.5,1.521
2010-01-10,36.3,7.6,25.094,223.486,100.0,11.0,77.642,20.6,1.385
2010-01-17,36.6,9.9,24.664,209.0,100.0,13.0,78.39,19.4,1.467
2010-01-24,36.9,8.2,24.763,221.171,100.0,15.0,77.755,18.3,1.452
2010-01-31,38.6,11.7,24.686,238.514,100.0,12.0,78.077,20.2,1.48
2010-02-07,39.7,10.6,24.751,203.086,100.0,12.0,76.213,18.5,1.568
2010-02-14,39.3,12.3,24.691,294.657,100.0,10.0,76.619,20.8,1.499
2010-02-21,42.0,8.9,24.489,299.2,100.0,10.0,76.328,21.1,1.568
2010-02-28,40.6,5.3,24.651,215.971,99.0,11.0,75.189,18.8,1.522
2010-03-07,42.7,10.5,24.936,226.343,100.0,9.0,75.031,18.8,1.478
2010-03-14,40.2,10.8,24.95,237.4,100.0,13.0,74.056,21.8,1.529
2010-03-21,39.0,8.4,24.947,234.714,99.0,12.0,74.254,17.1,1.537
2010-03-28,39.1,10.1,25.015,274.314,99.0,13.0,73.905,20.5,1.549
2010-04-04,38.7,7.8,25.053,179.6,100.0,12.0,73.882,19.2,1.53
2010-04-11,40.1,13.0,25.075,204.171,99.0,12.0,73.674,17.3,1.504
2010-04-18,39.1,11.3,25.372,131.457,100.0,13.0,71.527,20.4,1.51
2010-04-25,38.7,6.8,25.784,124.086,99.0,13.0,70.478,16.8,1.47
2010-05-02,39.8,10.2,25.696,97.2,99.0,12.0,71.231,20.8,1.516
2010-05-09,40.6,8.7,25.51,63.857,98.0,11.0,69.482,14.3,1.487
2010-05-16,39.9,10.5,25.349,94.2,100.0,7.0,70.962,19.4,1.501
2010-05-23,40.3,1.8,24.98,93.657,100.0,7.0,71.414,24.0,1.608
2010-05-30,39.7,5.9,24.938,125.114,100.0,14.0,72.246,22.0,1.573
2010-06-06,39.5,12.7,25.2,86.486,99.0,19.0,72.415,19.8,1.496
2010-06-13,40.5,10.6,24.951,96.829,100.0,14.0,71.892,22.3,1.528
2010-06-20,40.3,6.5,24.578,141.514,100.0,19.0,71.152,20.5,1.495
2010-06-27,37.3,10.8,24.644,190.4,100.0,7.0,70.569,17.1,1.528
2010-07-04,43.0,6.5,24.27,108.314,100.0,15.0,68.396,23.4,1.563
2010-07-11,37.6,10.7,24.358,151.457,100.0,14.0,68.276,16.6,1.489
2010-07-18,36.7,7.1,24.242,169.486,100.0,13.0,68.07,49.4,1.595
2010-07-25,36.5,7.2,24.139,136.857,100.0,12.0,66.696,22.7,1.635
2010-08-01,37.0,6.2,24.704,98.829,100.0,13.0,63.292,18.9,1.556
2010-08-08,42.1,9.4,24.748,132.686,100.0,12.0,62.796,17.2,1.651
2010-08-15,38.1,5.6,25.146,125.057,100.0,12.0,62.197,21.3,1.644
2010-08-22,38.6,7.2,25.27,153.086,100.0,11.0,63.155,23.1,1.706
2010-08-29,40.3,8.7,25.442,99.2,100.0,11.0,63.501,46.5,1.641
2010-09-05,40.8,6.7,25.92,200.371,100.0,11.0,64.524,22.3,1.597
2010-09-12,40.1,6.9,26.095,141.486,100.0,11.0,63.357,20.9,1.649
2010-09-19,42.5,12.2,26.499,145.657,100.0,9.0,65.514,18.7,1.557
2010-09-26,41.4,12.4,26.424,136.829,100.0,10.0,67.168,24.2,1.675
2010-10-03,40.5,4.6,26.155,216.286,100.0,9.0,69.538,18.1,1.674
2010-10-10,41.2,10.5,25.877,234.457,100.0,13.0,72.922,24.9,1.618
