data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,35.0,18.2,26.424,261.6,100.0,32.0,79.034,13.9,1.092
2010-01-10,35.3,18.0,26.121,212.886,100.0,31.0,80.547,18.6,1.08
2010-01-17,37.1,18.8,25.898,226.8,100.0,25.0,81.178,18.5,1.125
2010-01-24,36.2,18.7,26.035,238.171,100.0,32.0,81.053,17.1,1.149
2010-01-31,36.9,19.2,26.067,238.343,100.0,28.0,81.037,19.8,1.182
2010-02-07,36.1,17.5,25.949,243.314,100.0,28.0,81.746,17.9,1.088
2010-02-14,34.8,16.7,26.012,252.914,100.0,30.0,81.853,18.1,1.15
2010-02-21,35.1,16.9,25.977,190.4,100.0,30.0,81.572,31.0,1.198
2010-02-28,36.3,16.3,25.897,250.143,100.0,25.0,81.628,17.9,1.051
2010-03-07,36.1,16.8,26.163,193.086,100.0,26.0,80.639,21.0,1.08
2010-03-14,36.9,17.0,26.096,223.514,100.0,18.0,80.749,17.1,1.015
2010-03-21,36.7,19.5,26.095,207.6,100.0,31.0,81.718,16.4,1.128
2010-03-28,37.7,19.3,26.309,181.571,100.0,29.0,80.445,18.7,1.143
2010-04-04,37.5,18.4,26.312,209.114,100.0,26.0,80.226,17.8,1.131
2010-04-11,37.3,18.2,26.38,219.171,100.0,27.0,80.094,19.0,1.154
2010-04-18,36.6,18.2,26.228,291.029,100.0,24.0,80.61,16.3,1.163
2010-04-25,37.6,18.9,26.299,257.914,100.0,24.0,80.305,16.8,1.234
2010-05-02,37.5,17.5,26.491,219.429,100.0,23.0,78.67,22.9,1.239
2010-05-09,36.8,17.3,26.475,185.629,100.0,21.0,78.732,16.4,1.238
2010-05-16,37.8,18.7,26.755,181.314,100.0,14.0,77.85,15.2,1.239
2010-05-23,37.7,16.8,26.792,150.714,100.0,16.0,77.592,15.1,1.241
2010-05-30,36.8,17.1,26.869,105.943,100.0,18.0,77.313,16.2,1.145
2010-06-06,37.2,19.8,26.712,158.086,100.0,23.0,77.773,18.0,1.174
2010-06-13,37.2,19.9,26.802,147.314,100.0,22.0,76.741,17.1,1.273
2010-06-20,37.6,18.8,26.832,112.4,100.0,11.0,76.389,16.8,1.274
2010-06-27,36.6,19.7,26.655,120.143,100.0,15.0,75.583,16.4,1.213
2010-07-04,36.7,18.8,26.831,99.8,100.0,10.0,75.328,20.9,1.244
2010-07-11,36.9,19.4,26.826,74.057,100.0,15.0,74.054,15.6,1.296
2010-07-18,35.8,19.3,26.7,99.657,100.0,20.0,74.753,14.7,1.222
2010-07-25,37.7,18.2,26.667,99.714,100.0,26.0,75.321,17.8,1.151
2010-08-01,37.2,16.1,26.8,78.943,100.0,21.0,73.088,16.3,1.126
2010-08-08,36.8,18.1,26.942,136.486,100.0,16.0,71.656,19.2,1.146
2010-08-15,37.3,17.9,27.03,74.743,100.0,10.0,70.577,18.5,1.241
2010-08-22,36.9,17.1,27.097,103.314,100.0,10.0,71.226,17.4,1.256
2010-08-29,37.3,18.6,27.111,94.8,100.0,10.0,71.307,22.7,1.247
2010-09-05,37.1,19.7,27.331,80.857,100.0,10.0,71.838,18.5,1.31
2010-09-12,37.3,20.3,27.181,136.057,100.0,26.0,72.908,20.4,1.247
2010-09-19,37.2,20.1,27.361,146.4,100.0,10.0,72.001,20.6,1.28
2010-09-26,38.0,18.2,27.366,142.4,100.0,27.0,73.109,18.0,1.343
