data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,36.9,18.9,26.453,64.8,99.0,11.0,65.523,14.7,2.988
2010-01-10,37.5,19.1,26.391,16.714,98.0,10.0,66.144,16.7,2.944
2010-01-17,38.0,19.2,26.441,17.8,99.0,10.0,66.021,16.7,3.19
2010-01-24,38.3,19.0,26.177,83.771,100.0,11.0,69.259,17.7,2.619
2010-01-31,37.4,18.5,26.672,18.4,99.0,11.0,66.609,20.0,2.678
2010-02-07,37.7,19.8,26.873,21.686,99.0,11.0,65.966,15.2,3.039
2010-02-14,38.0,19.0,26.685,30.486,100.0,11.0,67.535,20.1,2.85
2010-02-21,37.5,18.6,26.084,51.971,100.0,22.0,71.691,15.9,2.813
2010-02-28,38.9,20.0,26.565,58.0,100.0,14.0,70.049,16.1,2.52
2010-03-07,38.6,19.3,26.297,56.229,100.0,17.0,71.683,16.5,2.407
2010-03-14,39.1,19.5,26.62,21.371,99.0,10.0,69.785,15.7,2.531
2010-03-21,37.6,19.4,26.521,31.429,99.0,15.0,69.619,16.0,2.368
2010-03-28,37.3,19.6,26.322,55.229,99.0,17.0,72.125,18.0,2.218
2010-04-04,38.0,19.6,26.258,82.457,100.0,13.0,74.268,16.5,2.145
2010-04-11,37.6,20.7,26.158,63.2,100.0,19.0,74.83,15.1,2.036
2010-04-18,37.4,19.3,25.599,81.343,100.0,21.0,77.185,18.1,2.033
2010-04-25,36.5,19.3,25.567,43.8,100.0,17.0,76.448,13.5,2.208
2010-05-02,33.8,19.7,25.613,42.743,99.0,14.0,75.71,12.8,2.225
2010-05-09,34.8,18.6,25.102,80.343,99.0,24.0,75.557,13.0,2.26
2010-05-16,34.8,18.1,25.156,61.257,99.0,20.0,75.882,13.4,2.214
2010-05-23,35.9,18.3,25.251,58.0,99.0,18.0,74.593,16.1,2.256
2010-05-30,36.0,16.0,24.96,51.171,100.0,13.0,73.919,15.0,2.428
2010-06-06,36.1,17.3,24.695,28.029,100.0,10.0,73.899,14.7,2.392
2010-06-13,35.2,16.4,24.466,29.4,99.0,13.0,72.047,13.7,2.715
2010-06-20,35.0,16.7,23.973,61.029,100.0,11.0,74.205,13.8,2.632
2010-06-27,34.4,16.0,23.865,43.943,100.0,12.0,71.501,13.2,2.81
2010-07-04,36.0,15.5,23.676,98.114,100.0,10.0,74.379,13.9,2.598
2010-07-11,35.8,16.2,23.954,50.829,100.0,10.0,72.342,16.7,2.71
2010-07-18,35.1,15.8,23.671,54.486,100.0,10.0,72.152,18.7,2.903
2010-07-25,35.1,15.4,23.316,54.543,100.0,11.0,71.671,15.8,3.065
2010-08-01,35.7,15.8,23.319,73.886,100.0,10.0,71.799,15.2,3.209
2010-08-08,35.6,14.0,23.692,19.771,100.0,10.0,67.949,15.2,3.213
2010-08-15,36.1,14.0,24.095,9.886,100.0,10.0,65.446,20.1,3.368
2010-08-22,36.6,15.6,24.379,12.714,100.0,11.0,64.825,14.7,3.508
2010-08-29,35.9,15.9,24.717,13.314,100.0,10.0,63.381,16.9,3.567
2010-09-05,36.6,16.5,24.713,10.257,100.0,10.0,64.241,17.3,3.465
2010-09-12,37.3,16.5,24.841,16.171,100.0,10.0,62.731,19.1,3.719
2010-09-19,37.9,17.4,25.189,11.657,100.0,10.0,63.155,15.1,3.673
2010-09-26,38.8,17.4,25.624,6.914,100.0,10.0,60.8,16.3,3.906
2010-10-03,37.8,17.9,25.999,1.657,100.0,10.0,60.759,14.3,3.713
2010-10-10,39.2,17.7,26.083,11.771,100.0,10.0,60.725,15.0,3.731
2010-10-17,38.0,17.2,25.969,9.971,100.0,10.0,60.537,15.8,4.002
2010-10-24,38.6,17.4,26.183,14.029,100.0,10.0,62.365,15.3,3.458
2010-10-31,38.5,17.3,26.336,2.771,99.0,10.0,61.587,15.6,3.63
2010-11-07,38.4,17.6,26.278,2.371,99.0,10.0,61.436,15.5,3.652
2010-11-14,38.6,17.4,26.581,2.457,99.0,10.0,59.861,15.4,3.941
2010-11-21,38.9,19.3,26.504,1.714,99.0,10.0,61.545,16.0,3.7
2010-11-28,38.8,18.8,26.595,6.114,98.0,10.0,60.845,14.2,3.319
2010-12-05,39.0,18.8,26.712,4.057,98.0,11.0,60.258,14.5,3.373
2010-12-12,38.4,19.4,26.826,20.457,98.0,10.0,61.66,14.6,3.088
2010-12-19,38.6,19.3,26.505,18.371,100.0,10.0,63.82,21.1,3.299
2010-12-26,38.1,17.7,26.107,31.8,100.0,10.0,66.716,21.3,3.296
