data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,38.5,17.9,26.337,19.6,100.0,16.0,61.115,13.6,2.475
2010-01-10,37.4,17.8,26.063,47.943,100.0,15.0,62.857,16.8,2.522
2010-01-17,37.0,17.9,26.244,25.857,100.0,15.0,62.621,14.4,2.462
2010-01-24,37.1,16.2,25.84,68.086,100.0,14.0,65.577,15.6,2.421
2010-01-31,37.0,17.4,26.089,20.143,100.0,14.0,64.086,17.5,2.802
2010-02-07,37.1,17.4,26.215,42.057,99.0,15.0,64.034,17.0,2.733
2010-02-14,37.0,15.8,26.646,11.543,100.0,15.0,61.416,14.6,2.809
2010-02-21,36.0,18.4,26.193,28.114,100.0,15.0,65.121,16.4,2.856
2010-02-28,36.8,16.2,26.445,37.086,100.0,14.0,64.878,23.1,2.577
2010-03-07,36.8,16.1,26.452,39.657,100.0,14.0,64.52,19.5,2.498
2010-03-14,36.4,17.8,26.615,36.771,100.0,14.0,64.525,15.3,2.465
2010-03-21,36.4,17.0,26.606,41.029,100.0,16.0,64.836,14.5,2.459
2010-03-28,38.0,15.8,26.63,41.857,100.0,14.0,64.721,17.5,2.488
2010-04-04,37.1,17.5,26.208,53.8,100.0,16.0,66.398,14.0,2.453
2010-04-11,36.9,18.0,26.37,32.886,100.0,14.0,66.296,16.6,2.47
2010-04-18,35.4,17.3,25.865,53.971,100.0,14.0,67.852,16.9,2.637
2010-04-25,35.7,17.5,25.613,60.771,100.0,16.0,68.498,15.2,2.597
2010-05-02,35.8,11.9,25.485,36.4,100.0,13.0,67.22,14.2,2.631
2010-05-09,35.4,17.2,25.087,39.571,100.0,16.0,69.258,15.0,2.759
2010-05-16,34.8,16.0,25.079,40.886,100.0,16.0,68.231,13.6,2.716
2010-05-23,36.8,15.8,24.939,34.257,100.0,15.0,69.178,15.4,2.601
2010-05-30,34.2,17.0,24.375,65.371,100.0,15.0,72.517,14.4,2.686
2010-06-06,35.6,16.6,24.151,51.457,100.0,16.0,71.495,15.5,2.549
2010-06-13,35.7,16.1,23.784,61.2,100.0,15.0,71.588,16.2,2.658
2010-06-20,33.3,15.1,22.985,118.486,100.0,16.0,74.373,15.0,2.824
2010-06-27,32.4,15.2,22.721,59.657,100.0,16.0,73.844,14.6,2.885
2010-07-04,33.1,15.4,22.502,106.943,100.0,16.0,74.241,17.3,2.701
2010-07-11,33.4,15.7,22.56,47.343,100.0,15.0,73.498,17.1,2.824
2010-07-18,33.9,13.0,22.483,52.514,100.0,16.0,72.375,14.6,2.773
2010-07-25,35.1,11.7,22.111,74.543,100.0,16.0,72.913,16.1,3.022
2010-08-01,31.8,14.2,21.882,57.886,100.0,16.0,74.303,15.2,3.064
2010-08-08,34.9,14.3,22.236,39.086,100.0,12.0,70.21,17.5,2.977
2010-08-15,34.7,14.1,22.736,23.971,100.0,16.0,68.383,19.8,3.081
2010-08-22,35.6,13.5,22.994,37.343,100.0,15.0,68.751,15.1,3.016
2010-08-29,37.2,12.6,23.034,35.314,100.0,14.0,68.996,15.0,3.062
2010-09-05,36.2,13.1,23.296,28.743,100.0,15.0,67.233,15.5,3.185
2010-09-12,37.8,15.4,23.526,25.914,100.0,12.0,65.297,15.9,3.315
2010-09-19,36.9,13.9,23.718,13.6,100.0,15.0,65.284,15.4,3.552
2010-09-26,36.8,14.0,24.316,10.514,100.0,14.0,63.632,15.8,3.328
2010-10-03,36.4,15.0,24.767,3.114,99.0,14.0,62.536,17.0,3.307
2010-10-10,38.4,15.3,25.153,8.6,99.0,12.0,60.899,18.7,3.398
2010-10-17,38.8,14.9,25.276,13.143,100.0,11.0,61.921,14.7,3.299
2010-10-24,38.7,16.0,25.457,7.229,98.0,13.0,61.81,17.0,3.377
2010-10-31,38.2,16.3,25.856,18.029,100.0,12.0,60.462,19.4,3.225
2010-11-07,39.3,16.3,25.766,41.0,100.0,13.0,60.777,17.7,3.224
2010-11-14,39.7,17.1,25.828,10.8,100.0,10.0,59.837,15.3,3.341
2010-11-21,39.6,17.0,26.46,16.114,99.0,12.0,58.58,19.4,3.07
2010-11-28,39.3,17.1,26.451,5.6,99.0,13.0,58.019,15.0,3.076
2010-12-05,38.8,15.9,26.475,7.829,100.0,12.0,58.231,15.8,3.294
2010-12-12,39.3,16.6,26.926,14.143,99.0,10.0,57.553,15.9,3.043
2010-12-19,38.0,17.1,26.386,37.257,98.0,11.0,59.656,19.0,3.113
2010-12-26,36.9,17.4,26.21,23.543,97.0,14.0,61.178,22.4,3.164
2011-01-02,38.1,16.2,26.431,9.086,97.0,14.0,59.174,17.7,2.992
2011-01-09,38.3,17.4,26.486,28.029,97.0,15.0,62.379,19.5,2.871
2011-01-16,36.8,16.4,26.219,43.086,100.0,18.0,64.377,18.1,2.845
2011-01-23,36.6,17.0,25.957,47.971,100.0,18.0,65.394,15.6,2.755
2011-01-30,37.3,16.8,26.203,19.171,100.0,17.0,63.777,17.4,2.696
2011-02-06,37.5,16.6,26.4,12.486,100.0,16.0,63.47,17.0,2.872
2011-02-13,38.8,16.4,26.489,36.429,100.0,12.0,63.926,19.3,2.796
2011-02-20,38.1,16.8,25.817,81.571,100.0,15.0,67.51,22.1,2.796
2011-02-27,37.4,16.7,26.079,44.429,97.0,17.0,67.134,17.3,2.556
2011-03-06,36.8,15.8,26.462,49.571,100.0,17.0,64.489,15.5,2.82
2011-03-13,36.9,16.6,26.838,33.286,100.0,16.0,64.191,17.3,2.738
2011-03-20,37.2,15.9,26.516,47.6,100.0,16.0,64.773,16.1,2.604
2011-03-27,36.2,17.4,26.544,34.286,97.0,12.0,65.915,17.8,2.666
2011-04-03,36.8,17.8,26.171,47.8,100.0,16.0,67.627,15.3,2.681
2011-04-10,36.2,15.8,26.242,61.771,100.0,19.0,68.031,15.1,2.736
