data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,38.9,19.3,27.155,51.6,100.0,21.0,68.337,14.4,1.598
2010-01-10,40.3,16.7,26.943,85.8,100.0,18.0,69.857,17.9,1.619
2010-01-17,38.2,18.3,27.069,76.086,100.0,18.0,69.077,16.5,1.618
2010-01-24,39.2,17.4,26.728,78.6,100.0,13.0,71.336,19.9,1.572
2010-01-31,38.1,18.9,26.751,101.171,100.0,16.0,72.013,17.2,1.558
2010-02-07,38.7,18.3,26.92,49.629,100.0,20.0,70.531,21.8,1.616
2010-02-14,39.2,17.3,26.841,92.686,100.0,19.0,70.925,15.5,1.555
2010-02-21,39.7,18.2,26.366,174.943,100.0,21.0,74.467,17.8,1.457
2010-02-28,38.7,17.8,26.541,156.4,100.0,19.0,73.829,18.9,1.42
2010-03-07,39.5,18.3,26.423,151.429,100.0,15.0,74.793,18.9,1.323
2010-03-14,38.6,18.4,26.675,103.029,100.0,12.0,75.037,16.5,1.373
2010-03-21,39.0,18.7,26.717,118.657,100.0,21.0,74.582,15.9,1.423
2010-03-28,37.8,17.5,26.259,184.057,100.0,21.0,77.46,17.6,1.24
2010-04-04,39.4,18.3,26.603,175.343,100.0,18.0,75.386,16.1,1.332
2010-04-11,37.9,18.1,26.589,99.914,100.0,14.0,76.085,21.0,1.222
2010-04-18,38.2,18.1,26.469,99.0,100.0,20.0,75.311,15.8,1.393
2010-04-25,37.1,17.7,26.703,99.2,100.0,19.0,73.768,16.3,1.389
2010-05-02,38.4,15.8,26.822,74.4,100.0,12.0,70.273,17.3,1.432
2010-05-09,38.2,16.6,26.85,54.286,100.0,13.0,69.011,15.2,1.52
2010-05-16,37.9,15.3,26.953,41.6,100.0,14.0,66.988,18.7,1.557
2010-05-23,37.9,16.8,27.073,32.0,100.0,17.0,65.994,13.7,1.633
2010-05-30,37.8,13.4,27.224,9.886,100.0,18.0,61.855,17.9,1.758
2010-06-06,37.9,13.2,27.149,12.4,100.0,14.0,59.79,14.6,1.719
2010-06-13,38.1,15.0,26.968,12.086,100.0,14.0,59.089,15.1,1.836
2010-06-20,37.9,15.7,26.964,5.257,100.0,13.0,56.246,16.4,2.106
2010-06-27,36.7,15.3,26.795,5.4,100.0,13.0,55.883,19.9,2.108
2010-07-04,37.6,13.7,26.575,20.771,100.0,14.0,55.218,15.9,2.193
2010-07-11,38.6,14.5,26.909,26.086,100.0,13.0,54.671,16.3,2.151
2010-07-18,37.6,14.3,26.861,7.714,100.0,14.0,53.298,16.6,2.255
2010-07-25,39.2,12.6,26.743,7.114,100.0,10.0,51.253,15.4,2.231
2010-08-01,38.2,11.1,26.695,11.943,100.0,12.0,50.917,15.8,2.4
2010-08-08,40.4,12.4,27.107,8.943,100.0,10.0,49.726,16.7,2.345
2010-08-15,40.4,12.6,27.397,2.457,100.0,12.0,47.301,20.1,2.278
2010-08-22,41.7,13.6,27.722,5.914,100.0,13.0,47.066,17.1,2.455
2010-08-29,39.9,14.7,28.264,5.486,100.0,11.0,46.241,16.5,2.544
2010-09-05,39.2,15.9,28.638,2.771,100.0,13.0,43.917,22.5,2.458
2010-09-12,40.8,13.7,28.863,7.686,100.0,10.0,43.539,16.2,2.557
2010-09-19,41.4,15.4,29.176,5.686,100.0,10.0,42.874,19.1,2.608
2010-09-26,42.0,14.5,29.545,8.343,96.0,10.0,43.278,17.9,2.419
2010-10-03,40.9,16.2,29.789,19.457,100.0,11.0,45.226,20.4,2.367
2010-10-10,41.1,17.8,30.028,14.629,100.0,10.0,44.657,16.7,2.434
2010-10-17,41.4,17.6,29.967,6.686,100.0,11.0,46.079,19.6,2.601
2010-10-24,41.5,19.3,29.41,47.457,100.0,10.0,51.131,21.5,2.133
2010-10-31,41.6,17.9,29.607,22.286,100.0,11.0,51.057,23.2,2.14
2010-11-07,40.5,19.0,28.985,24.914,100.0,10.0,54.541,24.6,2.271
2010-11-14,41.4,18.5,29.048,31.486,100.0,10.0,54.768,21.8,2.129
2010-11-21,40.7,17.5,28.883,58.6,100.0,13.0,58.046,18.3,1.867
2010-11-28,40.7,18.5,28.747,54.514,100.0,11.0,59.424,19.3,1.92
2010-12-05,41.0,18.3,28.757,63.486,100.0,12.0,58.023,18.6,2.008
2010-12-12,40.6,17.3,28.48,58.543,100.0,14.0,60.072,20.9,1.87
2010-12-19,40.2,16.7,27.966,115.086,100.0,10.0,63.499,24.0,1.81
2010-12-26,40.8,17.7,28.447,64.8,100.0,13.0,60.547,21.0,2.06
2011-01-02,40.1,17.2,28.324,67.143,100.0,14.0,60.912,22.8,1.904
2011-01-09,38.9,17.5,27.307,152.714,100.0,15.0,68.136,17.9,1.626
2011-01-16,38.9,17.8,27.394,97.057,100.0,16.0,67.258,18.2,1.717
2011-01-23,38.7,19.5,27.069,111.429,100.0,17.0,70.027,19.1,1.495
2011-01-30,38.2,19.4,26.937,70.286,100.0,15.0,71.567,18.3,1.493
2011-02-06,38.9,17.7,27.306,91.886,100.0,15.0,68.6,21.5,1.628
