data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,34.3,10.8,22.976,177.0,100.0,24.0,77.943,15.9,2.226
2010-01-10,37.9,8.0,23.457,185.971,100.0,14.0,75.905,24.2,2.2
2010-01-17,36.0,8.3,23.629,241.4,100.0,17.0,76.211,23.8,2.102
2010-01-24,38.8,1.3,23.4,145.371,100.0,20.0,74.738,25.1,2.195
2010-01-31,40.0,2.0,23.291,147.114,100.0,22.0,76.029,24.4,2.035
2010-02-07,38.1,6.8,23.868,163.457,100.0,19.0,74.099,18.2,1.95
2010-02-14,38.2,9.4,24.006,165.343,100.0,15.0,73.056,21.0,2.178
2010-02-21,37.8,12.7,23.719,193.057,100.0,14.0,75.79,23.1,2.203
2010-02-28,38.0,11.5,23.639,215.2,100.0,18.0,76.916,24.8,2.105
2010-03-07,37.9,3.5,22.698,126.371,100.0,15.0,75.715,27.3,2.385
2010-03-14,37.5,11.3,23.429,134.914,100.0,14.0,72.341,19.0,2.131
2010-03-21,38.7,8.8,22.998,92.4,100.0,17.0,74.429,21.8,2.237
2010-03-28,39.0,10.4,22.37,147.286,100.0,20.0,75.193,24.1,2.228
2010-04-04,39.0,7.1,21.845,103.029,100.0,13.0,73.831,24.9,1.991
2010-04-11,39.4,6.3,21.71,124.2,100.0,14.0,73.485,27.1,2.012
2010-04-18,38.3,3.7,21.523,106.257,100.0,15.0,75.792,22.0,2.07
2010-04-25,38.3,4.2,21.283,101.657,100.0,13.0,73.259,21.4,1.954
2010-05-02,37.6,0.5,19.897,137.0,100.0,15.0,74.384,20.0,2.32
2010-05-09,36.4,-0.2,19.095,102.571,100.0,21.0,74.318,19.7,2.15
2010-05-16,37.0,0.4,19.111,111.543,100.0,26.0,77.856,21.5,2.094
2010-05-23,36.8,1.4,17.891,102.629,100.0,13.0,76.39,21.1,2.408
2010-05-30,34.2,1.6,17.629,181.629,100.0,23.0,78.988,20.2,2.1
2010-06-06,32.9,1.3,17.1,145.429,100.0,22.0,80.494,18.3,1.881
2010-06-13,36.1,-1.4,16.731,212.314,100.0,21.0,78.779,19.9,2.141
2010-06-20,35.3,-2.4,17.474,82.286,100.0,15.0,76.242,23.3,2.111
2010-06-27,34.5,-2.0,17.87,137.257,100.0,27.0,77.959,19.4,2.158
2010-07-04,34.3,-2.3,17.258,121.629,100.0,15.0,76.623,21.0,2.052
2010-07-11,34.0,-0.7,16.742,68.4,100.0,13.0,73.273,17.4,2.164
2010-07-18,35.2,0.1,18.066,85.029,100.0,19.0,70.85,23.0,2.209
2010-07-25,37.3,-2.2,16.802,75.0,100.0,14.0,73.506,25.2,2.183
2010-08-01,39.1,-1.6,18.136,88.057,100.0,21.0,72.145,17.9,2.242
2010-08-08,35.4,-0.1,17.801,47.686,100.0,15.0,68.063,20.5,2.54
2010-08-15,34.6,0.4,19.187,44.429,100.0,15.0,66.166,18.3,2.633
2010-08-22,35.1,0.0,18.507,230.029,100.0,15.0,70.412,28.5,2.75
2010-08-29,35.9,-1.0,18.374,53.4,100.0,14.0,66.684,19.2,2.752
2010-09-05,36.7,-0.2,19.18,72.429,100.0,12.0,64.426,24.5,2.671
2010-09-12,37.9,2.2,20.425,99.657,100.0,13.0,66.211,19.0,2.547
2010-09-19,38.1,4.1,21.166,57.371,100.0,10.0,64.069,24.1,2.697
2010-09-26,38.3,3.2,20.055,120.4,100.0,12.0,67.532,26.9,2.512
2010-10-03,37.1,2.0,19.536,147.343,100.0,14.0,68.712,34.2,2.69
2010-10-10,37.5,7.5,20.751,161.171,100.0,12.0,69.114,25.6,2.6
2010-10-17,37.5,5.3,20.905,228.114,100.0,12.0,71.187,20.7,2.606
2010-10-24,37.8,0.7,21.695,131.371,100.0,11.0,69.461,32.0,2.656
2010-10-31,37.9,4.0,21.535,201.829,100.0,10.0,70.44,29.4,2.504
2010-11-07,39.4,5.6,21.035,170.371,100.0,11.0,70.013,31.6,2.686
2010-11-14,39.0,4.6,22.32,131.543,100.0,10.0,68.477,21.0,2.527
2010-11-21,39.2,7.4,21.845,143.943,100.0,13.0,68.05,26.0,2.629
2010-11-28,37.5,6.7,22.004,180.8,100.0,12.0,70.027,21.9,2.382
2010-12-05,37.7,6.2,22.555,147.371,100.0,19.0,72.367,22.1,2.403
2010-12-12,39.2,8.5,22.881,243.343,100.0,20.0,75.723,25.1,2.181
2010-12-19,37.0,9.0,22.994,166.829,100.0,20.0,73.331,20.5,2.244
2010-12-26,38.1,9.2,23.189,218.514,100.0,12.0,74.884,25.2,2.138
2011-01-02,38.8,11.7,23.269,177.0,100.0,16.0,76.837,21.2,2.048
2011-01-09,37.0,6.6,22.838,196.286,100.0,14.0,77.725,23.9,2.077
2011-01-16,35.7,2.0,22.951,271.057,100.0,19.0,78.327,22.4,2.128
2011-01-23,37.0,8.6,22.879,274.8,100.0,16.0,77.581,23.7,2.07
2011-01-30,37.6,10.8,23.062,190.371,100.0,20.0,75.899,23.1,2.129
2011-02-06,38.4,6.0,23.206,179.8,100.0,19.0,76.285,32.3,2.059
2011-02-13,40.0,5.9,23.295,169.686,100.0,15.0,73.158,18.4,2.052
2011-02-20,37.7,3.5,23.041,184.543,100.0,14.0,76.482,24.6,1.957
2011-02-27,37.6,10.0,23.561,147.0,100.0,21.0,75.172,20.7,1.9
2011-03-06,36.1,11.2,22.885,183.514,100.0,12.0,76.287,21.2,2.018
2011-03-13,38.4,10.9,23.198,194.714,100.0,15.0,74.788,19.9,1.779
2011-03-20,36.7,11.9,23.147,159.8,100.0,19.0,74.616,25.4,2.111
2011-03-27,36.2,8.1,22.354,112.771,100.0,17.0,75.435,21.9,2.123
2011-04-03,36.2,3.1,21.572,164.971,100.0,13.0,74.875,20.5,1.949
2011-04-10,37.8,7.1,21.944,115.771,100.0,13.0,73.774,22.2,1.989
2011-04-17,38.8,7.8,22.259,91.2,100.0,15.0,73.355,21.7,2.133
2011-04-24,38.2,6.8,20.998,89.657,100.0,18.0,74.41,20.7,2.005
2011-05-01,36.3,2.1,20.199,171.2,100.0,12.0,73.854,23.5,2.161
2011-05-08,36.3,-0.3,19.802,90.8,100.0,21.0,73.149,21.6,2.116
2011-05-15,36.6,0.2,19.234,123.4,100.0,12.0,75.664,23.1,2.032
2011-05-22,37.5,3.3,18.584,174.4,100.0,20.0,78.476,28.1,2.189
2011-05-29,37.6,2.9,18.076,143.314,100.0,10.0,77.33,28.8,2.018
2011-06-05,38.8,5.1,18.407,180.629,100.0,19.0,78.375,30.8,1.886
2011-06-12,35.4,1.2,17.329,226.543,100.0,20.0,79.572,28.9,1.716
2011-06-19,34.6,-0.3,17.243,63.6,100.0,19.0,76.441,18.2,1.843
2011-06-26,37.2,2.9,17.351,203.971,100.0,18.0,78.127,17.4,2.098
2011-07-03,34.2,-2.9,17.199,123.657,100.0,13.0,76.079,26.7,2.03
2011-07-10,36.7,-2.5,17.25,71.886,100.0,20.0,73.459,19.2,2.103
2011-07-17,35.1,0.9,17.466,73.857,100.0,19.0,72.009,24.5,2.085
2011-07-24,35.7,-4.0,16.946,123.771,100.0,13.0,72.343,24.3,2.039
2011-07-31,37.3,-2.9,17.555,70.486,100.0,11.0,71.431,19.4,1.905
2011-08-07,34.1,-4.0,17.548,121.0,100.0,14.0,70.979,17.8,1.945
