data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,39.1,14.1,25.004,191.8,100.0,27.0,79.808,18.0,2.549
2010-01-10,39.2,10.6,25.036,145.657,100.0,23.0,78.898,24.1,2.574
2010-01-17,40.2,11.8,25.247,105.8,100.0,24.0,77.785,25.1,2.685
2010-01-24,40.4,11.3,25.056,123.0,100.0,21.0,76.98,22.1,2.695
2010-01-31,39.8,13.0,25.394,150.2,100.0,16.0,76.412,27.9,2.689
2010-02-07,39.1,9.0,25.114,140.657,100.0,21.0,78.117,18.1,2.618
2010-02-14,39.4,11.9,25.092,148.686,100.0,24.0,77.736,20.1,2.559
2010-02-21,37.8,11.6,25.247,115.057,100.0,23.0,77.399,23.4,2.361
2010-02-28,39.4,11.0,25.375,83.543,100.0,25.0,77.395,27.2,2.536
2010-03-07,38.5,12.1,24.61,195.029,100.0,15.0,80.608,20.6,2.164
2010-03-14,37.5,11.1,24.971,132.743,100.0,23.0,80.665,31.8,2.195
2010-03-21,36.5,13.5,24.868,106.971,100.0,28.0,80.64,46.4,2.105
2010-03-28,37.0,8.9,24.177,74.229,100.0,29.0,80.759,49.6,2.037
2010-04-04,36.7,11.3,24.049,124.0,100.0,29.0,81.263,17.7,1.975
2010-04-11,36.7,8.7,23.633,188.629,100.0,16.0,81.378,46.0,1.931
2010-04-18,37.4,10.0,23.372,77.657,100.0,15.0,80.93,47.2,1.978
2010-04-25,36.9,6.3,22.967,36.8,100.0,25.0,80.134,31.2,2.007
2010-05-02,37.0,3.1,22.395,80.771,100.0,24.0,80.024,48.1,2.029
2010-05-09,35.0,8.4,22.139,57.4,100.0,14.0,80.484,42.7,2.076
2010-05-16,34.4,4.0,21.204,115.629,100.0,32.0,80.637,19.2,1.965
2010-05-23,34.6,4.3,20.589,136.286,100.0,21.0,82.516,27.0,2.036
2010-05-30,35.2,6.3,20.732,75.371,100.0,27.0,80.655,21.6,2.01
2010-06-06,36.0,5.3,20.765,109.714,100.0,21.0,81.803,23.6,1.988
2010-06-13,33.9,8.3,20.428,111.857,100.0,24.0,81.128,19.9,2.161
2010-06-20,35.4,7.3,19.853,29.4,100.0,24.0,79.868,16.4,2.11
2010-06-27,37.4,7.6,20.121,36.486,100.0,24.0,79.803,16.4,2.201
2010-07-04,33.7,8.4,20.15,28.086,100.0,14.0,79.173,24.4,2.152
2010-07-11,33.2,6.7,19.209,19.686,100.0,21.0,77.343,23.9,2.364
2010-07-18,35.4,2.9,19.819,64.829,100.0,21.0,78.206,20.3,2.283
2010-07-25,32.8,6.4,19.667,25.4,100.0,12.0,77.648,21.8,2.514
2010-08-01,34.9,5.3,19.772,38.914,100.0,16.0,78.12,25.7,2.292
2010-08-08,35.1,1.9,19.554,40.543,100.0,20.0,77.8,23.8,2.314
2010-08-15,35.2,4.9,19.925,16.857,100.0,10.0,76.644,23.0,2.708
2010-08-22,36.5,4.3,19.693,44.743,100.0,11.0,77.166,24.9,2.481
2010-08-29,37.0,6.6,20.061,30.914,100.0,14.0,75.407,43.6,2.567
2010-09-05,37.8,7.6,20.635,38.629,100.0,14.0,74.885,28.4,2.765
2010-09-12,40.4,4.2,20.705,41.6,100.0,10.0,75.519,24.6,2.906
2010-09-19,39.1,6.7,21.781,60.8,100.0,12.0,75.119,21.5,2.764
2010-09-26,39.7,4.4,21.558,78.343,100.0,11.0,76.144,23.9,2.832
2010-10-03,41.4,9.4,21.505,93.143,100.0,19.0,77.997,19.4,2.501
2010-10-10,37.8,1.6,21.679,77.486,100.0,17.0,78.427,23.3,2.705
2010-10-17,40.9,9.1,22.353,77.971,100.0,13.0,75.478,20.8,2.675
2010-10-24,39.8,4.2,22.069,120.114,100.0,14.0,77.562,22.0,2.544
2010-10-31,39.7,4.1,22.456,125.571,100.0,22.0,79.198,23.1,2.697
2010-11-07,41.1,10.1,21.996,159.543,100.0,14.0,79.676,24.0,2.633
2010-11-14,38.7,5.9,22.231,161.686,100.0,14.0,81.11,22.5,2.336
2010-11-21,37.3,5.4,22.098,178.486,100.0,11.0,80.089,25.8,2.44
2010-11-28,38.2,7.7,22.381,176.029,100.0,17.0,81.141,27.4,2.483
2010-12-05,37.3,7.3,22.995,173.4,100.0,29.0,82.299,20.3,2.455
2010-12-12,38.5,4.9,23.278,154.514,100.0,18.0,81.324,38.5,2.296
2010-12-19,38.2,5.4,24.201,163.314,100.0,19.0,80.09,32.9,2.471
2010-12-26,38.6,11.2,24.348,164.029,100.0,12.0,80.098,29.0,2.461
2011-01-02,40.1,9.8,24.423,118.6,100.0,21.0,78.711,39.4,2.359
2011-01-09,38.0,10.4,24.651,257.657,100.0,28.0,79.716,22.7,2.482
2011-01-16,37.8,10.9,24.903,163.743,100.0,24.0,79.448,20.8,2.352
2011-01-23,38.2,4.6,24.733,124.171,100.0,10.0,78.157,29.9,2.43
2011-01-30,40.0,8.5,25.255,105.057,100.0,15.0,75.419,26.9,2.637
2011-02-06,40.2,11.6,25.435,98.457,100.0,11.0,76.55,16.7,2.42
2011-02-13,39.7,9.6,24.763,150.4,100.0,10.0,77.45,49.4,2.433
2011-02-20,40.4,9.6,24.852,151.0,100.0,10.0,78.084,44.1,2.608
2011-02-27,41.0,10.6,25.218,87.743,100.0,11.0,76.924,19.8,2.362
2011-03-06,38.2,11.8,24.833,199.057,100.0,23.0,79.556,23.1,2.113
2011-03-13,38.0,10.9,24.957,137.657,100.0,27.0,79.325,20.7,2.014
2011-03-20,38.7,7.3,24.887,132.971,100.0,17.0,79.203,32.9,2.075
2011-03-27,37.9,8.4,24.309,132.257,100.0,24.0,79.411,21.1,1.827
2011-04-03,36.4,8.3,24.15,126.914,100.0,12.0,79.466,42.3,2.007
2011-04-10,36.8,7.0,23.95,136.486,100.0,22.0,79.045,42.4,2.087
2011-04-17,37.0,7.2,23.429,121.886,100.0,21.0,79.537,27.5,2.048
2011-04-24,37.7,10.8,22.918,40.486,100.0,23.0,77.591,18.0,1.996
2011-05-01,37.3,9.5,22.606,98.429,100.0,22.0,78.809,40.4,2.053
2011-05-08,35.1,7.3,21.685,57.143,100.0,20.0,79.62,27.1,2.049
2011-05-15,36.4,5.7,21.057,122.657,100.0,23.0,80.358,24.4,2.138
2011-05-22,35.2,7.0,20.623,127.771,100.0,14.0,80.815,23.5,2.041
2011-05-29,33.9,7.4,20.592,54.6,100.0,16.0,79.827,36.8,2.165
2011-06-05,35.1,6.0,20.712,143.714,100.0,22.0,81.386,27.6,2.023
2011-06-12,36.4,5.0,20.137,75.229,100.0,10.0,81.014,22.3,2.229
2011-06-19,35.2,1.9,19.749,65.143,100.0,10.0,80.032,20.7,2.128
2011-06-26,33.6,7.2,20.438,64.143,100.0,10.0,79.471,20.1,2.298
2011-07-03,33.0,5.1,19.758,30.714,100.0,11.0,78.441,20.3,2.225
2011-07-10,34.2,2.1,19.359,32.857,100.0,10.0,78.297,23.8,2.348
2011-07-17,34.8,5.7,19.999,36.629,100.0,10.0,75.838,23.9,2.655
2011-07-24,34.8,2.8,19.716,28.543,100.0,23.0,77.726,26.3,2.767
2011-07-31,36.7,7.4,20.016,45.229,100.0,20.0,77.32,19.2,2.562
2011-08-07,36.2,5.1,19.565,61.457,100.0,18.0,77.111,20.7,2.325
2011-08-14,36.4,5.0,19.777,45.6,100.0,13.0,76.87,18.8,2.593
2011-08-21,36.2,1.2,19.854,82.657,100.0,11.0,77.648,21.9,2.8
2011-08-28,36.0,6.2,19.599,62.657,100.0,14.0,76.871,22.0,2.36
2011-09-04,36.6,6.4,20.545,63.914,100.0,10.0,74.833,23.1,2.64
2011-09-11,38.5,7.3,20.733,56.343,100.0,16.0,75.411,18.2,2.714
2011-09-18,39.5,6.5,21.64,57.457,100.0,10.0,74.556,21.8,2.76
2011-09-25,41.6,5.7,21.538,81.257,100.0,12.0,74.624,22.4,2.901
2011-10-02,40.3,6.6,21.285,135.714,100.0,12.0,77.743,23.1,2.84
2011-10-09,39.9,8.2,21.391,96.343,100.0,14.0,78.176,24.0,2.849
2011-10-16,39.1,3.4,21.797,107.4,100.0,12.0,76.449,26.2,2.971
2011-10-23,39.9,5.6,21.71,111.086,100.0,17.0,78.209,20.4,2.667
2011-10-30,39.0,6.6,22.185,93.114,100.0,16.0,78.43,21.3,2.711
2011-11-06,40.5,7.2,21.731,143.086,100.0,21.0,78.248,29.8,2.535
2011-11-13,40.5,5.6,22.116,167.343,100.0,23.0,80.101,23.8,2.597
2011-11-20,39.7,8.3,21.982,202.629,100.0,22.0,80.289,20.6,2.359
2011-11-27,37.9,7.0,22.333,204.057,100.0,22.0,80.868,27.1,2.36
2011-12-04,36.7,8.7,23.028,237.371,100.0,23.0,81.681,21.5,2.606
2011-12-11,39.5,7.5,23.23,180.829,100.0,25.0,80.814,22.8,2.373
2011-12-18,39.6,8.3,24.044,158.057,100.0,19.0,79.643,20.9,2.358
2011-12-25,38.5,11.4,24.122,183.057,100.0,23.0,78.738,26.4,2.369
2012-01-01,41.1,8.1,24.261,132.743,100.0,25.0,78.07,20.6,2.212
2012-01-08,39.5,6.3,24.712,215.4,100.0,26.0,78.248,27.5,2.529
2012-01-15,38.8,9.4,24.884,169.429,100.0,19.0,76.908,25.0,2.541
2012-01-22,39.6,10.1,24.91,104.343,100.0,14.0,75.994,25.0,2.484
2012-01-29,39.9,11.3,25.07,127.2,100.0,20.0,75.826,22.8,2.572
2012-02-05,40.2,14.0,25.495,130.686,100.0,17.0,75.315,19.9,2.404
2012-02-12,38.8,10.0,24.678,158.886,100.0,23.0,77.847,20.7,2.281
2012-02-19,39.1,9.3,24.759,178.971,100.0,23.0,77.458,29.5,2.189
2012-02-26,39.6,10.7,24.955,130.057,100.0,24.0,77.456,20.3,2.241
2012-03-04,38.7,7.1,24.171,173.6,100.0,26.0,79.535,21.4,2.107
2012-03-11,38.8,11.1,24.772,151.514,100.0,25.0,78.879,35.1,2.046
2012-03-18,38.7,11.4,25.166,135.086,100.0,24.0,78.613,22.5,2.217
2012-03-25,39.0,9.2,24.017,124.514,100.0,28.0,79.733,19.3,2.13
2012-04-01,37.3,9.0,24.305,143.257,100.0,28.0,79.089,22.1,2.047
2012-04-08,37.1,6.5,23.536,161.286,100.0,22.0,79.821,22.0,1.921
2012-04-15,35.9,11.1,23.478,98.486,100.0,20.0,79.175,23.8,2.083
2012-04-22,35.6,10.9,22.682,68.686,100.0,23.0,79.122,20.6,2.093
2012-04-29,36.4,7.4,22.452,104.657,100.0,29.0,80.428,21.7,2.119
2012-05-06,34.7,3.8,21.509,114.629,100.0,20.0,80.834,24.0,2.011
2012-05-13,33.8,9.0,21.143,96.143,100.0,30.0,81.275,30.6,2.017
2012-05-20,34.2,5.8,20.62,138.257,100.0,24.0,81.844,24.6,2.085
2012-05-27,33.7,3.2,20.554,65.086,100.0,30.0,80.511,21.1,2.105
2012-06-03,34.5,4.9,20.742,74.629,100.0,22.0,81.753,18.4,2.013
2012-06-10,35.8,2.6,20.428,99.943,100.0,16.0,81.079,33.0,2.344
2012-06-17,33.1,1.3,19.667,45.914,100.0,11.0,80.443,24.7,2.176
2012-06-24,33.2,7.1,20.053,89.486,100.0,14.0,80.35,23.1,2.134
2012-07-01,33.1,6.0,19.912,26.743,100.0,17.0,79.354,25.3,2.327
2012-07-08,37.0,5.4,19.701,44.686,100.0,17.0,79.383,18.4,2.322
2012-07-15,34.9,3.4,19.622,61.514,100.0,11.0,77.345,22.5,2.154
2012-07-22,34.8,2.5,19.876,33.829,100.0,19.0,76.44,22.8,2.368
2012-07-29,33.6,5.3,19.876,47.8,100.0,14.0,77.326,21.4,2.426
2012-08-05,35.1,3.4,19.641,64.6,100.0,13.0,77.095,25.0,2.311
2012-08-12,36.0,5.1,19.82,29.629,100.0,16.0,75.476,23.4,2.556
2012-08-19,34.0,2.3,19.783,81.857,100.0,14.0,76.728,21.2,2.68
2012-08-26,35.9,4.7,20.271,48.543,100.0,14.0,75.415,23.9,2.741
2012-09-02,36.5,4.1,20.301,43.314,100.0,10.0,76.034,21.9,2.677
2012-09-09,38.5,1.7,20.488,81.314,100.0,10.0,75.139,24.7,2.852
2012-09-16,39.0,7.6,21.838,37.6,100.0,11.0,74.459,26.4,2.714
2012-09-23,41.1,5.0,22.138,61.8,100.0,10.0,75.283,22.1,2.504
2012-09-30,39.1,5.5,21.267,97.4,100.0,15.0,76.588,21.2,2.685
2012-10-07,37.4,8.1,21.815,67.257,100.0,15.0,76.195,21.1,2.684
2012-10-14,39.4,10.6,22.206,78.0,100.0,17.0,75.421,28.2,2.881
2012-10-21,41.2,3.4,22.238,94.457,100.0,13.0,77.738,22.0,2.656
2012-10-28,38.7,4.8,22.413,94.771,100.0,24.0,78.402,22.6,2.738
2012-11-04,37.3,2.8,22.643,89.971,100.0,23.0,76.148,22.6,2.773
2012-11-11,39.4,5.7,22.557,167.343,100.0,10.0,78.466,19.9,2.405
2012-11-18,40.5,7.7,22.304,136.514,100.0,7.0,78.639,46.1,2.558
2012-11-25,37.2,5.8,22.594,169.457,100.0,17.0,79.924,21.6,2.332
2012-12-02,37.8,8.5,23.202,190.257,100.0,25.0,80.653,22.9,2.513
2012-12-09,39.2,7.3,23.427,182.771,100.0,28.0,80.035,27.2,2.449
2012-12-16,39.0,2.9,23.753,210.229,100.0,23.0,79.962,24.6,2.38
2012-12-23,37.6,6.2,23.879,188.171,100.0,7.0,78.199,24.1,2.744
2012-12-30,41.5,10.8,24.458,133.229,100.0,12.0,77.936,25.6,2.291
2013-01-06,39.7,9.9,24.478,208.229,100.0,26.0,78.391,25.9,2.594
2013-01-13,39.4,7.5,24.506,229.286,100.0,19.0,78.94,27.9,2.534
2013-01-20,40.8,10.2,24.375,180.686,100.0,23.0,78.9,26.6,2.671
2013-01-27,39.0,10.0,24.605,87.6,100.0,25.0,76.069,20.1,2.576
2013-02-03,38.7,6.8,24.553,182.029,100.0,15.0,77.953,23.6,2.359
2013-02-10,40.8,9.1,24.429,254.457,100.0,23.0,78.063,32.2,2.339
2013-02-17,39.9,11.4,24.784,135.743,100.0,22.0,77.412,25.0,2.473
2013-02-24,40.0,11.7,24.851,86.229,100.0,26.0,77.614,22.8,2.421
2013-03-03,38.8,6.4,23.993,288.143,100.0,17.0,80.055,19.4,2.144
2013-03-10,37.4,8.4,24.067,152.857,100.0,18.0,80.388,20.4,2.296
2013-03-17,38.3,10.9,24.623,174.943,100.0,26.0,79.848,26.6,2.274
2013-03-24,38.3,7.2,23.427,181.114,100.0,28.0,81.055,26.0,2.255
2013-03-31,37.6,9.1,23.733,125.171,100.0,26.0,79.96,43.4,2.162
2013-04-07,37.2,8.8,23.521,173.343,100.0,26.0,81.117,33.4,2.212
2013-04-14,36.7,7.8,22.943,122.229,100.0,27.0,80.907,29.4,2.053
2013-04-21,36.4,7.9,22.384,121.8,100.0,24.0,80.012,21.7,2.046
2013-04-28,37.0,7.5,22.538,72.371,100.0,22.0,78.908,28.4,2.075
2013-05-05,35.6,4.2,21.572,109.6,100.0,20.0,80.711,25.4,1.941
2013-05-12,33.8,6.4,21.085,58.457,100.0,31.0,80.495,22.3,1.989
2013-05-19,33.8,6.9,20.675,156.714,100.0,19.0,81.107,23.7,2.175
2013-05-26,34.3,4.9,20.362,59.057,100.0,24.0,80.348,25.2,2.134
2013-06-02,33.9,6.4,20.601,38.6,100.0,13.0,79.311,19.5,2.235
2013-06-09,34.3,7.4,20.485,109.943,100.0,15.0,80.331,21.5,2.296
2013-06-16,34.2,4.6,20.04,52.029,100.0,19.0,79.907,22.0,2.071
2013-06-23,35.2,7.3,19.902,55.114,100.0,23.0,80.465,23.6,2.104
2013-06-30,36.2,2.2,20.003,67.543,100.0,15.0,79.393,23.0,2.129
2013-07-07,37.5,0.5,19.792,65.286,100.0,17.0,78.634,27.8,2.316
2013-07-14,35.1,4.6,19.302,66.771,100.0,16.0,77.824,25.5,2.221
2013-07-21,35.6,3.9,19.951,54.371,100.0,19.0,78.401,31.2,2.492
2013-07-28,32.8,1.8,19.699,56.629,100.0,20.0,77.467,19.8,2.408
2013-08-04,35.2,0.3,19.703,68.543,100.0,18.0,77.353,21.7,2.305
2013-08-11,34.8,4.3,19.636,60.0,100.0,19.0,78.042,20.6,2.378
2013-08-18,34.4,6.1,19.739,44.229,100.0,13.0,75.17,25.6,2.717
2013-08-25,36.1,5.7,19.979,121.486,100.0,14.0,76.262,24.4,2.468
2013-09-01,37.2,5.7,20.32,35.771,100.0,10.0,74.94,19.3,2.441
2013-09-08,36.8,1.9,20.727,54.686,100.0,10.0,73.915,24.1,2.551
2013-09-15,39.7,8.8,21.921,54.2,100.0,12.0,73.428,22.9,2.759
2013-09-22,39.1,8.8,21.87,66.057,100.0,13.0,75.637,20.8,2.676
2013-09-29,39.4,1.0,21.037,116.143,100.0,11.0,76.922,30.1,2.634
2013-10-06,41.1,2.1,21.823,67.714,100.0,14.0,77.378,24.2,2.467
2013-10-13,41.4,7.2,21.969,53.971,100.0,13.0,75.034,18.7,2.641
2013-10-20,41.0,5.5,22.554,88.943,100.0,16.0,77.706,20.0,2.635
2013-10-27,38.6,10.2,22.543,67.143,100.0,21.0,76.602,27.8,2.5
2013-11-03,39.8,8.7,22.706,116.771,100.0,21.0,75.997,20.3,2.662
2013-11-10,40.2,8.7,21.774,150.629,100.0,24.0,79.393,20.7,2.444
2013-11-17,39.1,4.1,22.424,216.486,100.0,15.0,80.326,29.1,2.565
2013-11-24,40.9,7.2,22.217,199.229,100.0,15.0,78.854,24.3,2.624
2013-12-01,37.7,9.4,22.726,238.571,100.0,22.0,80.044,27.0,2.657
2013-12-08,38.3,7.2,22.984,172.371,100.0,25.0,81.265,24.5,2.476
2013-12-15,38.9,7.3,23.546,210.486,100.0,19.0,79.411,20.6,2.477
2013-12-22,39.5,8.1,23.958,130.057,100.0,22.0,78.429,35.5,2.612
2013-12-29,39.3,6.6,23.866,200.686,100.0,16.0,79.635,19.5,2.403
2014-01-05,40.2,6.1,24.231,208.029,100.0,22.0,78.765,28.5,2.437
2014-01-12,39.3,10.7,24.754,170.514,100.0,22.0,76.721,26.6,2.736
2014-01-19,40.1,7.2,24.442,189.571,100.0,18.0,78.34,21.5,2.424
2014-01-26,40.4,9.2,24.337,110.886,100.0,25.0,76.982,22.0,2.42
2014-02-02,39.6,6.3,24.841,141.914,100.0,16.0,75.802,23.0,2.549
2014-02-09,39.2,9.0,24.524,167.943,100.0,18.0,76.942,22.9,2.336
2014-02-16,40.2,9.7,24.539,176.486,100.0,18.0,75.967,23.7,2.455
2014-02-23,37.8,10.3,24.903,116.857,100.0,23.0,75.725,27.7,2.394
