data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,34.1,18.4,24.427,32.4,98.0,43.0,84.667,11.5,1.532
2010-01-10,35.6,19.9,25.013,78.657,98.0,38.0,83.17,11.5,1.493
2010-01-17,33.9,20.4,25.076,58.829,98.0,46.0,82.788,12.5,1.483
2010-01-24,33.7,19.8,25.038,83.286,98.0,30.0,81.87,24.8,1.501
2010-01-31,33.6,19.2,25.118,56.314,98.0,40.0,82.298,12.9,1.609
2010-02-07,34.3,20.6,25.288,76.114,98.0,39.0,81.962,11.6,1.413
2010-02-14,33.4,20.2,25.208,69.886,99.0,36.0,82.89,13.1,1.414
2010-02-21,33.2,19.9,25.163,88.543,99.0,42.0,83.222,15.0,1.479
2010-02-28,34.0,19.6,24.935,95.229,99.0,45.0,84.045,16.0,1.381
2010-03-07,34.0,20.6,25.477,83.771,99.0,34.0,81.783,12.9,1.467
2010-03-14,34.4,19.6,25.289,65.8,100.0,44.0,82.659,14.1,1.43
2010-03-21,34.5,19.6,25.383,116.571,100.0,42.0,82.578,16.2,1.39
2010-03-28,34.1,19.9,25.355,90.143,100.0,44.0,82.945,14.5,1.374
2010-04-04,34.4,20.5,25.516,68.686,100.0,39.0,82.715,12.7,1.402
2010-04-11,35.0,20.3,25.744,55.571,100.0,38.0,79.931,20.4,1.396
2010-04-18,34.4,17.4,25.894,35.286,98.0,30.0,79.88,15.5,1.477
2010-04-25,35.2,18.5,26.186,24.686,99.0,35.0,78.563,13.7,1.355
2010-05-02,33.7,14.4,25.809,29.629,99.0,39.0,78.266,11.3,1.721
2010-05-09,34.2,15.2,25.348,23.8,97.0,33.0,77.943,11.8,1.581
2010-05-16,33.9,15.3,25.115,16.0,96.0,32.0,74.364,10.6,1.589
2010-05-23,34.4,15.2,25.939,3.886,97.0,35.0,76.141,9.8,1.503
2010-05-30,34.7,11.0,25.031,18.4,100.0,24.0,75.144,13.5,1.615
2010-06-06,34.5,17.7,25.652,8.057,96.0,25.0,73.341,13.5,1.339
2010-06-13,35.0,12.4,24.963,1.543,97.0,32.0,74.482,10.8,1.618
2010-06-20,34.6,14.6,25.549,3.714,97.0,27.0,69.1,12.1,1.704
2010-06-27,35.1,9.6,25.487,1.971,97.0,21.0,67.13,11.1,1.735
2010-07-04,35.1,12.4,24.982,0.543,100.0,23.0,65.742,12.0,1.798
2010-07-11,35.4,11.9,25.197,1.257,96.0,16.0,63.817,16.9,1.604
2010-07-18,35.9,13.1,25.582,0.143,96.0,19.0,62.409,11.0,1.607
2010-07-25,36.3,13.7,25.596,1.371,96.0,18.0,59.041,11.4,1.624
