data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-08-29,35.1,23.2,28.057,2.55,95.0,34.0,64.52,11.8,2.262
2010-09-05,35.5,21.4,28.057,2.514,94.0,34.0,65.396,11.0,2.019
2010-09-12,35.4,21.6,27.646,10.171,95.0,29.0,66.812,10.1,1.952
2010-09-19,36.2,22.5,28.805,2.686,94.0,31.0,62.116,13.4,2.095
2010-09-26,36.6,22.7,28.387,4.943,95.0,30.0,65.321,11.5,1.99
2010-10-03,35.9,23.0,28.526,0.171,95.0,33.0,64.071,11.3,2.199
2010-10-10,36.7,23.5,29.44,0.029,93.0,33.0,59.518,11.8,2.292
2010-10-17,37.0,23.6,29.133,0.0,93.0,31.0,58.539,12.0,2.347
2010-10-24,36.0,22.8,28.536,2.114,95.0,25.0,60.202,12.6,2.404
2010-10-31,37.9,22.6,28.668,4.914,95.0,26.0,63.298,11.8,2.175
2010-11-07,36.6,23.6,28.821,1.914,94.0,29.0,63.283,10.5,2.004
2010-11-14,37.8,22.6,28.68,6.229,95.0,27.0,62.863,10.9,2.141
2010-11-21,37.6,22.2,28.905,4.857,95.0,26.0,62.357,14.4,2.177
2010-11-28,37.5,21.8,28.718,9.286,96.0,26.0,62.524,10.4,1.943
2010-12-05,36.8,22.3,28.931,1.971,95.0,29.0,61.94,11.5,1.984
2010-12-12,37.1,23.0,29.049,0.657,95.0,30.0,62.949,11.4,2.167
2010-12-19,38.0,21.9,28.309,5.8,95.0,28.0,66.312,10.4,1.974
2010-12-26,36.7,22.5,27.823,7.6,95.0,27.0,68.054,12.7,1.936
2011-01-02,34.0,21.9,26.717,17.943,94.0,39.0,75.161,10.9,1.819
2011-01-09,33.4,22.5,25.983,31.114,95.0,47.0,80.321,15.1,1.614
2011-01-16,33.1,22.7,26.739,12.829,92.0,40.0,73.324,13.8,2.064
2011-01-23,34.3,21.4,26.972,6.686,92.0,27.0,70.003,17.5,1.955
2011-01-30,34.5,22.4,26.91,27.914,93.0,36.0,71.568,13.2,1.858
2011-02-06,36.0,21.6,26.803,12.8,93.0,36.0,73.369,9.9,1.784
2011-02-13,35.3,22.2,27.465,17.543,93.0,34.0,70.42,12.7,1.911
2011-02-20,35.5,21.2,27.161,19.086,94.0,35.0,73.051,11.1,1.828
2011-02-27,35.5,21.2,26.797,16.229,94.0,36.0,74.926,10.9,1.715
2011-03-06,35.2,21.3,27.066,22.057,93.0,34.0,70.616,14.5,1.805
2011-03-13,33.9,21.5,26.122,18.6,95.0,43.0,78.062,9.9,1.534
2011-03-20,33.5,22.3,26.275,16.0,94.0,40.0,77.31,14.0,1.656
2011-03-27,33.2,21.5,26.256,20.286,94.0,41.0,76.652,11.7,1.643
2011-04-03,33.7,20.8,26.196,15.457,93.0,42.0,75.271,12.0,1.83
2011-04-10,35.1,21.8,26.74,10.857,93.0,39.0,73.601,11.6,1.749
2011-04-17,35.1,20.8,26.967,11.029,94.0,39.0,74.188,11.9,1.531
2011-04-24,35.4,22.1,27.46,6.514,95.0,38.0,72.622,11.8,1.599
2011-05-01,35.9,22.8,28.439,1.0,94.0,32.0,69.607,9.5,1.534
2011-05-08,35.5,21.3,27.05,15.114,95.0,38.0,77.658,9.8,1.405
2011-05-15,35.8,21.5,26.951,26.943,95.0,36.0,78.554,16.7,1.399
2011-05-22,35.6,22.0,26.436,9.429,95.0,38.0,78.321,11.0,1.351
2011-05-29,34.9,21.5,26.282,41.914,95.0,39.0,78.878,13.9,1.402
2011-06-05,35.1,22.1,26.287,35.886,95.0,38.0,79.554,11.9,1.258
2011-06-12,34.8,21.9,26.856,11.029,95.0,39.0,77.104,10.7,1.435
2011-06-19,34.6,21.2,26.746,16.943,96.0,40.0,77.628,10.1,1.416
2011-06-26,36.2,22.4,27.724,11.571,95.0,34.0,73.399,10.7,1.588
2011-07-03,36.5,21.8,27.449,13.629,96.0,34.0,72.83,10.7,1.499
2011-07-10,36.6,22.4,27.649,3.714,95.0,34.0,72.256,9.6,1.505
2011-07-17,35.9,21.9,26.299,28.857,96.0,40.0,79.277,10.3,1.346
2011-07-24,34.7,21.6,26.957,12.657,95.0,42.0,77.568,11.5,1.428
2011-07-31,34.4,21.7,26.842,24.857,95.0,42.0,75.881,10.7,1.721
2011-08-07,34.9,22.3,27.169,4.057,95.0,41.0,74.848,11.3,1.588
2011-08-14,34.2,21.7,26.937,2.6,96.0,43.0,75.536,10.4,1.625
2011-08-21,36.1,20.8,27.14,13.886,95.0,40.0,76.071,14.4,1.618
2011-08-28,34.7,21.3,26.612,6.029,96.0,34.0,72.747,12.8,1.857
2011-09-04,36.0,21.1,28.076,0.0,95.0,33.0,63.774,12.1,1.929
2011-09-11,35.1,22.1,27.59,5.343,94.0,33.0,69.518,10.7,1.82
2011-09-18,35.6,21.1,27.911,2.971,95.0,35.0,67.908,10.8,1.769
2011-09-25,36.0,22.4,28.027,1.543,95.0,34.0,68.711,11.4,1.723
2011-10-02,36.2,22.2,28.113,1.629,95.0,29.0,63.577,13.8,2.27
2011-10-09,36.8,22.7,28.209,0.714,94.0,28.0,62.807,11.4,2.27
2011-10-16,37.1,22.8,28.478,0.571,94.0,31.0,63.292,12.5,2.15
2011-10-23,37.6,21.5,28.314,9.029,95.0,29.0,64.202,17.4,2.021
2011-10-30,37.1,22.0,28.312,5.029,95.0,30.0,63.548,12.1,1.996
2011-11-06,38.0,21.9,28.138,3.686,95.0,27.0,64.036,12.0,2.078
