data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,39.7,5.8,20.68,283.2,100.0,28.0,81.623,18.1,1.925
2010-01-10,38.2,0.1,21.135,249.543,100.0,12.0,81.003,27.8,2.137
2010-01-17,37.5,-0.8,21.496,250.943,100.0,14.0,80.643,23.6,2.083
2010-01-24,37.3,0.8,20.969,229.171,100.0,15.0,79.862,26.3,1.957
2010-01-31,39.1,3.5,21.156,185.686,100.0,10.0,79.768,25.8,2.03
2010-02-07,40.2,1.7,21.544,188.371,100.0,15.0,79.327,34.5,2.203
2010-02-14,40.5,1.6,21.228,159.143,100.0,11.0,79.893,24.5,2.084
2010-02-21,40.5,-1.0,20.795,179.971,100.0,10.0,80.637,24.4,2.132
2010-02-28,38.3,1.8,20.794,252.829,100.0,28.0,80.829,25.0,1.936
2010-03-07,34.0,3.5,20.248,251.343,100.0,18.0,80.913,29.5,2.05
2010-03-14,37.3,-2.0,20.457,152.2,100.0,16.0,79.257,21.6,1.983
2010-03-21,36.8,2.3,20.392,107.343,100.0,18.0,79.489,23.3,1.924
2010-03-28,34.4,-0.8,19.345,189.771,100.0,24.0,80.795,30.5,2.12
2010-04-04,33.6,-3.1,18.696,162.229,100.0,10.0,80.932,24.5,2.103
2010-04-11,35.9,-3.1,18.325,128.714,100.0,14.0,79.374,29.4,2.11
2010-04-18,37.2,-3.3,18.453,105.057,100.0,19.0,80.23,28.4,2.173
2010-04-25,35.4,3.1,18.199,192.857,100.0,25.0,81.082,27.8,2.209
2010-05-02,34.2,-3.6,16.467,121.914,100.0,9.0,79.869,28.7,2.246
2010-05-09,31.7,-1.6,16.499,158.286,100.0,10.0,80.791,24.5,2.009
2010-05-16,31.0,0.0,15.464,165.543,100.0,8.0,82.524,22.3,2.019
2010-05-23,30.1,0.1,15.123,151.657,100.0,7.0,81.145,31.8,2.15
2010-05-30,31.6,-1.6,15.423,215.057,100.0,9.0,82.134,32.9,2.479
2010-06-06,31.4,-0.2,14.059,213.229,100.0,10.0,82.275,36.0,2.207
2010-06-13,32.2,-4.9,13.421,169.886,100.0,10.0,81.279,29.0,2.287
2010-06-20,30.7,-1.0,14.728,158.229,100.0,10.0,78.434,30.0,2.322
2010-06-27,33.4,-2.2,14.631,209.914,100.0,10.0,82.302,22.5,2.421
2010-07-04,31.2,-7.5,14.387,167.886,100.0,12.0,80.777,30.4,2.345
2010-07-11,30.8,-2.5,13.555,94.457,100.0,10.0,78.078,33.2,2.755
2010-07-18,34.4,-3.3,14.579,211.229,100.0,10.0,77.855,31.5,2.96
2010-07-25,33.6,-5.6,13.989,140.857,100.0,7.0,76.508,36.1,2.444
2010-08-01,32.6,-8.6,14.977,124.6,100.0,8.0,76.593,38.2,2.724
2010-08-08,35.0,-1.3,14.996,100.286,100.0,10.0,74.811,25.7,2.708
2010-08-15,34.8,-0.2,15.861,122.829,100.0,10.0,75.422,32.8,2.815
2010-08-22,34.4,-2.6,15.621,182.914,100.0,10.0,77.896,33.4,2.824
2010-08-29,33.2,-5.3,16.338,130.543,100.0,10.0,74.027,31.3,2.646
2010-09-05,32.7,-0.3,17.111,116.743,100.0,11.0,74.976,28.3,2.687
2010-09-12,34.8,-1.4,17.467,215.8,100.0,11.0,75.635,31.6,2.354
2010-09-19,35.0,-0.2,18.056,179.486,100.0,10.0,74.782,44.2,2.621
2010-09-26,35.9,-0.6,16.838,212.829,100.0,12.0,77.847,39.5,2.479
2010-10-03,36.6,-5.6,17.649,196.743,100.0,10.0,77.482,32.0,2.441
2010-10-10,36.8,3.5,18.049,243.4,100.0,19.0,78.273,26.5,2.38
2010-10-17,36.8,1.4,18.306,320.914,100.0,11.0,80.156,30.2,2.349
2010-10-24,36.1,-0.3,18.67,204.914,100.0,15.0,76.882,33.7,2.506
2010-10-31,35.7,0.2,19.055,255.857,100.0,15.0,76.192,34.1,2.415
2010-11-07,33.8,3.5,18.735,172.629,100.0,11.0,76.027,31.2,2.333
2010-11-14,34.4,1.1,19.676,140.629,100.0,13.0,75.848,27.6,2.411
2010-11-21,33.6,1.8,19.197,196.914,100.0,16.0,74.925,26.2,2.269
2010-11-28,35.2,4.1,20.158,178.457,100.0,9.0,75.081,28.2,2.285
2010-12-05,37.0,2.2,20.067,239.971,100.0,18.0,77.275,24.3,2.354
2010-12-12,35.5,4.3,20.454,178.771,100.0,14.0,77.147,30.9,2.138
2010-12-19,36.4,2.3,20.992,159.714,100.0,22.0,76.863,39.1,2.252
2010-12-26,36.1,2.5,21.309,195.514,100.0,10.0,77.446,29.9,2.335
2011-01-02,37.4,2.5,21.646,192.286,100.0,10.0,77.53,25.8,2.299
2011-01-09,37.3,5.4,21.195,206.543,100.0,15.0,79.211,31.0,2.237
2011-01-16,37.3,3.5,21.519,263.943,100.0,8.0,78.367,31.9,2.192
2011-01-23,36.1,-0.2,21.323,256.429,100.0,12.0,78.073,26.2,2.083
2011-01-30,36.2,1.6,21.249,238.429,100.0,11.0,79.689,24.0,2.144
2011-02-06,38.3,0.1,21.353,254.829,100.0,10.0,78.761,22.7,2.134
2011-02-13,36.6,0.6,21.097,181.886,100.0,16.0,77.32,24.2,1.969
2011-02-20,38.7,-0.1,20.94,294.257,100.0,16.0,79.065,28.0,2.228
2011-02-27,36.4,0.7,21.099,232.143,100.0,19.0,80.01,30.5,2.04
2011-03-06,35.6,-1.3,20.384,211.914,100.0,25.0,79.621,23.4,1.975
2011-03-13,37.1,0.1,20.865,248.886,100.0,18.0,77.925,27.7,1.915
2011-03-20,37.7,3.4,20.536,173.029,100.0,18.0,77.85,32.7,2.042
2011-03-27,33.4,-2.5,19.364,229.029,100.0,22.0,80.263,25.2,1.957
2011-04-03,33.2,0.8,18.666,148.943,100.0,12.0,80.007,22.7,1.827
2011-04-10,36.4,-4.2,18.865,108.6,100.0,10.0,76.766,26.0,2.038
2011-04-17,35.0,2.1,18.581,104.486,100.0,19.0,79.242,29.2,2.119
2011-04-24,33.9,0.1,18.042,119.857,100.0,10.0,78.821,24.8,2.064
2011-05-01,32.8,-1.1,17.072,146.286,100.0,8.0,79.537,36.9,2.002
2011-05-08,32.4,1.1,16.956,164.314,100.0,11.0,79.688,26.0,1.884
2011-05-15,31.3,-2.0,15.762,89.543,100.0,10.0,78.83,28.5,2.041
2011-05-22,31.6,-2.9,14.823,163.829,100.0,10.0,82.339,41.0,2.317
2011-05-29,31.5,0.5,15.653,138.429,100.0,11.0,79.699,24.7,2.3
2011-06-05,33.7,-1.0,14.33,256.743,100.0,10.0,83.096,31.2,2.426
2011-06-12,32.4,-3.9,13.392,151.314,100.0,11.0,82.262,38.2,2.303
2011-06-19,32.1,-3.9,14.221,93.886,100.0,10.0,79.98,35.3,2.361
2011-06-26,33.0,-1.1,14.61,215.029,100.0,10.0,83.979,32.5,2.729
2011-07-03,31.2,-1.1,14.494,211.943,100.0,10.0,81.774,33.6,2.551
2011-07-10,30.3,-2.2,14.247,67.743,100.0,10.0,77.81,29.7,2.866
2011-07-17,32.6,-1.1,14.798,127.8,100.0,10.0,76.932,38.1,2.948
2011-07-24,29.5,-7.4,13.501,167.571,100.0,10.0,78.351,37.9,2.793
2011-07-31,31.1,-7.8,15.243,119.486,100.0,10.0,76.163,33.2,2.732
2011-08-07,31.7,-1.7,14.89,126.229,100.0,11.0,75.651,36.7,2.892
2011-08-14,34.6,-0.1,15.774,164.657,100.0,11.0,77.737,34.1,2.879
2011-08-21,36.1,-6.4,15.828,122.657,100.0,10.0,75.773,36.7,2.837
2011-08-28,33.4,-3.8,15.71,177.686,100.0,10.0,74.294,29.1,3.033
2011-09-04,32.4,-3.5,16.411,138.943,100.0,10.0,74.762,29.4,2.769
2011-09-11,34.0,-2.5,16.791,228.229,100.0,10.0,76.239,26.6,2.765
2011-09-18,35.5,-2.1,17.966,116.0,100.0,14.0,73.548,32.0,2.912
2011-09-25,34.0,-2.2,16.852,239.8,100.0,11.0,77.967,28.1,2.767
2011-10-02,33.2,-0.8,16.801,220.971,100.0,18.0,77.682,37.2,2.631
2011-10-09,38.3,2.0,17.19,214.629,100.0,21.0,80.805,35.0,2.765
2011-10-16,34.5,-0.1,18.445,238.229,100.0,18.0,77.975,33.5,2.801
2011-10-23,33.7,1.0,18.57,197.8,100.0,18.0,78.251,35.4,2.669
2011-10-30,34.8,-0.8,18.832,183.943,100.0,11.0,77.201,32.8,2.697
2011-11-06,35.0,-1.2,18.66,219.943,100.0,13.0,77.351,34.6,2.746
2011-11-13,33.7,1.6,19.122,167.514,100.0,16.0,76.447,33.0,2.55
2011-11-20,36.0,4.6,19.256,155.943,100.0,12.0,73.443,30.1,2.721
2011-11-27,35.2,4.0,19.652,185.457,100.0,16.0,77.005,27.3,2.55
2011-12-04,34.6,4.7,20.01,254.143,100.0,16.0,79.086,28.7,2.497
2011-12-11,38.6,2.6,20.324,212.714,100.0,7.0,77.49,34.6,2.407
