data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,38.8,20.4,27.02,5.6,100.0,27.0,69.138,14.4,3.165
2010-01-10,36.4,17.8,26.602,19.457,100.0,19.0,69.906,21.7,3.018
2010-01-17,35.3,19.4,26.939,6.371,100.0,21.0,68.897,15.3,3.114
2010-01-24,35.7,18.1,26.469,39.4,100.0,22.0,70.937,15.1,2.855
2010-01-31,35.8,19.0,26.643,15.029,100.0,24.0,70.501,14.5,2.851
2010-02-07,36.9,20.3,26.761,12.743,100.0,22.0,71.082,14.8,3.041
2010-02-14,35.4,18.7,26.917,10.943,100.0,24.0,69.883,18.5,2.869
2010-02-21,36.3,19.2,26.641,24.886,100.0,26.0,72.311,18.6,2.653
2010-02-28,36.7,18.5,27.016,6.857,100.0,20.0,71.773,14.4,2.74
2010-03-07,36.3,18.8,27.055,11.629,100.0,20.0,70.696,17.4,2.866
2010-03-14,37.5,18.1,27.16,12.257,100.0,18.0,70.098,14.6,2.826
2010-03-21,36.9,17.8,27.019,8.914,100.0,21.0,70.465,13.8,2.776
2010-03-28,36.7,18.7,26.946,12.429,100.0,24.0,71.642,15.5,2.681
2010-04-04,36.5,18.4,26.775,36.371,100.0,24.0,73.248,20.4,2.35
2010-04-11,36.8,19.0,26.626,53.343,100.0,22.0,74.277,19.3,2.622
2010-04-18,37.2,17.9,26.142,55.143,100.0,23.0,75.498,14.8,2.23
2010-04-25,34.2,18.7,26.093,19.686,100.0,28.0,76.82,14.7,2.496
2010-05-02,33.5,17.5,25.753,27.657,100.0,23.0,76.863,13.2,2.287
2010-05-09,34.1,16.8,25.232,30.857,100.0,26.0,77.636,15.4,2.101
2010-05-16,34.3,16.3,25.014,24.257,100.0,28.0,79.572,22.1,2.041
2010-05-23,36.7,17.1,24.636,72.086,100.0,22.0,82.872,15.6,2.068
2010-05-30,31.8,17.0,24.578,73.914,100.0,43.0,80.845,12.6,2.046
2010-06-06,31.8,17.4,24.557,30.257,100.0,39.0,80.453,14.7,1.804
2010-06-13,31.4,16.9,23.976,63.914,100.0,37.0,82.084,12.7,1.819
2010-06-20,30.8,15.8,23.827,22.171,100.0,37.0,80.11,13.5,1.957
