data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,36.4,19.7,26.119,113.8,98.0,30.0,76.998,14.2,1.05
2010-01-10,37.4,19.9,25.996,128.429,99.0,28.0,77.387,17.3,1.13
2010-01-17,36.9,18.9,25.655,123.486,98.0,28.0,78.678,17.2,1.012
2010-01-24,36.5,19.1,25.838,165.286,100.0,25.0,78.792,18.0,0.995
2010-01-31,35.9,19.9,25.886,97.857,100.0,30.0,78.436,17.2,0.96
2010-02-07,37.2,19.7,26.056,100.771,100.0,25.0,77.394,19.4,1.076
2010-02-14,36.4,19.6,25.812,122.086,99.0,29.0,79.038,17.0,0.969
2010-02-21,36.5,19.7,25.83,104.0,99.0,24.0,79.062,21.8,0.996
2010-02-28,37.2,19.6,25.989,104.571,100.0,29.0,79.143,17.5,0.959
2010-03-07,37.5,20.0,25.834,162.657,99.0,28.0,80.331,16.2,0.996
2010-03-14,35.9,20.0,25.944,92.429,99.0,37.0,80.763,18.0,0.874
2010-03-21,36.7,20.3,26.176,71.971,100.0,33.0,79.568,15.6,0.888
2010-03-28,35.8,20.1,26.055,142.114,100.0,33.0,79.809,15.3,0.95
2010-04-04,36.8,20.2,26.692,90.143,99.0,29.0,77.212,14.3,0.893
2010-04-11,36.7,20.1,26.52,116.771,97.0,27.0,78.097,15.3,0.906
2010-04-18,36.6,19.0,26.704,71.343,97.0,26.0,76.302,15.8,0.956
2010-04-25,37.8,18.0,26.635,63.086,97.0,22.0,75.605,13.3,0.869
2010-05-02,38.7,18.3,26.794,21.343,96.0,21.0,72.445,22.5,0.882
2010-05-09,37.6,18.1,26.897,25.6,96.0,23.0,70.523,14.8,0.93
2010-05-16,37.5,15.9,26.63,26.171,96.0,19.0,69.729,17.3,0.95
2010-05-23,37.6,12.2,26.525,18.0,96.0,19.0,69.481,16.0,1.102
2010-05-30,37.7,15.5,26.668,19.343,96.0,21.0,67.626,13.1,1.006
2010-06-06,37.7,14.5,26.521,2.029,96.0,17.0,65.749,17.4,0.984
2010-06-13,37.7,15.3,26.435,0.943,98.0,19.0,63.524,17.0,1.18
2010-06-20,36.9,14.2,25.83,0.886,97.0,19.0,61.803,15.9,1.224
2010-06-27,36.8,13.7,25.826,0.029,96.0,14.0,59.385,19.3,1.38
2010-07-04,36.2,13.1,25.705,0.029,95.0,17.0,56.715,17.2,1.335
2010-07-11,37.1,13.3,25.786,0.371,98.0,15.0,57.63,15.6,1.23
2010-07-18,37.8,13.1,26.172,2.057,97.0,13.0,54.622,16.6,1.333
2010-07-25,37.3,13.0,25.931,0.0,93.0,14.0,52.225,17.4,1.472
2010-08-01,37.7,12.1,26.021,0.0,94.0,13.0,49.817,17.2,1.489
2010-08-08,38.5,13.7,26.557,0.0,94.0,14.0,47.766,21.9,1.385
2010-08-15,39.0,13.7,27.03,1.0,91.0,10.0,44.264,20.0,1.682
2010-08-22,39.7,13.4,27.051,0.657,93.0,12.0,45.491,23.4,1.583
2010-08-29,40.0,14.0,27.847,0.286,96.0,11.0,43.605,20.1,1.448
2010-09-05,40.4,15.0,28.487,0.771,98.0,9.0,41.142,18.6,1.445
2010-09-12,40.1,13.2,28.806,9.6,95.0,10.0,41.581,19.3,1.556
2010-09-19,40.8,15.8,29.364,10.086,94.0,10.0,41.501,16.0,1.679
2010-09-26,41.0,15.0,29.225,23.086,96.0,9.0,47.699,20.8,1.681
2010-10-03,41.5,17.2,28.426,28.114,95.0,9.0,53.896,20.2,1.532
2010-10-10,41.2,17.9,28.567,26.943,96.0,10.0,53.94,19.9,1.468
2010-10-17,41.0,19.8,29.28,21.314,94.0,12.0,52.268,22.1,1.459
2010-10-24,40.3,19.5,27.653,63.543,97.0,12.0,64.438,21.5,1.311
2010-10-31,40.0,19.7,27.878,41.057,97.0,14.0,64.827,19.0,1.437
2010-11-07,38.5,20.0,26.86,108.114,96.0,16.0,70.023,24.8,1.287
2010-11-14,38.7,20.0,26.905,92.0,97.0,17.0,70.108,19.7,1.399
2010-11-21,36.2,18.7,26.516,95.314,97.0,20.0,73.336,18.3,1.261
2010-11-28,38.0,18.8,26.478,108.914,96.0,22.0,74.955,20.3,1.192
