Week,buscas
2010-01-03,36
2010-01-10,48
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,100
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,22
2010-04-11,20
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,57
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,26
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,27
2010-09-12,0
2010-09-19,31
2010-09-26,0
2010-10-03,0
2010-10-10,42
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,45
2010-11-28,0
2010-12-05,0
2010-12-12,41
2010-12-19,62
2010-12-26,0
2011-01-02,0
2011-01-09,39
2011-01-16,0
2011-01-23,0
2011-01-30,0
2011-02-06,29
2011-02-13,28
2011-02-20,0
2011-02-27,30
2011-03-06,0
2011-03-13,0
2011-03-20,0
2011-03-27,0
2011-04-03,0
2011-04-10,0
2011-04-17,25
2011-04-24,0
2011-05-01,0
2011-05-08,0
2011-05-15,0
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,0
2011-07-03,25
2011-07-10,38
2011-07-17,0
2011-07-24,31
2011-07-31,18
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,0
2011-09-11,0
2011-09-18,40
2011-09-25,0
2011-10-02,0
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,0
2011-11-06,0
2011-11-13,0
2011-11-20,0
2011-11-27,41
2011-12-04,0
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,0
2012-02-12,33
2012-02-19,0
2012-02-26,0
2012-03-04,62
2012-03-11,0
2012-03-18,16
2012-03-25,0
2012-04-01,17
2012-04-08,0
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,44
2012-06-10,0
2012-06-17,0
2012-06-24,24
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,15
2012-08-26,0
2012-09-02,34
2012-09-09,27
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,20
2012-11-11,25
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,96
2012-12-23,0
2012-12-30,0
2013-01-06,51
2013-01-13,0
2013-01-20,0
2013-01-27,36
2013-02-03,100
2013-02-10,0
2013-02-17,0
2013-02-24,25
2013-03-03,15
2013-03-10,0
2013-03-17,0
2013-03-24,36
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,22
2013-04-28,0
2013-05-05,21
2013-05-12,25
2013-05-19,0
2013-05-26,0
2013-06-02,30
2013-06-09,0
2013-06-16,22
2013-06-23,30
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,11
2013-07-28,0
2013-08-04,0
2013-08-11,11
2013-08-18,11
2013-08-25,11
2013-09-01,0
2013-09-08,0
2013-09-15,7
2013-09-22,22
2013-09-29,0
2013-10-06,10
2013-10-13,8
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,7
2013-11-17,17
