Week,buscas
2010-01-03,0
2010-01-10,43
2010-01-17,0
2010-01-24,66
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,74
2010-03-07,0
2010-03-14,0
2010-03-21,43
2010-03-28,0
2010-04-04,0
2010-04-11,36
2010-04-18,31
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,69
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,54
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,59
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,27
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,25
2011-01-16,0
2011-01-23,0
2011-01-30,0
2011-02-06,0
2011-02-13,64
2011-02-20,70
2011-02-27,0
2011-03-06,0
2011-03-13,51
2011-03-20,34
2011-03-27,0
2011-04-03,52
2011-04-10,0
2011-04-17,0
2011-04-24,0
2011-05-01,63
2011-05-08,0
2011-05-15,64
2011-05-22,0
2011-05-29,0
2011-06-05,41
2011-06-12,0
2011-06-19,17
2011-06-26,0
2011-07-03,0
2011-07-10,0
2011-07-17,0
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,0
2011-09-11,0
2011-09-18,38
2011-09-25,0
2011-10-02,0
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,0
2011-11-06,0
2011-11-13,24
2011-11-20,0
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,100
2011-12-25,43
2012-01-01,0
2012-01-08,41
2012-01-15,0
2012-01-22,0
2012-01-29,39
2012-02-05,39
2012-02-12,0
2012-02-19,0
2012-02-26,23
2012-03-04,0
2012-03-11,25
2012-03-18,90
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,33
2012-04-22,0
2012-04-29,51
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,28
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,21
2012-08-19,22
2012-08-26,0
2012-09-02,28
2012-09-09,0
2012-09-16,33
2012-09-23,0
2012-09-30,0
2012-10-07,49
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,45
2012-11-11,0
2012-11-18,19
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,38
2012-12-23,0
2012-12-30,0
2013-01-06,34
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,33
2013-03-10,30
2013-03-17,0
2013-03-24,0
2013-03-31,25
2013-04-07,0
2013-04-14,40
2013-04-21,78
2013-04-28,38
2013-05-05,0
2013-05-12,36
2013-05-19,0
2013-05-26,22
2013-06-02,0
2013-06-09,0
2013-06-16,62
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,100
2013-09-08,0
2013-09-15,24
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,37
2013-11-03,31
2013-11-10,22
2013-11-17,22
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,28
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,41
2014-02-02,78
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,25
2014-04-27,76
2014-05-04,0
2014-05-11,0
2014-05-18,45
2014-05-25,27
2014-06-01,0
2014-06-08,28
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,100
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,0
2014-08-31,31
2014-09-07,0
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,58
2014-10-12,0
2014-10-19,60
2014-10-26,0
2014-11-02,25
2014-11-09,29
2014-11-16,0
2014-11-23,0
2014-11-30,0
2014-12-07,57
2014-12-14,44
2014-12-21,0
2014-12-28,44
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,27
2015-02-01,0
2015-02-08,38
2015-02-15,45
2015-02-22,0
2015-03-01,27
2015-03-08,0
2015-03-15,31
2015-03-22,30
2015-03-29,0
2015-04-05,61
2015-04-12,53
2015-04-19,55
2015-04-26,0
2015-05-03,63
2015-05-10,0
2015-05-17,100
2015-05-24,18
2015-05-31,34
2015-06-07,21
2015-06-14,26
2015-06-21,45
2015-06-28,0
2015-07-05,20
2015-07-12,0
2015-07-19,0
2015-07-26,44
2015-08-02,35
2015-08-09,25
2015-08-16,49
2015-08-23,0
2015-08-30,27
2015-09-06,0
2015-09-13,25
2015-09-20,0
2015-09-27,28
2015-10-04,13
2015-10-11,30
2015-10-18,0
2015-10-25,28
2015-11-01,33
2015-11-08,14
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,22
2015-12-13,29
2015-12-20,50
2015-12-27,20
2016-01-03,0
2016-01-10,35
2016-01-17,36
2016-01-24,20
2016-01-31,33
2016-02-07,56
2016-02-14,68
2016-02-21,40
2016-02-28,88
2016-03-06,54
2016-03-13,94
2016-03-20,64
2016-03-27,100
2016-04-03,83
2016-04-10,94
2016-04-17,82
2016-04-24,39
2016-05-01,53
2016-05-08,52
2016-05-15,69
2016-05-22,24
2016-05-29,29
2016-06-05,65
2016-06-12,50
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,21
2016-07-24,0
2016-07-31,0
2016-08-07,29
2016-08-14,32
2016-08-21,0
2016-08-28,40
2016-09-04,29
2016-09-11,17
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,30
2016-10-16,0
2016-10-23,23
2016-10-30,0
2016-11-06,18
2016-11-13,0
2016-11-20,9
2016-11-27,0
2016-12-04,15
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,27
2017-01-15,28
2017-01-22,18
2017-01-29,19
2017-02-05,22
2017-02-12,41
2017-02-19,31
2017-02-26,17
2017-03-05,45
2017-03-12,74
2017-03-19,28
2017-03-26,100
2017-04-02,41
2017-04-09,0
2017-04-16,91
2017-04-23,37
2017-04-30,0
2017-05-07,31
2017-05-14,64
2017-05-21,16
2017-05-28,24
2017-06-04,47
2017-06-11,0
2017-06-18,37
2017-06-25,36
2017-07-02,30
2017-07-09,0
2017-07-16,0
2017-07-23,27
2017-07-30,0
2017-08-06,16
2017-08-13,23
2017-08-20,10
2017-08-27,0
2017-09-03,20
2017-09-10,0
2017-09-17,20
2017-09-24,0
2017-10-01,32
2017-10-08,25
2017-10-15,0
2017-10-22,21
2017-10-29,15
2017-11-05,27
2017-11-12,0
2017-11-19,27
2017-11-26,0
2017-12-03,14
2017-12-10,15
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,25
2018-01-14,0
2018-01-21,0
2018-01-28,24
2018-02-04,27
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,61
2018-03-11,47
2018-03-18,0
2018-03-25,30
2018-04-01,70
2018-04-08,0
2018-04-15,29
2018-04-22,39
2018-04-29,40
2018-05-06,59
2018-05-13,100
2018-05-20,59
2018-05-27,0
2018-06-03,30
2018-06-10,36
2018-06-17,41
2018-06-24,0
2018-07-01,26
2018-07-08,0
2018-07-15,39
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,29
2018-09-23,0
2018-09-30,51
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,59
2018-11-11,0
2018-11-18,93
2018-11-25,0
2018-12-02,0
2018-12-09,43
2018-12-16,0
2018-12-23,94
2018-12-30,35
2019-01-06,26
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,22
2019-02-10,31
2019-02-17,91
2019-02-24,23
2019-03-03,0
2019-03-10,36
2019-03-17,0
2019-03-24,63
2019-03-31,94
2019-04-07,57
2019-04-14,0
2019-04-21,62
2019-04-28,66
2019-05-05,46
2019-05-12,58
2019-05-19,0
2019-05-26,25
2019-06-02,28
2019-06-09,26
2019-06-16,55
2019-06-23,55
