Week,buscas
2010-01-03,100
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,44
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,64
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,43
2010-11-07,18
2010-11-14,0
2010-11-21,36
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,0
2011-01-16,0
2011-01-23,0
2011-01-30,67
2011-02-06,0
2011-02-13,0
2011-02-20,26
2011-02-27,44
2011-03-06,0
2011-03-13,0
2011-03-20,36
2011-03-27,14
2011-04-03,0
2011-04-10,29
2011-04-17,0
2011-04-24,0
2011-05-01,0
2011-05-08,24
2011-05-15,0
2011-05-22,21
2011-05-29,33
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,34
2011-07-03,0
2011-07-10,0
2011-07-17,19
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,36
2011-09-04,27
2011-09-11,0
2011-09-18,0
2011-09-25,0
2011-10-02,60
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,0
2011-11-06,30
2011-11-13,0
2011-11-20,0
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,24
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,31
2012-02-12,0
2012-02-19,51
2012-02-26,37
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,100
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,42
2012-07-08,0
2012-07-15,61
2012-07-22,0
2012-07-29,33
2012-08-05,91
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,22
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,56
2012-10-28,50
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,99
2012-12-23,0
2012-12-30,100
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,64
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,19
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,52
2013-06-02,0
2013-06-09,22
2013-06-16,10
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,35
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,41
