Week,buscas
2010-01-03,0
2010-01-10,37
2010-01-17,46
2010-01-24,66
2010-01-31,0
2010-02-07,43
2010-02-14,49
2010-02-21,53
2010-02-28,84
2010-03-07,52
2010-03-14,42
2010-03-21,89
2010-03-28,100
2010-04-04,45
2010-04-11,27
2010-04-18,36
2010-04-25,54
2010-05-02,16
2010-05-09,35
2010-05-16,17
2010-05-23,28
2010-05-30,27
2010-06-06,0
2010-06-13,14
2010-06-20,16
2010-06-27,44
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,13
2010-08-08,0
2010-08-15,0
2010-08-22,31
2010-08-29,0
2010-09-05,0
2010-09-12,13
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,22
2010-10-24,62
2010-10-31,54
2010-11-07,40
2010-11-14,39
2010-11-21,36
2010-11-28,53
2010-12-05,27
2010-12-12,0
2010-12-19,23
2010-12-26,0
2011-01-02,20
2011-01-09,25
2011-01-16,20
2011-01-23,38
2011-01-30,25
2011-02-06,36
2011-02-13,66
2011-02-20,78
2011-02-27,69
2011-03-06,46
2011-03-13,85
2011-03-20,84
2011-03-27,100
2011-04-03,85
2011-04-10,73
2011-04-17,39
2011-04-24,58
2011-05-01,34
2011-05-08,37
2011-05-15,46
2011-05-22,33
2011-05-29,26
2011-06-05,0
2011-06-12,20
2011-06-19,28
2011-06-26,15
2011-07-03,12
2011-07-10,12
2011-07-17,21
2011-07-24,14
2011-07-31,21
2011-08-07,7
2011-08-14,28
2011-08-21,13
2011-08-28,22
2011-09-04,34
2011-09-11,5
2011-09-18,16
2011-09-25,21
2011-10-02,9
2011-10-09,15
2011-10-16,11
2011-10-23,18
2011-10-30,17
2011-11-06,19
2011-11-13,21
2011-11-20,23
2011-11-27,26
2011-12-04,25
2011-12-11,14
2011-12-18,18
2011-12-25,7
2012-01-01,31
2012-01-08,40
2012-01-15,35
2012-01-22,52
2012-01-29,10
2012-02-05,47
2012-02-12,60
2012-02-19,27
2012-02-26,77
2012-03-04,78
2012-03-11,58
2012-03-18,84
2012-03-25,64
2012-04-01,46
2012-04-08,47
2012-04-15,95
2012-04-22,100
2012-04-29,65
2012-05-06,43
2012-05-13,59
2012-05-20,63
2012-05-27,76
2012-06-03,36
2012-06-10,52
2012-06-17,12
2012-06-24,39
2012-07-01,63
2012-07-08,39
2012-07-15,0
2012-07-22,25
2012-07-29,27
2012-08-05,39
2012-08-12,12
2012-08-19,27
2012-08-26,16
2012-09-02,22
2012-09-09,26
2012-09-16,37
2012-09-23,39
2012-09-30,26
2012-10-07,43
2012-10-14,15
2012-10-21,25
2012-10-28,24
2012-11-04,24
2012-11-11,10
2012-11-18,0
2012-11-25,39
2012-12-02,20
2012-12-09,33
2012-12-16,35
2012-12-23,46
2012-12-30,17
2013-01-06,37
2013-01-13,47
2013-01-20,80
2013-01-27,59
2013-02-03,73
2013-02-10,65
2013-02-17,100
2013-02-24,82
2013-03-03,60
2013-03-10,49
2013-03-17,45
2013-03-24,38
2013-03-31,41
2013-04-07,53
2013-04-14,28
2013-04-21,23
2013-04-28,29
2013-05-05,24
2013-05-12,27
2013-05-19,15
2013-05-26,15
2013-06-02,14
2013-06-09,8
2013-06-16,5
2013-06-23,7
2013-06-30,5
2013-07-07,4
2013-07-14,4
2013-07-21,0
2013-07-28,9
2013-08-04,3
2013-08-11,9
2013-08-18,6
2013-08-25,6
2013-09-01,5
2013-09-08,7
2013-09-15,6
2013-09-22,2
2013-09-29,5
2013-10-06,8
2013-10-13,4
2013-10-20,10
2013-10-27,6
2013-11-03,10
2013-11-10,14
2013-11-17,8
2013-11-24,10
2013-12-01,6
2013-12-08,0
2013-12-15,4
2013-12-22,3
2013-12-29,12
2014-01-05,42
2014-01-12,0
2014-01-19,0
2014-01-26,28
2014-02-02,13
2014-02-09,78
2014-02-16,89
2014-02-23,69
2014-03-02,88
2014-03-09,88
2014-03-16,96
2014-03-23,89
2014-03-30,64
2014-04-06,100
2014-04-13,47
2014-04-20,75
