Week,buscas
2010-01-03,71
2010-01-10,100
2010-01-17,63
2010-01-24,41
2010-01-31,72
2010-02-07,35
2010-02-14,79
2010-02-21,38
2010-02-28,42
2010-03-07,66
2010-03-14,69
2010-03-21,57
2010-03-28,43
2010-04-04,65
2010-04-11,36
2010-04-18,15
2010-04-25,47
2010-05-02,25
2010-05-09,0
2010-05-16,37
2010-05-23,21
2010-05-30,62
2010-06-06,21
2010-06-13,0
2010-06-20,16
2010-06-27,38
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,51
2010-08-01,30
2010-08-08,24
2010-08-15,0
2010-08-22,0
2010-08-29,49
2010-09-05,53
2010-09-12,0
2010-09-19,26
2010-09-26,18
2010-10-03,0
2010-10-10,22
2010-10-17,30
2010-10-24,0
2010-10-31,14
2010-11-07,50
2010-11-14,51
2010-11-21,64
2010-11-28,37
2010-12-05,44
2010-12-12,0
2010-12-19,46
2010-12-26,34
2011-01-02,56
2011-01-09,23
2011-01-16,55
2011-01-23,77
2011-01-30,86
2011-02-06,53
2011-02-13,52
2011-02-20,34
2011-02-27,80
2011-03-06,46
2011-03-13,79
2011-03-20,63
2011-03-27,64
2011-04-03,100
2011-04-10,73
2011-04-17,13
2011-04-24,80
2011-05-01,58
2011-05-08,30
2011-05-15,62
2011-05-22,58
2011-05-29,27
2011-06-05,38
2011-06-12,38
2011-06-19,42
2011-06-26,66
2011-07-03,12
2011-07-10,51
2011-07-17,27
2011-07-24,0
2011-07-31,10
2011-08-07,30
2011-08-14,19
2011-08-21,39
2011-08-28,17
2011-09-04,23
2011-09-11,41
2011-09-18,28
2011-09-25,52
2011-10-02,61
2011-10-09,14
2011-10-16,44
2011-10-23,77
2011-10-30,61
2011-11-06,84
2011-11-13,51
2011-11-20,59
2011-11-27,53
2011-12-04,53
2011-12-11,80
2011-12-18,37
2011-12-25,20
2012-01-01,30
2012-01-08,47
2012-01-15,39
2012-01-22,18
2012-01-29,25
2012-02-05,55
2012-02-12,48
2012-02-19,41
2012-02-26,75
2012-03-04,52
2012-03-11,92
2012-03-18,90
2012-03-25,99
2012-04-01,77
2012-04-08,83
2012-04-15,100
2012-04-22,79
2012-04-29,58
2012-05-06,60
2012-05-13,42
2012-05-20,67
2012-05-27,43
2012-06-03,61
2012-06-10,49
2012-06-17,55
2012-06-24,20
2012-07-01,27
2012-07-08,24
2012-07-15,23
2012-07-22,16
2012-07-29,19
2012-08-05,15
2012-08-12,26
2012-08-19,25
2012-08-26,29
2012-09-02,34
2012-09-09,23
2012-09-16,21
2012-09-23,19
2012-09-30,23
2012-10-07,22
2012-10-14,34
2012-10-21,19
2012-10-28,21
2012-11-04,23
2012-11-11,31
2012-11-18,22
2012-11-25,20
2012-12-02,29
2012-12-09,22
2012-12-16,21
2012-12-23,9
2012-12-30,53
2013-01-06,61
2013-01-13,63
2013-01-20,54
2013-01-27,84
2013-02-03,63
2013-02-10,83
2013-02-17,75
2013-02-24,92
2013-03-03,69
2013-03-10,50
2013-03-17,66
2013-03-24,68
2013-03-31,100
2013-04-07,86
2013-04-14,69
2013-04-21,46
2013-04-28,53
2013-05-05,39
2013-05-12,54
2013-05-19,51
2013-05-26,38
2013-06-02,54
2013-06-09,36
2013-06-16,38
2013-06-23,41
2013-06-30,26
2013-07-07,17
2013-07-14,14
2013-07-21,36
2013-07-28,0
2013-08-04,29
2013-08-11,16
2013-08-18,0
2013-08-25,9
2013-09-01,25
2013-09-08,7
2013-09-15,13
2013-09-22,0
2013-09-29,14
2013-10-06,29
2013-10-13,26
2013-10-20,30
2013-10-27,14
2013-11-03,20
2013-11-10,32
2013-11-17,29
2013-11-24,35
2013-12-01,34
2013-12-08,24
2013-12-15,9
2013-12-22,41
2013-12-29,65
2014-01-05,84
2014-01-12,35
2014-01-19,69
2014-01-26,49
2014-02-02,54
2014-02-09,52
2014-02-16,54
2014-02-23,50
2014-03-02,95
2014-03-09,95
2014-03-16,84
2014-03-23,81
2014-03-30,81
2014-04-06,71
2014-04-13,77
2014-04-20,95
2014-04-27,90
2014-05-04,91
2014-05-11,99
2014-05-18,63
2014-05-25,41
2014-06-01,25
2014-06-08,100
2014-06-15,21
2014-06-22,57
2014-06-29,27
2014-07-06,56
2014-07-13,34
2014-07-20,70
2014-07-27,37
2014-08-03,40
2014-08-10,44
2014-08-17,54
2014-08-24,34
2014-08-31,63
2014-09-07,29
2014-09-14,29
2014-09-21,46
2014-09-28,59
2014-10-05,39
2014-10-12,59
2014-10-19,0
2014-10-26,85
2014-11-02,86
2014-11-09,47
2014-11-16,69
2014-11-23,75
2014-11-30,27
2014-12-07,0
2014-12-14,76
2014-12-21,25
2014-12-28,36
2015-01-04,10
2015-01-11,5
2015-01-18,10
2015-01-25,13
2015-02-01,14
2015-02-08,23
2015-02-15,19
2015-02-22,20
2015-03-01,20
2015-03-08,28
2015-03-15,18
2015-03-22,48
2015-03-29,22
2015-04-05,36
2015-04-12,44
2015-04-19,35
2015-04-26,47
2015-05-03,44
2015-05-10,35
2015-05-17,35
2015-05-24,35
2015-05-31,34
2015-06-07,42
2015-06-14,29
2015-06-21,23
2015-06-28,26
2015-07-05,18
2015-07-12,9
2015-07-19,13
2015-07-26,7
2015-08-02,9
2015-08-09,11
2015-08-16,14
2015-08-23,16
2015-08-30,14
2015-09-06,13
2015-09-13,12
2015-09-20,15
2015-09-27,13
2015-10-04,13
2015-10-11,7
2015-10-18,16
2015-10-25,13
2015-11-01,14
2015-11-08,20
2015-11-15,15
2015-11-22,29
2015-11-29,49
2015-12-06,44
2015-12-13,39
2015-12-20,38
2015-12-27,50
2016-01-03,31
2016-01-10,39
2016-01-17,39
2016-01-24,46
2016-01-31,46
2016-02-07,53
2016-02-14,76
2016-02-21,72
2016-02-28,73
2016-03-06,45
2016-03-13,47
2016-03-20,32
2016-03-27,38
2016-04-03,28
2016-04-10,34
2016-04-17,20
2016-04-24,25
2016-05-01,16
2016-05-08,18
2016-05-15,15
2016-05-22,11
2016-05-29,10
2016-06-05,10
2016-06-12,15
2016-06-19,10
2016-06-26,3
2016-07-03,7
2016-07-10,8
2016-07-17,4
2016-07-24,7
2016-07-31,4
2016-08-07,6
2016-08-14,11
2016-08-21,6
2016-08-28,8
2016-09-04,6
2016-09-11,2
2016-09-18,5
2016-09-25,5
2016-10-02,9
2016-10-09,6
2016-10-16,10
2016-10-23,9
2016-10-30,10
2016-11-06,19
2016-11-13,11
2016-11-20,17
2016-11-27,12
2016-12-04,7
2016-12-11,9
2016-12-18,6
2016-12-25,7
2017-01-01,54
2017-01-08,56
2017-01-15,49
2017-01-22,69
2017-01-29,81
2017-02-05,96
2017-02-12,100
2017-02-19,70
2017-02-26,43
2017-03-05,49
2017-03-12,67
2017-03-19,73
2017-03-26,68
2017-04-02,41
2017-04-09,53
2017-04-16,56
2017-04-23,74
2017-04-30,53
2017-05-07,52
2017-05-14,23
2017-05-21,54
2017-05-28,38
2017-06-04,35
2017-06-11,42
2017-06-18,37
2017-06-25,43
2017-07-02,15
2017-07-09,21
2017-07-16,22
2017-07-23,18
2017-07-30,26
2017-08-06,28
2017-08-13,28
2017-08-20,19
2017-08-27,33
2017-09-03,33
2017-09-10,32
2017-09-17,24
2017-09-24,14
2017-10-01,43
2017-10-08,31
2017-10-15,46
2017-10-22,62
2017-10-29,38
2017-11-05,48
2017-11-12,48
2017-11-19,20
2017-11-26,35
2017-12-03,39
2017-12-10,35
2017-12-17,28
2017-12-24,39
2017-12-31,18
2018-01-07,46
2018-01-14,49
2018-01-21,49
2018-01-28,73
2018-02-04,45
2018-02-11,66
2018-02-18,81
2018-02-25,100
2018-03-04,76
2018-03-11,99
2018-03-18,97
2018-03-25,44
2018-04-01,75
2018-04-08,73
2018-04-15,60
2018-04-22,86
2018-04-29,81
2018-05-06,56
2018-05-13,82
2018-05-20,62
2018-05-27,48
2018-06-03,43
2018-06-10,40
2018-06-17,39
2018-06-24,40
2018-07-01,39
2018-07-08,17
2018-07-15,30
2018-07-22,32
2018-07-29,23
2018-08-05,38
2018-08-12,0
2018-08-19,35
2018-08-26,31
2018-09-02,44
2018-09-09,25
2018-09-16,43
2018-09-23,30
2018-09-30,45
2018-10-07,40
2018-10-14,39
2018-10-21,45
2018-10-28,31
2018-11-04,47
2018-11-11,52
2018-11-18,54
2018-11-25,47
2018-12-02,79
2018-12-09,44
2018-12-16,25
2018-12-23,64
2018-12-30,24
2019-01-06,28
2019-01-13,23
2019-01-20,40
2019-01-27,24
2019-02-03,33
2019-02-10,28
2019-02-17,41
2019-02-24,52
2019-03-03,63
2019-03-10,56
2019-03-17,67
2019-03-24,60
2019-03-31,71
2019-04-07,76
2019-04-14,69
2019-04-21,57
2019-04-28,83
2019-05-05,100
2019-05-12,91
2019-05-19,79
2019-05-26,73
2019-06-02,70
2019-06-09,69
2019-06-16,61
2019-06-23,64
2019-06-30,56
2019-07-07,34
2019-07-14,26
2019-07-21,16
2019-07-28,32
2019-08-04,15
2019-08-11,37
2019-08-18,26
2019-08-25,30
2019-09-01,38
2019-09-08,24
2019-09-15,23
2019-09-22,25
2019-09-29,31
2019-10-06,26
2019-10-13,43
2019-10-20,36
2019-10-27,29
2019-11-03,52
2019-11-10,47
2019-11-17,41
2019-11-24,54
2019-12-01,43
2019-12-08,53
