Week,buscas
2010-01-03,0
2010-01-10,0
2010-01-17,76
2010-01-24,0
2010-01-31,33
2010-02-07,65
2010-02-14,0
2010-02-21,54
2010-02-28,47
2010-03-07,100
2010-03-14,39
2010-03-21,60
2010-03-28,39
2010-04-04,53
2010-04-11,48
2010-04-18,47
2010-04-25,25
2010-05-02,38
2010-05-09,37
2010-05-16,54
2010-05-23,76
2010-05-30,0
2010-06-06,45
2010-06-13,78
2010-06-20,81
2010-06-27,53
2010-07-04,41
2010-07-11,0
2010-07-18,60
2010-07-25,0
2010-08-01,34
2010-08-08,26
2010-08-15,0
2010-08-22,41
2010-08-29,95
2010-09-05,21
2010-09-12,22
2010-09-19,0
2010-09-26,44
2010-10-03,0
2010-10-10,55
2010-10-17,27
2010-10-24,22
2010-10-31,33
2010-11-07,24
2010-11-14,45
2010-11-21,29
2010-11-28,0
2010-12-05,58
2010-12-12,29
2010-12-19,34
2010-12-26,22
2011-01-02,9
2011-01-09,27
2011-01-16,21
2011-01-23,26
2011-01-30,22
2011-02-06,45
2011-02-13,48
2011-02-20,63
2011-02-27,54
2011-03-06,49
2011-03-13,68
2011-03-20,77
2011-03-27,85
2011-04-03,100
2011-04-10,81
2011-04-17,61
2011-04-24,79
2011-05-01,61
2011-05-08,61
2011-05-15,38
2011-05-22,50
2011-05-29,59
2011-06-05,45
2011-06-12,43
2011-06-19,27
2011-06-26,43
2011-07-03,27
2011-07-10,40
2011-07-17,30
2011-07-24,36
2011-07-31,36
2011-08-07,28
2011-08-14,32
2011-08-21,24
2011-08-28,22
2011-09-04,25
2011-09-11,31
2011-09-18,26
2011-09-25,20
2011-10-02,26
2011-10-09,24
2011-10-16,28
2011-10-23,31
2011-10-30,42
2011-11-06,41
2011-11-13,37
2011-11-20,24
2011-11-27,22
2011-12-04,35
2011-12-11,33
2011-12-18,24
2011-12-25,30
2012-01-01,36
2012-01-08,39
2012-01-15,29
2012-01-22,44
2012-01-29,40
2012-02-05,54
2012-02-12,42
2012-02-19,72
2012-02-26,71
2012-03-04,84
2012-03-11,95
2012-03-18,100
2012-03-25,100
2012-04-01,70
2012-04-08,93
2012-04-15,78
2012-04-22,74
2012-04-29,42
2012-05-06,67
2012-05-13,70
2012-05-20,49
2012-05-27,49
2012-06-03,42
2012-06-10,56
2012-06-17,33
2012-06-24,30
2012-07-01,24
2012-07-08,31
2012-07-15,19
2012-07-22,35
2012-07-29,28
2012-08-05,19
2012-08-12,28
2012-08-19,32
2012-08-26,18
2012-09-02,13
2012-09-09,16
2012-09-16,27
2012-09-23,22
2012-09-30,13
2012-10-07,16
2012-10-14,19
2012-10-21,30
2012-10-28,24
2012-11-04,19
2012-11-11,12
2012-11-18,18
2012-11-25,28
2012-12-02,20
2012-12-09,16
2012-12-16,9
2012-12-23,18
2012-12-30,13
2013-01-06,25
2013-01-13,21
2013-01-20,29
2013-01-27,22
2013-02-03,28
2013-02-10,29
2013-02-17,45
2013-02-24,48
2013-03-03,41
2013-03-10,50
2013-03-17,50
2013-03-24,48
2013-03-31,82
2013-04-07,67
2013-04-14,100
2013-04-21,73
2013-04-28,81
2013-05-05,85
2013-05-12,79
2013-05-19,88
2013-05-26,75
2013-06-02,68
2013-06-09,59
2013-06-16,59
2013-06-23,39
2013-06-30,48
2013-07-07,28
2013-07-14,29
2013-07-21,42
2013-07-28,31
2013-08-04,32
2013-08-11,29
2013-08-18,55
2013-08-25,34
2013-09-01,17
2013-09-08,33
2013-09-15,27
2013-09-22,33
2013-09-29,38
2013-10-06,30
2013-10-13,25
2013-10-20,16
2013-10-27,28
2013-11-03,32
2013-11-10,26
2013-11-17,26
2013-11-24,25
2013-12-01,17
2013-12-08,16
2013-12-15,15
2013-12-22,22
2013-12-29,22
2014-01-05,17
2014-01-12,35
2014-01-19,19
2014-01-26,21
2014-02-02,26
2014-02-09,31
2014-02-16,31
2014-02-23,22
2014-03-02,29
2014-03-09,37
2014-03-16,48
2014-03-23,46
2014-03-30,46
2014-04-06,46
2014-04-13,45
2014-04-20,54
2014-04-27,72
2014-05-04,62
2014-05-11,84
2014-05-18,100
2014-05-25,73
2014-06-01,60
2014-06-08,60
2014-06-15,62
2014-06-22,46
2014-06-29,42
2014-07-06,54
2014-07-13,41
2014-07-20,45
2014-07-27,56
2014-08-03,32
2014-08-10,25
2014-08-17,33
2014-08-24,30
2014-08-31,37
2014-09-07,36
2014-09-14,36
2014-09-21,42
2014-09-28,30
2014-10-05,34
2014-10-12,49
2014-10-19,45
2014-10-26,31
2014-11-02,50
2014-11-09,37
2014-11-16,25
2014-11-23,49
2014-11-30,40
2014-12-07,44
2014-12-14,28
2014-12-21,22
2014-12-28,34
2015-01-04,9
2015-01-11,7
2015-01-18,12
2015-01-25,12
2015-02-01,18
2015-02-08,21
2015-02-15,18
2015-02-22,30
2015-03-01,39
2015-03-08,50
2015-03-15,64
2015-03-22,72
2015-03-29,77
2015-04-05,77
2015-04-12,87
2015-04-19,79
2015-04-26,77
2015-05-03,73
2015-05-10,66
2015-05-17,63
2015-05-24,56
2015-05-31,49
2015-06-07,45
2015-06-14,28
2015-06-21,21
2015-06-28,25
2015-07-05,19
2015-07-12,21
2015-07-19,13
2015-07-26,17
2015-08-02,14
2015-08-09,14
2015-08-16,13
2015-08-23,14
2015-08-30,12
2015-09-06,12
2015-09-13,14
2015-09-20,18
2015-09-27,14
2015-10-04,8
2015-10-11,13
2015-10-18,17
2015-10-25,18
2015-11-01,17
2015-11-08,28
2015-11-15,27
2015-11-22,46
2015-11-29,83
2015-12-06,87
2015-12-13,61
2015-12-20,53
2015-12-27,53
2016-01-03,24
2016-01-10,19
2016-01-17,24
2016-01-24,34
2016-01-31,38
2016-02-07,52
2016-02-14,91
2016-02-21,100
2016-02-28,83
2016-03-06,69
2016-03-13,48
2016-03-20,35
2016-03-27,34
2016-04-03,38
2016-04-10,30
2016-04-17,18
2016-04-24,19
2016-05-01,15
2016-05-08,15
2016-05-15,18
2016-05-22,12
2016-05-29,12
2016-06-05,12
2016-06-12,10
2016-06-19,5
2016-06-26,6
2016-07-03,7
2016-07-10,5
2016-07-17,6
2016-07-24,4
2016-07-31,4
2016-08-07,4
2016-08-14,5
2016-08-21,4
2016-08-28,5
2016-09-04,3
2016-09-11,4
2016-09-18,5
2016-09-25,5
2016-10-02,5
2016-10-09,4
2016-10-16,5
2016-10-23,3
2016-10-30,4
2016-11-06,6
2016-11-13,5
2016-11-20,4
2016-11-27,4
2016-12-04,3
2016-12-11,3
2016-12-18,4
2016-12-25,3
2017-01-01,35
2017-01-08,46
2017-01-15,33
2017-01-22,38
2017-01-29,45
2017-02-05,49
2017-02-12,57
2017-02-19,51
2017-02-26,44
2017-03-05,88
2017-03-12,100
2017-03-19,88
2017-03-26,68
2017-04-02,86
2017-04-09,46
2017-04-16,57
2017-04-23,61
2017-04-30,71
2017-05-07,84
2017-05-14,66
2017-05-21,72
2017-05-28,66
2017-06-04,74
2017-06-11,43
2017-06-18,44
2017-06-25,57
2017-07-02,52
2017-07-09,31
2017-07-16,30
