Week,buscas
2010-01-03,11
2010-01-10,10
2010-01-17,11
2010-01-24,14
2010-01-31,11
2010-02-07,17
2010-02-14,20
2010-02-21,28
2010-02-28,23
2010-03-07,37
2010-03-14,35
2010-03-21,39
2010-03-28,24
2010-04-04,49
2010-04-11,100
2010-04-18,42
2010-04-25,39
2010-05-02,27
2010-05-09,21
2010-05-16,12
2010-05-23,17
2010-05-30,15
2010-06-06,11
2010-06-13,12
2010-06-20,11
2010-06-27,8
2010-07-04,9
2010-07-11,12
2010-07-18,0
2010-07-25,2
2010-08-01,0
2010-08-08,0
2010-08-15,6
2010-08-22,3
2010-08-29,10
2010-09-05,10
2010-09-12,10
2010-09-19,7
2010-09-26,6
2010-10-03,6
2010-10-10,5
2010-10-17,8
2010-10-24,3
2010-10-31,12
2010-11-07,11
2010-11-14,8
2010-11-21,3
2010-11-28,12
2010-12-05,9
2010-12-12,3
2010-12-19,0
2010-12-26,8
2011-01-02,21
2011-01-09,16
2011-01-16,11
2011-01-23,35
2011-01-30,37
2011-02-06,59
2011-02-13,69
2011-02-20,100
2011-02-27,86
2011-03-06,79
2011-03-13,88
2011-03-20,83
2011-03-27,80
2011-04-03,73
2011-04-10,75
2011-04-17,41
2011-04-24,41
2011-05-01,36
2011-05-08,30
2011-05-15,23
2011-05-22,32
2011-05-29,28
2011-06-05,20
2011-06-12,22
2011-06-19,20
2011-06-26,22
2011-07-03,14
2011-07-10,14
2011-07-17,17
2011-07-24,13
2011-07-31,10
2011-08-07,21
2011-08-14,14
2011-08-21,21
2011-08-28,17
2011-09-04,18
2011-09-11,11
2011-09-18,10
2011-09-25,15
2011-10-02,23
2011-10-09,12
2011-10-16,21
2011-10-23,18
2011-10-30,20
2011-11-06,23
2011-11-13,26
2011-11-20,23
2011-11-27,27
2011-12-04,19
2011-12-11,14
2011-12-18,18
2011-12-25,13
2012-01-01,56
2012-01-08,42
2012-01-15,48
2012-01-22,51
2012-01-29,67
2012-02-05,60
2012-02-12,59
2012-02-19,62
2012-02-26,100
2012-03-04,98
2012-03-11,98
2012-03-18,85
2012-03-25,65
2012-04-01,71
2012-04-08,65
2012-04-15,71
2012-04-22,69
2012-04-29,43
2012-05-06,55
2012-05-13,53
2012-05-20,74
2012-05-27,68
2012-06-03,40
2012-06-10,72
2012-06-17,47
2012-06-24,49
2012-07-01,39
2012-07-08,26
2012-07-15,33
2012-07-22,26
2012-07-29,36
2012-08-05,26
2012-08-12,31
2012-08-19,33
2012-08-26,41
2012-09-02,19
2012-09-09,29
2012-09-16,28
2012-09-23,25
2012-09-30,35
2012-10-07,22
2012-10-14,26
2012-10-21,25
2012-10-28,33
2012-11-04,43
2012-11-11,40
2012-11-18,71
2012-11-25,43
2012-12-02,31
2012-12-09,30
2012-12-16,18
2012-12-23,32
2012-12-30,16
2013-01-06,27
2013-01-13,32
2013-01-20,37
2013-01-27,31
2013-02-03,38
2013-02-10,45
2013-02-17,86
2013-02-24,78
2013-03-03,76
2013-03-10,76
2013-03-17,77
2013-03-24,74
2013-03-31,84
2013-04-07,100
2013-04-14,75
2013-04-21,64
2013-04-28,54
2013-05-05,41
2013-05-12,40
2013-05-19,35
2013-05-26,25
2013-06-02,23
2013-06-09,20
2013-06-16,23
2013-06-23,14
2013-06-30,18
2013-07-07,17
2013-07-14,18
