Week,buscas
2010-01-03,22
2010-01-10,33
2010-01-17,34
2010-01-24,17
2010-01-31,42
2010-02-07,35
2010-02-14,34
2010-02-21,69
2010-02-28,56
2010-03-07,87
2010-03-14,64
2010-03-21,74
2010-03-28,67
2010-04-04,73
2010-04-11,100
2010-04-18,68
2010-04-25,54
2010-05-02,52
2010-05-09,62
2010-05-16,61
2010-05-23,61
2010-05-30,43
2010-06-06,40
2010-06-13,45
2010-06-20,23
2010-06-27,30
2010-07-04,30
2010-07-11,25
2010-07-18,25
2010-07-25,23
2010-08-01,30
2010-08-08,27
2010-08-15,18
2010-08-22,28
2010-08-29,30
2010-09-05,20
2010-09-12,41
2010-09-19,26
2010-09-26,31
2010-10-03,37
2010-10-10,14
2010-10-17,24
2010-10-24,17
2010-10-31,25
2010-11-07,31
2010-11-14,35
2010-11-21,44
2010-11-28,37
2010-12-05,35
2010-12-12,35
2010-12-19,16
2010-12-26,17
2011-01-02,10
2011-01-09,11
2011-01-16,8
2011-01-23,12
2011-01-30,12
2011-02-06,22
2011-02-13,31
2011-02-20,35
2011-02-27,32
2011-03-06,29
2011-03-13,41
2011-03-20,82
2011-03-27,88
2011-04-03,100
2011-04-10,78
2011-04-17,58
2011-04-24,50
2011-05-01,42
2011-05-08,47
2011-05-15,32
2011-05-22,29
2011-05-29,26
2011-06-05,25
2011-06-12,22
2011-06-19,20
2011-06-26,22
2011-07-03,20
2011-07-10,14
2011-07-17,10
2011-07-24,11
2011-07-31,12
2011-08-07,12
2011-08-14,11
2011-08-21,10
2011-08-28,13
2011-09-04,15
2011-09-11,13
2011-09-18,13
2011-09-25,12
2011-10-02,23
2011-10-09,14
2011-10-16,17
2011-10-23,24
2011-10-30,21
2011-11-06,25
2011-11-13,21
2011-11-20,20
2011-11-27,14
2011-12-04,19
2011-12-11,18
2011-12-18,13
2011-12-25,14
2012-01-01,35
2012-01-08,39
2012-01-15,30
2012-01-22,33
2012-01-29,29
2012-02-05,40
2012-02-12,48
2012-02-19,42
2012-02-26,56
2012-03-04,68
2012-03-11,69
2012-03-18,73
2012-03-25,81
2012-04-01,61
2012-04-08,72
2012-04-15,84
2012-04-22,100
2012-04-29,84
2012-05-06,83
2012-05-13,79
2012-05-20,74
2012-05-27,67
2012-06-03,50
2012-06-10,56
2012-06-17,44
2012-06-24,40
2012-07-01,41
2012-07-08,27
2012-07-15,19
2012-07-22,21
2012-07-29,16
2012-08-05,19
2012-08-12,18
2012-08-19,26
2012-08-26,21
2012-09-02,20
2012-09-09,21
2012-09-16,18
2012-09-23,18
2012-09-30,16
2012-10-07,13
2012-10-14,17
2012-10-21,19
2012-10-28,18
2012-11-04,16
2012-11-11,17
2012-11-18,17
2012-11-25,19
2012-12-02,17
2012-12-09,15
2012-12-16,14
2012-12-23,16
2012-12-30,10
2013-01-06,17
2013-01-13,19
2013-01-20,24
2013-01-27,24
2013-02-03,27
2013-02-10,30
2013-02-17,40
2013-02-24,52
2013-03-03,53
2013-03-10,69
2013-03-17,77
2013-03-24,77
2013-03-31,87
2013-04-07,100
2013-04-14,80
2013-04-21,59
2013-04-28,50
2013-05-05,38
2013-05-12,34
2013-05-19,28
2013-05-26,27
2013-06-02,24
2013-06-09,24
2013-06-16,20
2013-06-23,16
2013-06-30,14
2013-07-07,12
2013-07-14,12
2013-07-21,7
2013-07-28,7
2013-08-04,9
2013-08-11,7
2013-08-18,10
2013-08-25,9
2013-09-01,8
2013-09-08,8
2013-09-15,9
2013-09-22,9
2013-09-29,8
2013-10-06,8
2013-10-13,7
2013-10-20,12
2013-10-27,12
2013-11-03,10
2013-11-10,12
2013-11-17,17
2013-11-24,13
2013-12-01,8
2013-12-08,7
2013-12-15,7
2013-12-22,7
2013-12-29,63
2014-01-05,65
2014-01-12,48
2014-01-19,55
2014-01-26,47
2014-02-02,41
2014-02-09,58
2014-02-16,61
2014-02-23,66
2014-03-02,50
2014-03-09,71
2014-03-16,72
2014-03-23,84
2014-03-30,86
2014-04-06,98
2014-04-13,77
2014-04-20,97
2014-04-27,89
2014-05-04,100
2014-05-11,89
2014-05-18,88
2014-05-25,74
2014-06-01,75
2014-06-08,61
2014-06-15,55
2014-06-22,64
2014-06-29,53
2014-07-06,57
2014-07-13,53
2014-07-20,52
2014-07-27,51
2014-08-03,60
2014-08-10,55
2014-08-17,51
2014-08-24,55
2014-08-31,52
2014-09-07,59
2014-09-14,58
2014-09-21,58
2014-09-28,58
2014-10-05,50
2014-10-12,53
2014-10-19,62
2014-10-26,62
2014-11-02,74
2014-11-09,61
2014-11-16,61
2014-11-23,64
2014-11-30,53
2014-12-07,57
2014-12-14,43
2014-12-21,35
2014-12-28,44
2015-01-04,10
2015-01-11,9
2015-01-18,11
2015-01-25,10
2015-02-01,15
2015-02-08,19
2015-02-15,19
2015-02-22,24
2015-03-01,31
2015-03-08,33
2015-03-15,40
2015-03-22,43
2015-03-29,43
2015-04-05,42
2015-04-12,59
2015-04-19,48
2015-04-26,51
2015-05-03,59
2015-05-10,48
2015-05-17,49
2015-05-24,45
2015-05-31,29
2015-06-07,32
2015-06-14,29
2015-06-21,20
2015-06-28,16
2015-07-05,15
2015-07-12,13
2015-07-19,11
2015-07-26,13
2015-08-02,12
2015-08-09,11
2015-08-16,12
2015-08-23,10
2015-08-30,10
2015-09-06,12
2015-09-13,13
2015-09-20,10
2015-09-27,10
2015-10-04,10
2015-10-11,10
2015-10-18,10
2015-10-25,12
2015-11-01,14
2015-11-08,15
2015-11-15,15
2015-11-22,23
2015-11-29,31
2015-12-06,49
2015-12-13,39
2015-12-20,38
2015-12-27,47
2016-01-03,28
2016-01-10,25
2016-01-17,26
2016-01-24,32
2016-01-31,39
2016-02-07,49
2016-02-14,89
2016-02-21,95
2016-02-28,82
2016-03-06,63
2016-03-13,56
2016-03-20,54
2016-03-27,52
2016-04-03,55
2016-04-10,52
2016-04-17,40
2016-04-24,34
2016-05-01,25
2016-05-08,22
2016-05-15,22
2016-05-22,16
2016-05-29,17
2016-06-05,12
2016-06-12,9
2016-06-19,11
2016-06-26,8
2016-07-03,8
2016-07-10,8
2016-07-17,6
2016-07-24,5
2016-07-31,6
2016-08-07,6
2016-08-14,4
2016-08-21,4
2016-08-28,7
2016-09-04,5
2016-09-11,5
2016-09-18,6
2016-09-25,5
2016-10-02,4
2016-10-09,4
2016-10-16,7
2016-10-23,7
2016-10-30,6
2016-11-06,6
2016-11-13,6
2016-11-20,7
2016-11-27,9
2016-12-04,8
2016-12-11,7
2016-12-18,6
2016-12-25,7
2017-01-01,42
2017-01-08,45
2017-01-15,37
2017-01-22,43
2017-01-29,47
2017-02-05,100
2017-02-12,98
2017-02-19,62
2017-02-26,38
2017-03-05,65
2017-03-12,63
2017-03-19,56
2017-03-26,70
2017-04-02,59
2017-04-09,39
2017-04-16,40
2017-04-23,40
2017-04-30,27
2017-05-07,28
2017-05-14,32
2017-05-21,26
2017-05-28,27
2017-06-04,32
2017-06-11,23
2017-06-18,27
2017-06-25,21
2017-07-02,14
2017-07-09,17
2017-07-16,15
2017-07-23,13
2017-07-30,16
2017-08-06,19
2017-08-13,17
2017-08-20,12
2017-08-27,19
2017-09-03,14
2017-09-10,17
2017-09-17,15
2017-09-24,15
2017-10-01,22
2017-10-08,15
2017-10-15,22
2017-10-22,26
2017-10-29,19
2017-11-05,25
2017-11-12,24
2017-11-19,23
2017-11-26,24
2017-12-03,25
2017-12-10,18
2017-12-17,23
2017-12-24,17
2017-12-31,43
2018-01-07,46
2018-01-14,80
2018-01-21,58
2018-01-28,51
2018-02-04,52
2018-02-11,54
2018-02-18,73
2018-02-25,75
2018-03-04,82
2018-03-11,83
2018-03-18,100
2018-03-25,68
2018-04-01,77
2018-04-08,68
2018-04-15,73
2018-04-22,73
2018-04-29,68
2018-05-06,60
2018-05-13,59
2018-05-20,53
2018-05-27,43
2018-06-03,43
2018-06-10,52
2018-06-17,40
2018-06-24,41
2018-07-01,44
2018-07-08,36
2018-07-15,29
2018-07-22,23
2018-07-29,24
2018-08-05,31
2018-08-12,23
2018-08-19,34
2018-08-26,33
2018-09-02,29
2018-09-09,37
2018-09-16,29
2018-09-23,27
2018-09-30,30
2018-10-07,28
2018-10-14,40
2018-10-21,33
2018-10-28,38
2018-11-04,46
2018-11-11,48
2018-11-18,43
2018-11-25,57
2018-12-02,43
2018-12-09,44
2018-12-16,37
2018-12-23,43
2018-12-30,12
2019-01-06,15
2019-01-13,15
2019-01-20,15
2019-01-27,16
2019-02-03,17
2019-02-10,32
2019-02-17,100
2019-02-24,42
2019-03-03,26
2019-03-10,42
2019-03-17,42
2019-03-24,50
2019-03-31,55
2019-04-07,55
2019-04-14,55
2019-04-21,68
2019-04-28,72
2019-05-05,72
2019-05-12,62
2019-05-19,65
2019-05-26,62
2019-06-02,50
2019-06-09,40
2019-06-16,43
2019-06-23,44
2019-06-30,30
2019-07-07,18
2019-07-14,13
2019-07-21,13
2019-07-28,13
2019-08-04,11
2019-08-11,10
2019-08-18,14
2019-08-25,11
2019-09-01,11
2019-09-08,15
2019-09-15,16
2019-09-22,13
2019-09-29,12
2019-10-06,12
2019-10-13,12
2019-10-20,14
2019-10-27,14
2019-11-03,13
2019-11-10,14
2019-11-17,14
2019-11-24,15
2019-12-01,16
2019-12-08,12
2019-12-15,12
2019-12-22,14
2019-12-29,29
2020-01-05,29
2020-01-12,28
2020-01-19,31
2020-01-26,40
2020-02-02,34
2020-02-09,50
2020-02-16,84
2020-02-23,54
2020-03-01,61
2020-03-08,83
2020-03-15,100
2020-03-22,88
2020-03-29,63
2020-04-05,54
2020-04-12,53
2020-04-19,56
2020-04-26,53
2020-05-03,41
2020-05-10,40
2020-05-17,32
2020-05-24,29
2020-05-31,22
2020-06-07,23
2020-06-14,20
2020-06-21,23
2020-06-28,21
2020-07-05,22
2020-07-12,15
2020-07-19,19
2020-07-26,14
2020-08-02,16
2020-08-09,15
2020-08-16,11
2020-08-23,14
2020-08-30,15
2020-09-06,17
2020-09-13,17
2020-09-20,22
2020-09-27,19
2020-10-04,19
2020-10-11,16
2020-10-18,19
2020-10-25,15
2020-11-01,11
2020-11-08,19
2020-11-15,20
2020-11-22,21
2020-11-29,26
2020-12-06,22
2020-12-13,25
2020-12-20,19
2020-12-27,16
2021-01-03,61
2021-01-10,64
2021-01-17,46
2021-01-24,35
2021-01-31,48
2021-02-07,38
2021-02-14,48
2021-02-21,53
2021-02-28,72
2021-03-07,62
2021-03-14,78
2021-03-21,99
2021-03-28,100
2021-04-04,84
2021-04-11,90
2021-04-18,77
2021-04-25,65
2021-05-02,67
2021-05-09,67
2021-05-16,58
2021-05-23,79
2021-05-30,59
2021-06-06,59
2021-06-13,55
2021-06-20,56
2021-06-27,51
2021-07-04,43
2021-07-11,28
2021-07-18,31
2021-07-25,12
2021-08-01,20
2021-08-08,32
2021-08-15,39
2021-08-22,41
2021-08-29,32
2021-09-05,37
2021-09-12,40
2021-09-19,42
2021-09-26,35
2021-10-03,24
2021-10-10,31
2021-10-17,25
2021-10-24,30
2021-10-31,41
2021-11-07,40
2021-11-14,39
2021-11-21,41
2021-11-28,49
2021-12-05,30
2021-12-12,35
2021-12-19,33
2021-12-26,29
2022-01-02,44
2022-01-09,44
2022-01-16,33
2022-01-23,28
2022-01-30,19
2022-02-06,18
2022-02-13,25
2022-02-20,29
2022-02-27,27
2022-03-06,35
2022-03-13,36
2022-03-20,38
2022-03-27,38
2022-04-03,46
2022-04-10,50
2022-04-17,56
2022-04-24,78
2022-05-01,93
2022-05-08,100
2022-05-15,98
2022-05-22,82
2022-05-29,77
2022-06-05,67
2022-06-12,56
2022-06-19,61
2022-06-26,50
2022-07-03,46
2022-07-10,33
2022-07-17,30
2022-07-24,32
2022-07-31,27
2022-08-07,23
2022-08-14,28
2022-08-21,25
2022-08-28,26
2022-09-04,23
2022-09-11,25
2022-09-18,24
2022-09-25,24
2022-10-02,25
2022-10-09,32
2022-10-16,33
2022-10-23,39
2022-10-30,29
2022-11-06,44
2022-11-13,46
2022-11-20,42
2022-11-27,29
2022-12-04,28
2022-12-11,32
2022-12-18,20
2022-12-25,44
