Week,buscas
2010-01-03,0
2010-01-10,16
2010-01-17,9
2010-01-24,0
2010-01-31,12
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,30
2010-03-21,35
2010-03-28,39
2010-04-04,100
2010-04-11,16
2010-04-18,50
2010-04-25,24
2010-05-02,21
2010-05-09,12
2010-05-16,28
2010-05-23,0
2010-05-30,27
2010-06-06,0
2010-06-13,0
2010-06-20,18
2010-06-27,12
2010-07-04,0
2010-07-11,38
2010-07-18,15
2010-07-25,0
2010-08-01,0
2010-08-08,25
2010-08-15,0
2010-08-22,11
2010-08-29,13
2010-09-05,0
2010-09-12,0
2010-09-19,21
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,13
2010-10-24,0
2010-10-31,0
2010-11-07,27
2010-11-14,21
2010-11-21,14
2010-11-28,0
2010-12-05,0
2010-12-12,17
2010-12-19,23
2010-12-26,0
2011-01-02,21
2011-01-09,26
2011-01-16,11
2011-01-23,11
2011-01-30,34
2011-02-06,29
2011-02-13,24
2011-02-20,44
2011-02-27,42
2011-03-06,57
2011-03-13,46
2011-03-20,64
2011-03-27,69
2011-04-03,92
2011-04-10,100
2011-04-17,51
2011-04-24,59
2011-05-01,32
2011-05-08,51
2011-05-15,41
2011-05-22,46
2011-05-29,44
2011-06-05,38
2011-06-12,21
2011-06-19,19
2011-06-26,17
2011-07-03,35
2011-07-10,20
2011-07-17,16
2011-07-24,27
2011-07-31,16
2011-08-07,18
2011-08-14,11
2011-08-21,12
2011-08-28,10
2011-09-04,19
2011-09-11,8
2011-09-18,11
2011-09-25,8
2011-10-02,17
2011-10-09,6
2011-10-16,10
2011-10-23,8
2011-10-30,7
2011-11-06,22
2011-11-13,8
2011-11-20,12
2011-11-27,13
2011-12-04,12
2011-12-11,13
2011-12-18,7
2011-12-25,8
2012-01-01,13
2012-01-08,14
2012-01-15,19
2012-01-22,21
2012-01-29,14
2012-02-05,15
2012-02-12,0
2012-02-19,10
2012-02-26,36
2012-03-04,33
2012-03-11,51
2012-03-18,41
2012-03-25,31
2012-04-01,66
2012-04-08,36
2012-04-15,47
2012-04-22,56
2012-04-29,79
2012-05-06,62
2012-05-13,67
2012-05-20,57
2012-05-27,100
2012-06-03,42
2012-06-10,63
2012-06-17,53
2012-06-24,41
2012-07-01,41
2012-07-08,34
2012-07-15,41
2012-07-22,40
2012-07-29,21
2012-08-05,7
2012-08-12,20
2012-08-19,13
2012-08-26,23
2012-09-02,12
2012-09-09,16
2012-09-16,13
2012-09-23,20
2012-09-30,22
2012-10-07,12
2012-10-14,20
2012-10-21,17
2012-10-28,0
2012-11-04,18
2012-11-11,0
2012-11-18,21
2012-11-25,38
2012-12-02,6
2012-12-09,16
2012-12-16,9
2012-12-23,11
2012-12-30,0
2013-01-06,23
2013-01-13,0
2013-01-20,37
2013-01-27,16
2013-02-03,21
2013-02-10,21
2013-02-17,99
2013-02-24,96
2013-03-03,21
2013-03-10,50
2013-03-17,34
2013-03-24,26
2013-03-31,50
2013-04-07,76
2013-04-14,72
2013-04-21,34
2013-04-28,70
2013-05-05,71
2013-05-12,61
2013-05-19,64
2013-05-26,82
2013-06-02,46
2013-06-09,100
2013-06-16,53
2013-06-23,27
2013-06-30,30
2013-07-07,73
2013-07-14,25
2013-07-21,60
2013-07-28,87
2013-08-04,47
2013-08-11,24
2013-08-18,33
2013-08-25,15
2013-09-01,54
2013-09-08,36
2013-09-15,28
2013-09-22,33
2013-09-29,17
2013-10-06,18
2013-10-13,12
2013-10-20,30
2013-10-27,20
2013-11-03,21
2013-11-10,58
2013-11-17,44
2013-11-24,40
2013-12-01,47
2013-12-08,19
2013-12-15,31
2013-12-22,17
