Week,buscas
2010-01-03,99
2010-01-10,25
2010-01-17,52
2010-01-24,30
2010-01-31,0
2010-02-07,32
2010-02-14,25
2010-02-21,34
2010-02-28,43
2010-03-07,14
2010-03-14,0
2010-03-21,38
2010-03-28,50
2010-04-04,25
2010-04-11,23
2010-04-18,0
2010-04-25,29
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,14
2010-06-13,0
2010-06-20,0
2010-06-27,34
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,31
2010-08-15,0
2010-08-22,25
2010-08-29,0
2010-09-05,38
2010-09-12,0
2010-09-19,16
2010-09-26,0
2010-10-03,15
2010-10-10,17
2010-10-17,30
2010-10-24,0
2010-10-31,41
2010-11-07,53
2010-11-14,25
2010-11-21,39
2010-11-28,33
2010-12-05,18
2010-12-12,0
2010-12-19,18
2010-12-26,0
2011-01-02,46
2011-01-09,38
2011-01-16,0
2011-01-23,25
2011-01-30,54
2011-02-06,27
2011-02-13,38
2011-02-20,50
2011-02-27,69
2011-03-06,85
2011-03-13,100
2011-03-20,99
2011-03-27,24
2011-04-03,47
2011-04-10,73
2011-04-17,43
2011-04-24,52
2011-05-01,40
2011-05-08,19
2011-05-15,0
2011-05-22,29
2011-05-29,22
2011-06-05,0
2011-06-12,28
2011-06-19,0
2011-06-26,30
2011-07-03,0
2011-07-10,0
2011-07-17,13
2011-07-24,0
2011-07-31,33
2011-08-07,17
2011-08-14,0
2011-08-21,0
2011-08-28,20
2011-09-04,0
2011-09-11,0
2011-09-18,12
2011-09-25,17
2011-10-02,29
2011-10-09,16
2011-10-16,32
2011-10-23,37
2011-10-30,20
2011-11-06,22
2011-11-13,38
2011-11-20,29
2011-11-27,0
2011-12-04,42
2011-12-11,0
2011-12-18,32
2011-12-25,0
2012-01-01,40
2012-01-08,27
2012-01-15,0
2012-01-22,29
2012-01-29,38
2012-02-05,61
2012-02-12,72
2012-02-19,41
2012-02-26,32
2012-03-04,0
2012-03-11,0
2012-03-18,22
2012-03-25,43
2012-04-01,29
2012-04-08,100
2012-04-15,33
2012-04-22,0
2012-04-29,0
2012-05-06,34
2012-05-13,0
2012-05-20,28
2012-05-27,0
2012-06-03,0
2012-06-10,48
2012-06-17,20
2012-06-24,0
2012-07-01,0
2012-07-08,29
2012-07-15,0
2012-07-22,44
2012-07-29,38
2012-08-05,81
2012-08-12,0
2012-08-19,0
2012-08-26,71
2012-09-02,0
2012-09-09,0
2012-09-16,23
2012-09-23,24
2012-09-30,21
2012-10-07,0
2012-10-14,33
2012-10-21,58
