Week,buscas
2010-01-03,16
2010-01-10,16
2010-01-17,21
2010-01-24,0
2010-01-31,15
2010-02-07,8
2010-02-14,11
2010-02-21,71
2010-02-28,100
2010-03-07,69
2010-03-14,73
2010-03-21,36
2010-03-28,61
2010-04-04,46
2010-04-11,42
2010-04-18,27
2010-04-25,19
2010-05-02,20
2010-05-09,19
2010-05-16,17
2010-05-23,23
2010-05-30,7
2010-06-06,8
2010-06-13,23
2010-06-20,22
2010-06-27,9
2010-07-04,25
2010-07-11,18
2010-07-18,11
2010-07-25,5
2010-08-01,0
2010-08-08,9
2010-08-15,16
2010-08-22,25
2010-08-29,9
2010-09-05,8
2010-09-12,8
2010-09-19,10
2010-09-26,11
2010-10-03,7
2010-10-10,0
2010-10-17,15
2010-10-24,6
2010-10-31,28
2010-11-07,5
2010-11-14,0
2010-11-21,0
2010-11-28,8
2010-12-05,17
2010-12-12,11
2010-12-19,0
2010-12-26,0
2011-01-02,15
2011-01-09,25
2011-01-16,29
2011-01-23,38
2011-01-30,33
2011-02-06,31
2011-02-13,32
2011-02-20,50
2011-02-27,69
2011-03-06,80
2011-03-13,64
2011-03-20,81
2011-03-27,70
2011-04-03,100
2011-04-10,90
2011-04-17,47
2011-04-24,55
2011-05-01,60
2011-05-08,50
2011-05-15,39
2011-05-22,43
2011-05-29,34
2011-06-05,18
2011-06-12,30
2011-06-19,26
2011-06-26,21
2011-07-03,35
2011-07-10,40
2011-07-17,15
2011-07-24,12
2011-07-31,18
2011-08-07,23
2011-08-14,13
2011-08-21,10
2011-08-28,19
2011-09-04,12
2011-09-11,6
2011-09-18,14
2011-09-25,21
2011-10-02,10
2011-10-09,21
2011-10-16,24
2011-10-23,24
2011-10-30,17
2011-11-06,29
2011-11-13,32
2011-11-20,27
2011-11-27,25
2011-12-04,31
2011-12-11,14
2011-12-18,22
2011-12-25,15
2012-01-01,91
2012-01-08,69
2012-01-15,58
2012-01-22,48
2012-01-29,70
2012-02-05,54
2012-02-12,48
2012-02-19,55
2012-02-26,69
2012-03-04,72
2012-03-11,71
2012-03-18,83
2012-03-25,97
2012-04-01,73
2012-04-08,100
2012-04-15,98
2012-04-22,100
2012-04-29,88
2012-05-06,93
2012-05-13,93
2012-05-20,67
2012-05-27,75
2012-06-03,48
2012-06-10,56
2012-06-17,77
2012-06-24,62
2012-07-01,52
2012-07-08,69
2012-07-15,36
2012-07-22,23
2012-07-29,40
2012-08-05,26
2012-08-12,38
2012-08-19,47
2012-08-26,29
2012-09-02,19
2012-09-09,29
2012-09-16,15
2012-09-23,42
2012-09-30,47
2012-10-07,12
2012-10-14,30
2012-10-21,34
2012-10-28,37
2012-11-04,25
2012-11-11,23
2012-11-18,55
2012-11-25,35
2012-12-02,40
2012-12-09,42
2012-12-16,0
2012-12-23,9
2012-12-30,4
2013-01-06,22
2013-01-13,21
2013-01-20,26
2013-01-27,19
2013-02-03,24
2013-02-10,27
2013-02-17,36
2013-02-24,87
2013-03-03,92
2013-03-10,77
2013-03-17,80
2013-03-24,66
2013-03-31,100
2013-04-07,95
2013-04-14,79
2013-04-21,71
2013-04-28,63
2013-05-05,53
2013-05-12,36
2013-05-19,33
2013-05-26,10
2013-06-02,24
2013-06-09,27
2013-06-16,22
2013-06-23,19
2013-06-30,17
2013-07-07,12
2013-07-14,12
2013-07-21,4
2013-07-28,24
2013-08-04,21
2013-08-11,9
2013-08-18,14
2013-08-25,10
2013-09-01,9
2013-09-08,11
2013-09-15,8
2013-09-22,12
2013-09-29,9
2013-10-06,11
2013-10-13,14
2013-10-20,10
2013-10-27,10
2013-11-03,15
2013-11-10,10
2013-11-17,20
2013-11-24,19
2013-12-01,13
2013-12-08,12
2013-12-15,11
2013-12-22,16
2013-12-29,21
2014-01-05,32
2014-01-12,55
2014-01-19,46
2014-01-26,42
2014-02-02,34
2014-02-09,56
2014-02-16,46
2014-02-23,39
2014-03-02,54
2014-03-09,85
2014-03-16,52
2014-03-23,72
2014-03-30,78
2014-04-06,81
2014-04-13,81
2014-04-20,83
2014-04-27,100
2014-05-04,79
2014-05-11,74
2014-05-18,45
2014-05-25,59
2014-06-01,31
2014-06-08,48
2014-06-15,30
2014-06-22,50
2014-06-29,33
2014-07-06,53
2014-07-13,29
2014-07-20,35
2014-07-27,47
2014-08-03,49
2014-08-10,30
2014-08-17,42
2014-08-24,43
2014-08-31,25
2014-09-07,29
2014-09-14,47
2014-09-21,34
2014-09-28,30
2014-10-05,41
2014-10-12,29
2014-10-19,37
2014-10-26,37
2014-11-02,62
2014-11-09,53
2014-11-16,45
2014-11-23,48
2014-11-30,45
2014-12-07,23
2014-12-14,28
2014-12-21,31
2014-12-28,35
2015-01-04,11
2015-01-11,8
2015-01-18,11
2015-01-25,10
2015-02-01,19
2015-02-08,19
2015-02-15,17
2015-02-22,27
2015-03-01,44
2015-03-08,41
2015-03-15,70
2015-03-22,75
2015-03-29,69
2015-04-05,77
2015-04-12,100
2015-04-19,78
2015-04-26,67
2015-05-03,73
2015-05-10,62
2015-05-17,59
2015-05-24,40
2015-05-31,32
2015-06-07,25
2015-06-14,19
2015-06-21,18
2015-06-28,20
2015-07-05,12
2015-07-12,14
2015-07-19,8
2015-07-26,11
2015-08-02,8
2015-08-09,13
2015-08-16,11
2015-08-23,9
2015-08-30,9
2015-09-06,13
2015-09-13,7
2015-09-20,8
2015-09-27,11
2015-10-04,8
2015-10-11,9
2015-10-18,11
2015-10-25,11
2015-11-01,8
2015-11-08,11
2015-11-15,11
2015-11-22,14
2015-11-29,28
2015-12-06,45
2015-12-13,35
2015-12-20,32
2015-12-27,47
2016-01-03,35
2016-01-10,30
2016-01-17,33
2016-01-24,39
2016-01-31,42
2016-02-07,67
2016-02-14,65
2016-02-21,76
2016-02-28,94
2016-03-06,100
2016-03-13,87
2016-03-20,53
2016-03-27,74
2016-04-03,75
2016-04-10,60
2016-04-17,57
2016-04-24,43
2016-05-01,25
2016-05-08,25
2016-05-15,21
2016-05-22,12
2016-05-29,14
2016-06-05,11
2016-06-12,11
2016-06-19,10
2016-06-26,7
2016-07-03,10
2016-07-10,6
2016-07-17,4
2016-07-24,6
2016-07-31,8
2016-08-07,5
2016-08-14,6
2016-08-21,5
2016-08-28,5
2016-09-04,5
2016-09-11,5
2016-09-18,5
2016-09-25,5
2016-10-02,5
2016-10-09,5
2016-10-16,5
2016-10-23,6
2016-10-30,10
2016-11-06,8
2016-11-13,9
2016-11-20,6
2016-11-27,14
2016-12-04,8
2016-12-11,6
2016-12-18,7
2016-12-25,9
2017-01-01,52
2017-01-08,73
2017-01-15,78
2017-01-22,79
2017-01-29,79
2017-02-05,60
2017-02-12,63
2017-02-19,91
2017-02-26,60
2017-03-05,77
2017-03-12,72
2017-03-19,68
2017-03-26,100
2017-04-02,76
2017-04-09,63
2017-04-16,60
2017-04-23,62
2017-04-30,40
2017-05-07,51
2017-05-14,44
2017-05-21,48
2017-05-28,31
2017-06-04,45
2017-06-11,40
2017-06-18,41
2017-06-25,45
2017-07-02,26
2017-07-09,38
2017-07-16,21
2017-07-23,24
2017-07-30,25
2017-08-06,23
2017-08-13,34
2017-08-20,26
2017-08-27,27
2017-09-03,17
2017-09-10,17
2017-09-17,33
2017-09-24,39
2017-10-01,42
2017-10-08,23
2017-10-15,52
2017-10-22,74
2017-10-29,40
2017-11-05,38
2017-11-12,46
2017-11-19,39
2017-11-26,38
2017-12-03,42
2017-12-10,34
2017-12-17,32
2017-12-24,27
2017-12-31,45
2018-01-07,37
2018-01-14,60
2018-01-21,51
2018-01-28,55
2018-02-04,84
2018-02-11,30
2018-02-18,68
2018-02-25,36
2018-03-04,54
2018-03-11,64
2018-03-18,62
2018-03-25,56
2018-04-01,68
2018-04-08,89
2018-04-15,92
2018-04-22,100
2018-04-29,78
2018-05-06,65
2018-05-13,79
2018-05-20,44
2018-05-27,43
2018-06-03,43
2018-06-10,28
2018-06-17,53
2018-06-24,45
2018-07-01,45
2018-07-08,32
2018-07-15,28
2018-07-22,19
2018-07-29,18
2018-08-05,23
2018-08-12,32
2018-08-19,33
2018-08-26,21
2018-09-02,21
2018-09-09,31
2018-09-16,29
2018-09-23,35
2018-09-30,22
2018-10-07,26
2018-10-14,37
2018-10-21,30
2018-10-28,31
2018-11-04,35
2018-11-11,29
2018-11-18,38
2018-11-25,59
2018-12-02,48
2018-12-09,25
2018-12-16,36
2018-12-23,61
2018-12-30,17
2019-01-06,27
2019-01-13,16
2019-01-20,32
2019-01-27,32
2019-02-03,20
2019-02-10,30
2019-02-17,33
2019-02-24,50
2019-03-03,36
2019-03-10,51
2019-03-17,55
2019-03-24,79
2019-03-31,88
2019-04-07,79
2019-04-14,67
2019-04-21,88
2019-04-28,99
2019-05-05,77
2019-05-12,75
2019-05-19,100
2019-05-26,83
2019-06-02,64
2019-06-09,76
2019-06-16,66
2019-06-23,60
2019-06-30,40
2019-07-07,34
2019-07-14,28
2019-07-21,22
2019-07-28,18
2019-08-04,24
2019-08-11,19
2019-08-18,25
2019-08-25,24
2019-09-01,20
2019-09-08,28
2019-09-15,18
2019-09-22,20
2019-09-29,18
2019-10-06,22
2019-10-13,27
2019-10-20,24
2019-10-27,20
2019-11-03,21
2019-11-10,27
2019-11-17,33
2019-11-24,16
2019-12-01,24
2019-12-08,27
2019-12-15,21
2019-12-22,25
2019-12-29,15
2020-01-05,19
2020-01-12,30
2020-01-19,29
2020-01-26,29
2020-02-02,26
2020-02-09,31
2020-02-16,43
2020-02-23,56
2020-03-01,59
2020-03-08,86
2020-03-15,99
2020-03-22,100
2020-03-29,100
2020-04-05,76
2020-04-12,83
2020-04-19,73
2020-04-26,73
2020-05-03,48
2020-05-10,60
2020-05-17,51
2020-05-24,39
2020-05-31,44
2020-06-07,35
2020-06-14,32
2020-06-21,36
2020-06-28,23
2020-07-05,17
2020-07-12,17
2020-07-19,17
2020-07-26,13
2020-08-02,14
2020-08-09,13
2020-08-16,13
2020-08-23,11
2020-08-30,13
2020-09-06,12
2020-09-13,13
2020-09-20,13
2020-09-27,11
2020-10-04,11
2020-10-11,10
2020-10-18,12
2020-10-25,12
