Week,buscas
2010-01-03,0
2010-01-10,0
2010-01-17,26
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,55
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,21
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,20
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,57
2010-07-18,0
2010-07-25,19
2010-08-01,29
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,20
2010-09-12,48
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,34
2011-01-09,0
2011-01-16,0
2011-01-23,0
2011-01-30,0
2011-02-06,26
2011-02-13,93
2011-02-20,30
2011-02-27,39
2011-03-06,43
2011-03-13,69
2011-03-20,38
2011-03-27,88
2011-04-03,100
2011-04-10,57
2011-04-17,81
2011-04-24,0
2011-05-01,29
2011-05-08,63
2011-05-15,73
2011-05-22,36
2011-05-29,52
2011-06-05,37
2011-06-12,42
2011-06-19,0
2011-06-26,21
2011-07-03,25
2011-07-10,27
2011-07-17,41
2011-07-24,80
2011-07-31,35
2011-08-07,0
2011-08-14,0
2011-08-21,33
2011-08-28,0
2011-09-04,0
2011-09-11,38
2011-09-18,0
2011-09-25,0
2011-10-02,25
2011-10-09,46
2011-10-16,53
2011-10-23,28
2011-10-30,44
2011-11-06,38
2011-11-13,65
2011-11-20,14
2011-11-27,31
2011-12-04,38
2011-12-11,50
2011-12-18,35
2011-12-25,23
2012-01-01,28
2012-01-08,36
2012-01-15,0
2012-01-22,43
2012-01-29,26
2012-02-05,51
2012-02-12,0
2012-02-19,0
2012-02-26,59
2012-03-04,100
2012-03-11,46
2012-03-18,49
2012-03-25,44
2012-04-01,17
2012-04-08,30
2012-04-15,44
2012-04-22,56
2012-04-29,0
2012-05-06,28
2012-05-13,50
2012-05-20,21
2012-05-27,43
2012-06-03,56
2012-06-10,36
2012-06-17,0
2012-06-24,32
2012-07-01,48
2012-07-08,39
2012-07-15,19
2012-07-22,28
2012-07-29,12
2012-08-05,28
2012-08-12,18
2012-08-19,0
2012-08-26,0
2012-09-02,36
2012-09-09,0
2012-09-16,14
2012-09-23,23
2012-09-30,0
2012-10-07,0
2012-10-14,80
2012-10-21,61
2012-10-28,21
2012-11-04,17
2012-11-11,12
2012-11-18,13
2012-11-25,0
2012-12-02,20
2012-12-09,0
2012-12-16,0
2012-12-23,20
2012-12-30,26
2013-01-06,0
2013-01-13,0
2013-01-20,19
2013-01-27,16
2013-02-03,16
2013-02-10,0
2013-02-17,0
2013-02-24,14
2013-03-03,24
2013-03-10,33
2013-03-17,0
2013-03-24,17
2013-03-31,75
2013-04-07,56
2013-04-14,44
2013-04-21,32
2013-04-28,85
2013-05-05,66
2013-05-12,35
2013-05-19,42
2013-05-26,35
2013-06-02,73
2013-06-09,52
2013-06-16,0
2013-06-23,50
2013-06-30,56
2013-07-07,53
2013-07-14,0
2013-07-21,48
2013-07-28,46
2013-08-04,24
2013-08-11,0
2013-08-18,57
2013-08-25,52
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,23
2013-09-29,25
2013-10-06,0
2013-10-13,17
2013-10-20,25
2013-10-27,56
2013-11-03,19
2013-11-10,0
2013-11-17,0
2013-11-24,50
2013-12-01,28
2013-12-08,14
2013-12-15,24
2013-12-22,0
2013-12-29,0
2014-01-05,17
2014-01-12,29
2014-01-19,95
2014-01-26,0
2014-02-02,29
2014-02-09,17
2014-02-16,0
2014-02-23,100
2014-03-02,42
2014-03-09,30
2014-03-16,41
2014-03-23,0
2014-03-30,99
2014-04-06,66
2014-04-13,40
2014-04-20,60
2014-04-27,61
2014-05-04,78
2014-05-11,71
2014-05-18,82
2014-05-25,88
2014-06-01,76
2014-06-08,49
2014-06-15,32
2014-06-22,42
2014-06-29,26
2014-07-06,64
2014-07-13,54
2014-07-20,40
2014-07-27,18
2014-08-03,74
2014-08-10,26
2014-08-17,42
2014-08-24,48
2014-08-31,13
2014-09-07,33
2014-09-14,0
2014-09-21,16
2014-09-28,86
2014-10-05,0
2014-10-12,48
2014-10-19,36
2014-10-26,32
2014-11-02,41
2014-11-09,0
2014-11-16,41
2014-11-23,25
2014-11-30,0
2014-12-07,0
2014-12-14,19
2014-12-21,31
2014-12-28,0
2015-01-04,7
2015-01-11,10
2015-01-18,0
2015-01-25,20
2015-02-01,18
2015-02-08,29
2015-02-15,0
2015-02-22,19
2015-03-01,29
2015-03-08,29
2015-03-15,47
2015-03-22,44
2015-03-29,36
2015-04-05,58
2015-04-12,46
2015-04-19,45
2015-04-26,43
2015-05-03,43
2015-05-10,46
2015-05-17,25
2015-05-24,25
2015-05-31,34
2015-06-07,34
2015-06-14,28
2015-06-21,8
2015-06-28,8
2015-07-05,18
2015-07-12,9
2015-07-19,10
2015-07-26,11
2015-08-02,11
2015-08-09,12
2015-08-16,22
2015-08-23,16
2015-08-30,9
2015-09-06,9
2015-09-13,6
2015-09-20,13
2015-09-27,10
2015-10-04,12
2015-10-11,6
2015-10-18,17
2015-10-25,19
2015-11-01,12
2015-11-08,9
2015-11-15,14
2015-11-22,35
2015-11-29,26
2015-12-06,44
2015-12-13,35
2015-12-20,19
2015-12-27,19
2016-01-03,24
2016-01-10,18
2016-01-17,15
2016-01-24,38
2016-01-31,37
2016-02-07,59
2016-02-14,85
2016-02-21,71
2016-02-28,100
2016-03-06,74
2016-03-13,56
2016-03-20,46
2016-03-27,58
2016-04-03,73
2016-04-10,60
2016-04-17,54
2016-04-24,18
2016-05-01,35
2016-05-08,35
2016-05-15,38
2016-05-22,28
2016-05-29,20
2016-06-05,22
2016-06-12,16
2016-06-19,11
2016-06-26,6
2016-07-03,9
2016-07-10,21
2016-07-17,12
2016-07-24,12
2016-07-31,19
2016-08-07,8
2016-08-14,6
2016-08-21,10
2016-08-28,9
2016-09-04,13
2016-09-11,25
2016-09-18,15
2016-09-25,8
2016-10-02,9
2016-10-09,7
2016-10-16,6
2016-10-23,21
2016-10-30,13
2016-11-06,12
2016-11-13,19
2016-11-20,9
2016-11-27,3
2016-12-04,0
2016-12-11,9
2016-12-18,25
2016-12-25,8
2017-01-01,24
2017-01-08,24
2017-01-15,34
2017-01-22,29
2017-01-29,55
2017-02-05,58
2017-02-12,0
2017-02-19,19
2017-02-26,51
2017-03-05,29
2017-03-12,44
2017-03-19,16
2017-03-26,40
2017-04-02,81
2017-04-09,49
2017-04-16,28
2017-04-23,36
2017-04-30,17
2017-05-07,65
2017-05-14,31
2017-05-21,70
2017-05-28,61
2017-06-04,47
2017-06-11,28
2017-06-18,31
2017-06-25,38
2017-07-02,30
2017-07-09,13
2017-07-16,33
