Week,buscas
2010-01-03,18
2010-01-10,24
2010-01-17,29
2010-01-24,33
2010-01-31,36
2010-02-07,45
2010-02-14,58
2010-02-21,100
2010-02-28,93
2010-03-07,91
2010-03-14,83
2010-03-21,76
2010-03-28,83
2010-04-04,83
2010-04-11,93
2010-04-18,75
2010-04-25,79
2010-05-02,67
2010-05-09,70
2010-05-16,56
2010-05-23,45
2010-05-30,38
2010-06-06,32
2010-06-13,27
2010-06-20,27
2010-06-27,17
2010-07-04,17
2010-07-11,13
2010-07-18,11
2010-07-25,11
2010-08-01,13
2010-08-08,18
2010-08-15,15
2010-08-22,13
2010-08-29,18
2010-09-05,14
2010-09-12,21
2010-09-19,19
2010-09-26,17
2010-10-03,12
2010-10-10,14
2010-10-17,26
2010-10-24,21
2010-10-31,22
2010-11-07,26
2010-11-14,24
2010-11-21,32
2010-11-28,23
2010-12-05,25
2010-12-12,19
2010-12-19,14
2010-12-26,18
2011-01-02,22
2011-01-09,24
2011-01-16,29
2011-01-23,31
2011-01-30,28
2011-02-06,39
2011-02-13,46
2011-02-20,54
2011-02-27,51
2011-03-06,51
2011-03-13,72
2011-03-20,92
2011-03-27,88
2011-04-03,100
2011-04-10,82
2011-04-17,62
2011-04-24,65
2011-05-01,53
2011-05-08,56
2011-05-15,49
2011-05-22,46
2011-05-29,37
2011-06-05,30
2011-06-12,29
2011-06-19,22
2011-06-26,28
2011-07-03,23
2011-07-10,21
2011-07-17,15
2011-07-24,17
2011-07-31,18
2011-08-07,21
2011-08-14,15
2011-08-21,19
2011-08-28,19
2011-09-04,21
2011-09-11,20
2011-09-18,21
2011-09-25,19
2011-10-02,20
2011-10-09,19
2011-10-16,25
2011-10-23,27
2011-10-30,25
2011-11-06,30
2011-11-13,24
2011-11-20,28
2011-11-27,21
2011-12-04,19
2011-12-11,19
2011-12-18,19
2011-12-25,18
2012-01-01,75
2012-01-08,71
2012-01-15,54
2012-01-22,57
2012-01-29,65
2012-02-05,64
2012-02-12,62
2012-02-19,66
2012-02-26,86
2012-03-04,90
2012-03-11,100
2012-03-18,90
2012-03-25,98
2012-04-01,73
2012-04-08,85
2012-04-15,90
2012-04-22,92
2012-04-29,65
2012-05-06,73
2012-05-13,81
2012-05-20,78
2012-05-27,73
2012-06-03,53
2012-06-10,58
2012-06-17,63
2012-06-24,47
2012-07-01,48
2012-07-08,33
2012-07-15,26
2012-07-22,35
2012-07-29,32
2012-08-05,39
2012-08-12,45
2012-08-19,45
2012-08-26,49
2012-09-02,42
2012-09-09,48
2012-09-16,47
2012-09-23,40
2012-09-30,41
2012-10-07,30
2012-10-14,37
2012-10-21,47
2012-10-28,46
2012-11-04,56
2012-11-11,52
2012-11-18,51
2012-11-25,44
2012-12-02,40
2012-12-09,30
2012-12-16,31
2012-12-23,39
2012-12-30,13
2013-01-06,19
2013-01-13,18
2013-01-20,24
2013-01-27,24
2013-02-03,26
2013-02-10,34
2013-02-17,45
2013-02-24,59
2013-03-03,58
2013-03-10,66
2013-03-17,68
2013-03-24,72
2013-03-31,92
2013-04-07,98
2013-04-14,100
2013-04-21,79
2013-04-28,63
2013-05-05,50
2013-05-12,49
2013-05-19,41
2013-05-26,29
2013-06-02,28
2013-06-09,27
2013-06-16,25
2013-06-23,18
2013-06-30,14
2013-07-07,13
2013-07-14,12
2013-07-21,9
2013-07-28,10
2013-08-04,12
2013-08-11,11
2013-08-18,12
2013-08-25,11
2013-09-01,11
2013-09-08,12
2013-09-15,11
2013-09-22,10
2013-09-29,11
2013-10-06,9
2013-10-13,11
2013-10-20,13
2013-10-27,12
2013-11-03,15
2013-11-10,15
2013-11-17,17
2013-11-24,17
2013-12-01,12
2013-12-08,10
2013-12-15,10
2013-12-22,10
2013-12-29,8
2014-01-05,9
2014-01-12,10
2014-01-19,12
2014-01-26,12
2014-02-02,14
2014-02-09,15
2014-02-16,18
2014-02-23,21
2014-03-02,19
2014-03-09,27
2014-03-16,35
2014-03-23,42
2014-03-30,51
2014-04-06,91
2014-04-13,88
2014-04-20,100
2014-04-27,99
2014-05-04,95
2014-05-11,78
2014-05-18,70
2014-05-25,46
2014-06-01,36
2014-06-08,30
2014-06-15,25
2014-06-22,23
2014-06-29,18
2014-07-06,14
2014-07-13,13
2014-07-20,13
2014-07-27,13
2014-08-03,14
2014-08-10,13
2014-08-17,10
2014-08-24,13
2014-08-31,12
2014-09-07,11
2014-09-14,11
2014-09-21,12
2014-09-28,13
2014-10-05,11
2014-10-12,13
2014-10-19,15
2014-10-26,14
2014-11-02,16
2014-11-09,16
2014-11-16,15
2014-11-23,13
2014-11-30,12
2014-12-07,12
2014-12-14,11
2014-12-21,10
2014-12-28,14
2015-01-04,6
2015-01-11,7
2015-01-18,9
2015-01-25,12
2015-02-01,19
2015-02-08,28
2015-02-15,31
2015-02-22,43
2015-03-01,65
2015-03-08,73
2015-03-15,83
2015-03-22,100
2015-03-29,83
2015-04-05,73
2015-04-12,89
2015-04-19,76
2015-04-26,62
2015-05-03,57
2015-05-10,40
2015-05-17,34
2015-05-24,29
2015-05-31,19
2015-06-07,18
2015-06-14,13
2015-06-21,9
2015-06-28,7
2015-07-05,5
2015-07-12,5
2015-07-19,5
2015-07-26,5
2015-08-02,5
2015-08-09,6
2015-08-16,5
2015-08-23,5
2015-08-30,5
2015-09-06,5
2015-09-13,5
2015-09-20,5
2015-09-27,5
2015-10-04,5
2015-10-11,5
2015-10-18,5
2015-10-25,6
2015-11-01,6
2015-11-08,7
2015-11-15,8
2015-11-22,10
2015-11-29,13
2015-12-06,21
2015-12-13,17
2015-12-20,16
2015-12-27,19
2016-01-03,37
2016-01-10,31
2016-01-17,35
2016-01-24,41
2016-01-31,56
2016-02-07,61
2016-02-14,93
2016-02-21,100
2016-02-28,94
2016-03-06,82
2016-03-13,74
2016-03-20,63
2016-03-27,65
2016-04-03,71
2016-04-10,54
2016-04-17,42
2016-04-24,34
