estado,R2,MSE,MAPE,parametros
RO,-2.535,0.017,0.665,"{'n_estimators': 953, 'max_depth': 3, 'subsample': 0.8441805838633578, 'colsample_bytree': 0.5584342627719874}"
AC,-11.769,0.011,1.777,"{'n_estimators': 953, 'max_depth': 3, 'subsample': 0.8441805838633578, 'colsample_bytree': 0.5584342627719874}"
AM,-1.025,0.0,0.866,"{'n_estimators': 855, 'max_depth': 3, 'subsample': 0.8693933061787112, 'colsample_bytree': 0.6553136937712515}"
PA,0.121,0.006,0.534,"{'n_estimators': 855, 'max_depth': 3, 'subsample': 0.8693933061787112, 'colsample_bytree': 0.6553136937712515}"
TO,-0.69,0.152,0.697,"{'n_estimators': 855, 'max_depth': 3, 'subsample': 0.8693933061787112, 'colsample_bytree': 0.6553136937712515}"
MA,-0.411,0.005,0.945,"{'n_estimators': 855, 'max_depth': 3, 'subsample': 0.8693933061787112, 'colsample_bytree': 0.6553136937712515}"
PI,-0.346,0.078,1.323,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
CE,-0.406,0.064,1.047,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
RN,-0.128,0.039,1.551,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
PB,-0.328,0.067,0.777,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
PE,0.086,0.006,1.15,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
AL,-0.244,0.117,1.306,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
SE,-0.722,0.073,0.527,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
BA,0.096,0.011,1.593,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
MG,0.417,0.002,0.982,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
ES,-16.613,0.004,8.555,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
RJ,-2.719,0.001,3.761,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
SP,0.037,0.025,0.731,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
PR,-0.233,0.068,1.09,"{'n_estimators': 997, 'max_depth': 5, 'subsample': 0.8860552818824955, 'colsample_bytree': 0.6057910755093306}"
SC,-0.396,0.132,0.721,"{'n_estimators': 667, 'max_depth': 6, 'subsample': 0.8999695808371739, 'colsample_bytree': 0.6754904786041758}"
RS,-0.224,0.103,0.678,"{'n_estimators': 621, 'max_depth': 7, 'subsample': 0.8917314590191361, 'colsample_bytree': 0.7087180476914106}"
MS,-0.394,0.013,0.711,"{'n_estimators': 621, 'max_depth': 7, 'subsample': 0.8917314590191361, 'colsample_bytree': 0.7087180476914106}"
MT,-0.069,0.043,0.421,"{'n_estimators': 621, 'max_depth': 7, 'subsample': 0.8917314590191361, 'colsample_bytree': 0.7087180476914106}"
GO,-0.187,0.103,0.523,"{'n_estimators': 621, 'max_depth': 7, 'subsample': 0.8917314590191361, 'colsample_bytree': 0.7087180476914106}"
DF,-0.332,0.082,0.612,"{'n_estimators': 621, 'max_depth': 7, 'subsample': 0.8917314590191361, 'colsample_bytree': 0.7087180476914106}"
