estado,R2,MSE,MAPE,parametros
RO,-2.557,0.017,0.667,"{'n_estimators': 611, 'max_depth': 3, 'subsample': 0.8855160934496011, 'colsample_bytree': 0.6480583643253609}"
AC,-11.653,0.011,1.782,"{'n_estimators': 611, 'max_depth': 3, 'subsample': 0.8855160934496011, 'colsample_bytree': 0.6480583643253609}"
AM,-1.018,0.0,0.864,"{'n_estimators': 786, 'max_depth': 3, 'subsample': 0.8718664713554362, 'colsample_bytree': 0.6660770323337728}"
PA,0.124,0.006,0.533,"{'n_estimators': 786, 'max_depth': 3, 'subsample': 0.8718664713554362, 'colsample_bytree': 0.6660770323337728}"
TO,-0.689,0.152,0.695,"{'n_estimators': 786, 'max_depth': 3, 'subsample': 0.8718664713554362, 'colsample_bytree': 0.6660770323337728}"
MA,-0.408,0.005,0.943,"{'n_estimators': 786, 'max_depth': 3, 'subsample': 0.8718664713554362, 'colsample_bytree': 0.6660770323337728}"
PI,-0.354,0.078,1.224,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
CE,-0.383,0.063,0.969,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
RN,-0.089,0.038,1.613,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
PB,-0.323,0.067,0.805,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
PE,0.071,0.006,1.112,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
AL,-0.278,0.12,1.258,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
SE,-0.638,0.069,0.497,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
BA,0.03,0.012,1.593,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
MG,0.36,0.002,1.037,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
ES,-15.557,0.004,8.234,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
RJ,-1.718,0.001,2.943,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
SP,0.097,0.023,0.748,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
PR,-0.297,0.072,1.182,"{'n_estimators': 944, 'max_depth': 4, 'subsample': 0.8089091238826929, 'colsample_bytree': 0.7128608936883781}"
SC,-0.394,0.132,0.722,"{'n_estimators': 974, 'max_depth': 7, 'subsample': 0.7453636991391999, 'colsample_bytree': 0.6725644013689906}"
RS,-0.219,0.102,0.693,"{'n_estimators': 950, 'max_depth': 8, 'subsample': 0.6966614104827241, 'colsample_bytree': 0.6874035632470846}"
MS,-0.388,0.013,0.728,"{'n_estimators': 950, 'max_depth': 8, 'subsample': 0.6966614104827241, 'colsample_bytree': 0.6874035632470846}"
MT,-0.073,0.044,0.419,"{'n_estimators': 950, 'max_depth': 8, 'subsample': 0.6966614104827241, 'colsample_bytree': 0.6874035632470846}"
GO,-0.187,0.103,0.516,"{'n_estimators': 950, 'max_depth': 8, 'subsample': 0.6966614104827241, 'colsample_bytree': 0.6874035632470846}"
DF,-0.335,0.082,0.611,"{'n_estimators': 950, 'max_depth': 8, 'subsample': 0.6966614104827241, 'colsample_bytree': 0.6874035632470846}"
