estado,R2,MSE,MAPE,parametros
RO,-3.196,0.02,0.769,"{'kernel': 'linear', 'C': 6.799614083931914, 'epsilon': 0.007150577694482581}"
AC,-1.125,0.002,0.805,"{'kernel': 'linear', 'C': 6.799614083931914, 'epsilon': 0.007150577694482581}"
AM,-0.541,0.0,0.589,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
RR,-0.795,0.01,13640122873433.559,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
PA,0.095,0.006,0.477,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
AP,-0.533,0.001,0.448,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
TO,-1.031,0.183,0.635,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
MA,-0.783,0.006,0.68,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
PI,-0.393,0.081,1.61,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
CE,-0.641,0.075,0.678,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
RN,-0.217,0.042,1.184,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
PB,-0.574,0.08,0.698,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
PE,-0.461,0.01,0.812,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
AL,-0.527,0.144,0.887,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
SE,-1.286,0.097,0.589,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
BA,0.08,0.011,0.842,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
MG,-0.347,0.005,0.621,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
ES,-0.532,0.0,2.737,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
RJ,-1.343,0.001,2.169,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
SP,-0.259,0.032,0.426,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
PR,-0.417,0.079,0.494,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
SC,-0.477,0.139,0.778,"{'kernel': 'linear', 'C': 1.5466655465859547, 'epsilon': 0.007031779269209977}"
RS,-0.267,0.106,0.799,"{'kernel': 'rbf', 'C': 0.21965196045066782, 'epsilon': 0.0019997258006266136}"
MS,-0.892,0.017,0.723,"{'kernel': 'rbf', 'C': 0.21965196045066782, 'epsilon': 0.0019997258006266136}"
MT,-0.594,0.065,0.577,"{'kernel': 'rbf', 'C': 0.21965196045066782, 'epsilon': 0.0019997258006266136}"
GO,-0.566,0.136,0.665,"{'kernel': 'rbf', 'C': 0.21965196045066782, 'epsilon': 0.0019997258006266136}"
DF,-0.51,0.093,0.676,"{'kernel': 'rbf', 'C': 0.21965196045066782, 'epsilon': 0.0019997258006266136}"
