estado,R2,MSE,MAPE,parametros
RO,-3.002,0.019,0.744,"{'kernel': 'linear', 'C': 0.03733367108572085, 'epsilon': 0.01914308960279034}"
AC,-0.887,0.002,0.791,"{'kernel': 'linear', 'C': 0.03733367108572085, 'epsilon': 0.01914308960279034}"
AM,-0.426,0.0,0.619,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
PA,0.11,0.006,0.467,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
TO,-1.023,0.183,0.633,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
MA,-0.78,0.006,0.675,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
PI,-0.38,0.08,1.635,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
CE,-0.615,0.073,0.694,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
RN,-0.189,0.041,1.217,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
PB,-0.592,0.08,0.701,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
PE,-0.445,0.01,0.825,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
AL,-0.525,0.144,0.883,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
SE,-1.265,0.096,0.584,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
BA,0.112,0.011,0.837,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
MG,-0.325,0.005,0.65,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
ES,-0.592,0.0,2.893,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
RJ,-1.252,0.001,2.259,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
SP,-0.231,0.031,0.421,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
PR,-0.402,0.078,0.48,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
SC,-0.456,0.137,0.749,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
RS,-0.307,0.11,0.552,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
MS,-0.783,0.016,0.604,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
MT,-0.78,0.072,0.681,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
GO,-0.5,0.13,0.641,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
DF,-1.024,0.125,0.79,"{'kernel': 'linear', 'C': 18.04699717215895, 'epsilon': 0.010446753130030618}"
