Week,buscas
2010-01-03,0
2010-01-10,22
2010-01-17,0
2010-01-24,0
2010-01-31,40
2010-02-07,0
2010-02-14,41
2010-02-21,0
2010-02-28,54
2010-03-07,21
2010-03-14,0
2010-03-21,54
2010-03-28,0
2010-04-04,0
2010-04-11,100
2010-04-18,0
2010-04-25,0
2010-05-02,46
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,28
2010-06-20,29
2010-06-27,0
2010-07-04,23
2010-07-11,73
2010-07-18,0
2010-07-25,41
2010-08-01,69
2010-08-08,32
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,52
2010-10-03,0
2010-10-10,0
2010-10-17,23
2010-10-24,18
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,29
2010-12-19,0
2010-12-26,35
2011-01-02,11
2011-01-09,8
2011-01-16,10
2011-01-23,10
2011-01-30,20
2011-02-06,24
2011-02-13,45
2011-02-20,100
2011-02-27,58
2011-03-06,39
2011-03-13,34
2011-03-20,30
2011-03-27,16
2011-04-03,23
2011-04-10,14
2011-04-17,4
2011-04-24,14
2011-05-01,6
2011-05-08,9
2011-05-15,7
2011-05-22,8
2011-05-29,8
2011-06-05,4
2011-06-12,6
2011-06-19,3
2011-06-26,5
2011-07-03,0
2011-07-10,8
2011-07-17,3
2011-07-24,4
2011-07-31,6
2011-08-07,0
2011-08-14,0
2011-08-21,3
2011-08-28,3
2011-09-04,0
2011-09-11,6
2011-09-18,4
2011-09-25,5
2011-10-02,3
2011-10-09,1
2011-10-16,2
2011-10-23,2
2011-10-30,5
2011-11-06,5
2011-11-13,2
2011-11-20,5
2011-11-27,7
2011-12-04,5
2011-12-11,5
2011-12-18,5
2011-12-25,0
2012-01-01,12
2012-01-08,25
2012-01-15,14
2012-01-22,36
2012-01-29,15
2012-02-05,44
2012-02-12,48
2012-02-19,98
2012-02-26,61
2012-03-04,40
2012-03-11,60
2012-03-18,82
2012-03-25,25
2012-04-01,52
2012-04-08,34
2012-04-15,52
2012-04-22,57
2012-04-29,100
2012-05-06,17
2012-05-13,63
2012-05-20,43
2012-05-27,44
2012-06-03,63
2012-06-10,28
2012-06-17,32
2012-06-24,28
2012-07-01,26
2012-07-08,36
2012-07-15,16
2012-07-22,23
2012-07-29,22
2012-08-05,22
2012-08-12,20
2012-08-19,27
2012-08-26,34
2012-09-02,11
2012-09-09,24
2012-09-16,8
2012-09-23,24
2012-09-30,32
2012-10-07,21
2012-10-14,31
2012-10-21,16
2012-10-28,19
2012-11-04,23
2012-11-11,6
2012-11-18,26
2012-11-25,26
2012-12-02,19
2012-12-09,23
2012-12-16,15
2012-12-23,27
2012-12-30,27
2013-01-06,39
2013-01-13,37
2013-01-20,58
2013-01-27,71
2013-02-03,58
2013-02-10,70
2013-02-17,81
2013-02-24,78
2013-03-03,79
2013-03-10,100
2013-03-17,82
2013-03-24,71
2013-03-31,68
2013-04-07,82
2013-04-14,67
2013-04-21,61
2013-04-28,46
2013-05-05,58
2013-05-12,58
2013-05-19,42
2013-05-26,36
2013-06-02,47
2013-06-09,32
2013-06-16,33
2013-06-23,45
2013-06-30,15
2013-07-07,31
2013-07-14,34
2013-07-21,0
2013-07-28,11
2013-08-04,8
2013-08-11,0
2013-08-18,10
2013-08-25,0
2013-09-01,16
2013-09-08,25
2013-09-15,19
2013-09-22,35
2013-09-29,35
2013-10-06,34
2013-10-13,28
2013-10-20,34
2013-10-27,21
2013-11-03,18
2013-11-10,21
2013-11-17,36
2013-11-24,26
2013-12-01,6
2013-12-08,15
2013-12-15,21
2013-12-22,14
2013-12-29,25
2014-01-05,37
2014-01-12,24
2014-01-19,24
2014-01-26,31
2014-02-02,27
2014-02-09,58
2014-02-16,81
2014-02-23,47
2014-03-02,79
2014-03-09,65
2014-03-16,58
2014-03-23,100
2014-03-30,100
2014-04-06,69
2014-04-13,71
2014-04-20,71
2014-04-27,58
2014-05-04,59
2014-05-11,67
2014-05-18,54
2014-05-25,86
2014-06-01,53
2014-06-08,35
2014-06-15,34
2014-06-22,53
2014-06-29,35
2014-07-06,49
2014-07-13,41
2014-07-20,66
2014-07-27,23
2014-08-03,13
2014-08-10,52
2014-08-17,24
2014-08-24,59
2014-08-31,23
2014-09-07,28
2014-09-14,0
2014-09-21,24
2014-09-28,56
2014-10-05,25
2014-10-12,23
2014-10-19,73
2014-10-26,39
2014-11-02,58
2014-11-09,31
2014-11-16,33
2014-11-23,47
2014-11-30,57
2014-12-07,27
2014-12-14,37
2014-12-21,19
2014-12-28,34
2015-01-04,10
2015-01-11,15
2015-01-18,0
2015-01-25,20
