Week,buscas
2010-01-03,22
2010-01-10,10
2010-01-17,36
2010-01-24,48
2010-01-31,32
2010-02-07,27
2010-02-14,15
2010-02-21,61
2010-02-28,64
2010-03-07,60
2010-03-14,89
2010-03-21,87
2010-03-28,74
2010-04-04,100
2010-04-11,79
2010-04-18,65
2010-04-25,75
2010-05-02,45
2010-05-09,64
2010-05-16,56
2010-05-23,52
2010-05-30,42
2010-06-06,77
2010-06-13,29
2010-06-20,16
2010-06-27,25
2010-07-04,9
2010-07-11,24
2010-07-18,11
2010-07-25,31
2010-08-01,18
2010-08-08,27
2010-08-15,37
2010-08-22,20
2010-08-29,12
2010-09-05,22
2010-09-12,29
2010-09-19,27
2010-09-26,29
2010-10-03,0
2010-10-10,9
2010-10-17,33
2010-10-24,21
2010-10-31,40
2010-11-07,32
2010-11-14,36
2010-11-21,29
2010-11-28,24
2010-12-05,49
2010-12-12,17
2010-12-19,27
2010-12-26,14
2011-01-02,14
2011-01-09,17
2011-01-16,13
2011-01-23,19
2011-01-30,23
2011-02-06,26
2011-02-13,38
2011-02-20,37
2011-02-27,35
2011-03-06,28
2011-03-13,62
2011-03-20,69
2011-03-27,76
2011-04-03,100
2011-04-10,78
2011-04-17,53
2011-04-24,51
2011-05-01,42
2011-05-08,47
2011-05-15,62
2011-05-22,42
2011-05-29,59
2011-06-05,61
2011-06-12,38
2011-06-19,26
2011-06-26,29
2011-07-03,32
2011-07-10,40
2011-07-17,27
2011-07-24,44
2011-07-31,31
2011-08-07,29
2011-08-14,19
2011-08-21,20
2011-08-28,29
2011-09-04,19
2011-09-11,26
2011-09-18,20
2011-09-25,33
2011-10-02,25
2011-10-09,27
2011-10-16,21
2011-10-23,26
2011-10-30,29
2011-11-06,39
2011-11-13,34
2011-11-20,27
2011-11-27,19
2011-12-04,20
2011-12-11,24
2011-12-18,24
2011-12-25,18
2012-01-01,41
2012-01-08,46
2012-01-15,35
2012-01-22,30
2012-01-29,37
2012-02-05,56
2012-02-12,61
2012-02-19,58
2012-02-26,67
2012-03-04,71
2012-03-11,69
2012-03-18,83
2012-03-25,96
2012-04-01,77
2012-04-08,100
2012-04-15,88
2012-04-22,76
2012-04-29,93
2012-05-06,97
2012-05-13,87
2012-05-20,91
2012-05-27,76
2012-06-03,72
2012-06-10,79
2012-06-17,49
2012-06-24,36
2012-07-01,46
2012-07-08,68
2012-07-15,62
2012-07-22,57
2012-07-29,46
2012-08-05,57
2012-08-12,49
2012-08-19,37
2012-08-26,50
2012-09-02,41
2012-09-09,46
2012-09-16,41
2012-09-23,42
2012-09-30,37
2012-10-07,27
2012-10-14,37
2012-10-21,41
2012-10-28,18
2012-11-04,43
2012-11-11,29
2012-11-18,45
2012-11-25,34
2012-12-02,27
2012-12-09,26
2012-12-16,36
2012-12-23,19
2012-12-30,12
2013-01-06,24
2013-01-13,21
2013-01-20,29
2013-01-27,24
2013-02-03,29
2013-02-10,26
2013-02-17,35
2013-02-24,55
2013-03-03,60
2013-03-10,59
2013-03-17,61
2013-03-24,52
2013-03-31,81
2013-04-07,100
2013-04-14,96
2013-04-21,59
2013-04-28,58
2013-05-05,70
2013-05-12,67
2013-05-19,69
2013-05-26,51
2013-06-02,52
2013-06-09,45
2013-06-16,34
2013-06-23,24
2013-06-30,32
2013-07-07,39
2013-07-14,25
2013-07-21,30
2013-07-28,32
2013-08-04,32
2013-08-11,31
2013-08-18,26
2013-08-25,19
2013-09-01,23
2013-09-08,29
2013-09-15,22
2013-09-22,19
2013-09-29,21
2013-10-06,11
2013-10-13,15
2013-10-20,30
2013-10-27,18
2013-11-03,12
2013-11-10,26
2013-11-17,36
2013-11-24,19
2013-12-01,16
2013-12-08,16
2013-12-15,18
2013-12-22,13
2013-12-29,22
2014-01-05,25
2014-01-12,32
2014-01-19,35
2014-01-26,36
2014-02-02,37
2014-02-09,41
2014-02-16,44
2014-02-23,52
2014-03-02,34
2014-03-09,60
2014-03-16,43
2014-03-23,82
2014-03-30,68
2014-04-06,81
2014-04-13,65
2014-04-20,82
2014-04-27,100
2014-05-04,94
2014-05-11,91
2014-05-18,84
2014-05-25,91
2014-06-01,98
2014-06-08,61
2014-06-15,53
2014-06-22,40
2014-06-29,51
2014-07-06,54
2014-07-13,54
2014-07-20,43
2014-07-27,55
2014-08-03,58
2014-08-10,48
2014-08-17,43
2014-08-24,49
2014-08-31,34
2014-09-07,43
2014-09-14,40
2014-09-21,45
2014-09-28,47
2014-10-05,44
2014-10-12,54
2014-10-19,69
2014-10-26,59
2014-11-02,68
2014-11-09,48
2014-11-16,46
2014-11-23,32
2014-11-30,35
2014-12-07,41
2014-12-14,30
2014-12-21,37
2014-12-28,31
2015-01-04,14
2015-01-11,12
2015-01-18,14
2015-01-25,16
2015-02-01,16
2015-02-08,19
2015-02-15,20
2015-02-22,28
2015-03-01,33
2015-03-08,41
2015-03-15,55
2015-03-22,59
2015-03-29,56
2015-04-05,65
2015-04-12,78
2015-04-19,80
2015-04-26,64
2015-05-03,92
2015-05-10,87
2015-05-17,86
2015-05-24,89
2015-05-31,72
2015-06-07,56
2015-06-14,56
2015-06-21,38
2015-06-28,39
2015-07-05,67
2015-07-12,82
2015-07-19,70
2015-07-26,65
2015-08-02,49
2015-08-09,35
2015-08-16,36
2015-08-23,39
2015-08-30,28
2015-09-06,29
2015-09-13,30
2015-09-20,26
2015-09-27,17
2015-10-04,20
2015-10-11,18
2015-10-18,25
2015-10-25,24
2015-11-01,21
