Week,buscas
2010-01-03,23
2010-01-10,18
2010-01-17,18
2010-01-24,23
2010-01-31,30
2010-02-07,28
2010-02-14,19
2010-02-21,61
2010-02-28,67
2010-03-07,88
2010-03-14,100
2010-03-21,49
2010-03-28,56
2010-04-04,49
2010-04-11,89
2010-04-18,74
2010-04-25,31
2010-05-02,28
2010-05-09,66
2010-05-16,54
2010-05-23,54
2010-05-30,33
2010-06-06,49
2010-06-13,41
2010-06-20,48
2010-06-27,0
2010-07-04,47
2010-07-11,0
2010-07-18,25
2010-07-25,25
2010-08-01,31
2010-08-08,17
2010-08-15,80
2010-08-22,0
2010-08-29,0
2010-09-05,26
2010-09-12,21
2010-09-19,21
2010-09-26,0
2010-10-03,0
2010-10-10,20
2010-10-17,15
2010-10-24,40
2010-10-31,25
2010-11-07,24
2010-11-14,25
2010-11-21,25
2010-11-28,0
2010-12-05,31
2010-12-12,31
2010-12-19,0
2010-12-26,57
2011-01-02,14
2011-01-09,21
2011-01-16,29
2011-01-23,23
2011-01-30,24
2011-02-06,39
2011-02-13,49
2011-02-20,61
2011-02-27,66
2011-03-06,47
2011-03-13,83
2011-03-20,87
2011-03-27,84
2011-04-03,100
2011-04-10,66
2011-04-17,65
2011-04-24,60
2011-05-01,63
2011-05-08,47
2011-05-15,45
2011-05-22,37
2011-05-29,27
2011-06-05,30
2011-06-12,23
2011-06-19,19
2011-06-26,21
2011-07-03,16
2011-07-10,16
2011-07-17,14
2011-07-24,15
2011-07-31,10
2011-08-07,17
2011-08-14,15
2011-08-21,10
2011-08-28,16
2011-09-04,10
2011-09-11,13
2011-09-18,13
2011-09-25,13
2011-10-02,15
2011-10-09,12
2011-10-16,11
2011-10-23,12
2011-10-30,12
2011-11-06,17
2011-11-13,14
2011-11-20,13
2011-11-27,11
2011-12-04,10
2011-12-11,10
2011-12-18,8
2011-12-25,6
2012-01-01,8
2012-01-08,9
2012-01-15,16
2012-01-22,9
2012-01-29,15
2012-02-05,19
2012-02-12,22
2012-02-19,25
2012-02-26,37
2012-03-04,38
2012-03-11,38
2012-03-18,38
2012-03-25,45
2012-04-01,31
2012-04-08,43
2012-04-15,51
2012-04-22,67
2012-04-29,57
2012-05-06,100
2012-05-13,98
2012-05-20,91
2012-05-27,71
2012-06-03,39
2012-06-10,32
2012-06-17,28
2012-06-24,34
2012-07-01,23
2012-07-08,12
2012-07-15,6
2012-07-22,19
2012-07-29,8
2012-08-05,15
2012-08-12,13
2012-08-19,18
2012-08-26,9
2012-09-02,16
2012-09-09,18
2012-09-16,13
2012-09-23,15
2012-09-30,20
2012-10-07,6
2012-10-14,8
2012-10-21,10
2012-10-28,6
2012-11-04,12
2012-11-11,9
2012-11-18,12
2012-11-25,13
2012-12-02,8
2012-12-09,10
2012-12-16,5
2012-12-23,4
2012-12-30,14
2013-01-06,29
2013-01-13,25
2013-01-20,56
2013-01-27,41
2013-02-03,33
2013-02-10,32
2013-02-17,69
2013-02-24,49
2013-03-03,45
2013-03-10,54
2013-03-17,51
2013-03-24,58
2013-03-31,66
2013-04-07,100
2013-04-14,89
2013-04-21,83
2013-04-28,77
2013-05-05,64
2013-05-12,74
2013-05-19,86
2013-05-26,68
2013-06-02,63
2013-06-09,53
2013-06-16,50
2013-06-23,39
2013-06-30,29
2013-07-07,38
2013-07-14,43
2013-07-21,32
2013-07-28,36
2013-08-04,44
2013-08-11,49
2013-08-18,45
2013-08-25,36
2013-09-01,35
2013-09-08,23
2013-09-15,28
2013-09-22,31
2013-09-29,33
2013-10-06,31
2013-10-13,17
2013-10-20,36
2013-10-27,34
2013-11-03,23
2013-11-10,21
2013-11-17,24
2013-11-24,25
2013-12-01,13
2013-12-08,22
2013-12-15,13
2013-12-22,12
2013-12-29,22
2014-01-05,25
2014-01-12,34
2014-01-19,23
2014-01-26,41
2014-02-02,50
2014-02-09,83
2014-02-16,76
2014-02-23,70
2014-03-02,31
2014-03-09,57
2014-03-16,69
2014-03-23,74
2014-03-30,74
2014-04-06,71
2014-04-13,64
2014-04-20,83
2014-04-27,96
2014-05-04,97
2014-05-11,85
2014-05-18,100
2014-05-25,89
2014-06-01,68
2014-06-08,68
2014-06-15,58
2014-06-22,42
2014-06-29,57
2014-07-06,48
2014-07-13,58
2014-07-20,64
2014-07-27,67
2014-08-03,67
2014-08-10,46
2014-08-17,37
2014-08-24,52
2014-08-31,44
2014-09-07,48
2014-09-14,42
2014-09-21,37
2014-09-28,35
2014-10-05,23
2014-10-12,31
2014-10-19,39
2014-10-26,29
2014-11-02,44
2014-11-09,35
2014-11-16,32
2014-11-23,36
2014-11-30,37
2014-12-07,22
2014-12-14,27
2014-12-21,20
2014-12-28,40
2015-01-04,6
2015-01-11,8
2015-01-18,13
2015-01-25,16
2015-02-01,18
2015-02-08,20
2015-02-15,19
2015-02-22,28
2015-03-01,34
2015-03-08,47
2015-03-15,62
2015-03-22,58
2015-03-29,58
2015-04-05,64
2015-04-12,81
2015-04-19,84
2015-04-26,100
2015-05-03,79
2015-05-10,92
2015-05-17,81
2015-05-24,69
2015-05-31,54
2015-06-07,62
2015-06-14,44
2015-06-21,39
2015-06-28,26
2015-07-05,25
2015-07-12,19
2015-07-19,18
2015-07-26,17
2015-08-02,16
2015-08-09,16
2015-08-16,20
2015-08-23,21
2015-08-30,17
2015-09-06,17
2015-09-13,15
2015-09-20,10
2015-09-27,14
2015-10-04,15
2015-10-11,13
2015-10-18,14
2015-10-25,18
2015-11-01,12
2015-11-08,13
2015-11-15,13
2015-11-22,19
2015-11-29,26
2015-12-06,37
2015-12-13,27
2015-12-20,25
2015-12-27,30
2016-01-03,16
2016-01-10,17
2016-01-17,24
2016-01-24,33
2016-01-31,56
2016-02-07,55
2016-02-14,96
2016-02-21,100
2016-02-28,100
2016-03-06,87
2016-03-13,71
2016-03-20,49
2016-03-27,58
2016-04-03,54
2016-04-10,57
2016-04-17,45
2016-04-24,43
2016-05-01,34
2016-05-08,36
2016-05-15,36
2016-05-22,27
2016-05-29,33
2016-06-05,29
2016-06-12,21
2016-06-19,21
2016-06-26,14
2016-07-03,14
2016-07-10,12
2016-07-17,8
2016-07-24,10
2016-07-31,12
2016-08-07,10
2016-08-14,9
2016-08-21,7
2016-08-28,10
2016-09-04,7
2016-09-11,11
2016-09-18,6
2016-09-25,8
2016-10-02,7
2016-10-09,8
2016-10-16,8
2016-10-23,7
2016-10-30,9
2016-11-06,7
2016-11-13,6
2016-11-20,6
2016-11-27,7
2016-12-04,8
2016-12-11,7
2016-12-18,7
2016-12-25,5
2017-01-01,13
2017-01-08,12
2017-01-15,14
2017-01-22,15
2017-01-29,16
2017-02-05,21
2017-02-12,27
2017-02-19,31
2017-02-26,21
2017-03-05,31
2017-03-12,43
2017-03-19,46
2017-03-26,56
2017-04-02,82
2017-04-09,57
2017-04-16,51
2017-04-23,57
2017-04-30,47
2017-05-07,37
2017-05-14,38
2017-05-21,33
2017-05-28,32
2017-06-04,34
2017-06-11,24
2017-06-18,20
2017-06-25,14
2017-07-02,8
2017-07-09,9
2017-07-16,9
2017-07-23,11
2017-07-30,16
2017-08-06,12
2017-08-13,11
2017-08-20,13
2017-08-27,14
2017-09-03,9
2017-09-10,9
2017-09-17,10
2017-09-24,8
2017-10-01,10
2017-10-08,6
2017-10-15,11
2017-10-22,11
2017-10-29,7
2017-11-05,8
2017-11-12,9
2017-11-19,10
2017-11-26,8
2017-12-03,8
2017-12-10,8
2017-12-17,6
2017-12-24,6
2017-12-31,24
2018-01-07,23
2018-01-14,30
2018-01-21,38
2018-01-28,49
2018-02-04,53
2018-02-11,67
2018-02-18,92
2018-02-25,90
2018-03-04,70
2018-03-11,96
2018-03-18,81
2018-03-25,47
2018-04-01,61
2018-04-08,100
2018-04-15,66
2018-04-22,67
2018-04-29,42
2018-05-06,53
2018-05-13,68
2018-05-20,77
2018-05-27,44
2018-06-03,36
2018-06-10,36
2018-06-17,35
2018-06-24,26
2018-07-01,25
2018-07-08,14
2018-07-15,27
2018-07-22,23
2018-07-29,18
2018-08-05,28
2018-08-12,33
2018-08-19,30
2018-08-26,34
2018-09-02,34
2018-09-09,24
2018-09-16,30
2018-09-23,37
2018-09-30,27
2018-10-07,31
2018-10-14,28
2018-10-21,27
2018-10-28,19
2018-11-04,29
2018-11-11,24
2018-11-18,34
2018-11-25,30
2018-12-02,28
2018-12-09,23
2018-12-16,20
2018-12-23,14
2018-12-30,17
2019-01-06,16
2019-01-13,31
2019-01-20,32
2019-01-27,25
2019-02-03,39
2019-02-10,50
2019-02-17,67
2019-02-24,63
2019-03-03,55
2019-03-10,84
2019-03-17,79
2019-03-24,80
2019-03-31,100
2019-04-07,82
2019-04-14,69
2019-04-21,93
2019-04-28,96
2019-05-05,100
2019-05-12,84
2019-05-19,84
2019-05-26,86
2019-06-02,73
2019-06-09,59
2019-06-16,60
2019-06-23,47
2019-06-30,50
2019-07-07,26
2019-07-14,36
2019-07-21,50
2019-07-28,44
2019-08-04,41
2019-08-11,36
2019-08-18,38
2019-08-25,44
2019-09-01,28
2019-09-08,33
2019-09-15,40
2019-09-22,28
2019-09-29,26
2019-10-06,40
2019-10-13,19
2019-10-20,27
2019-10-27,19
2019-11-03,24
2019-11-10,28
