Week,buscas
2010-01-03,0
2010-01-10,0
2010-01-17,31
2010-01-24,41
2010-01-31,0
2010-02-07,60
2010-02-14,0
2010-02-21,33
2010-02-28,0
2010-03-07,0
2010-03-14,34
2010-03-21,0
2010-03-28,0
2010-04-04,28
2010-04-11,35
2010-04-18,0
2010-04-25,68
2010-05-02,74
2010-05-09,0
2010-05-16,0
2010-05-23,37
2010-05-30,62
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,50
2010-07-04,38
2010-07-11,0
2010-07-18,66
2010-07-25,0
2010-08-01,26
2010-08-08,86
2010-08-15,0
2010-08-22,39
2010-08-29,42
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,30
2010-10-03,0
2010-10-10,0
2010-10-17,22
2010-10-24,0
2010-10-31,35
2010-11-07,49
2010-11-14,48
2010-11-21,26
2010-11-28,0
2010-12-05,28
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,4
2011-01-09,14
2011-01-16,18
2011-01-23,13
2011-01-30,23
2011-02-06,39
2011-02-13,34
2011-02-20,44
2011-02-27,41
2011-03-06,33
2011-03-13,59
2011-03-20,75
2011-03-27,83
2011-04-03,100
2011-04-10,79
2011-04-17,66
2011-04-24,38
2011-05-01,77
2011-05-08,73
2011-05-15,43
2011-05-22,53
2011-05-29,34
2011-06-05,37
2011-06-12,43
2011-06-19,22
2011-06-26,40
2011-07-03,28
2011-07-10,23
2011-07-17,16
2011-07-24,25
2011-07-31,35
2011-08-07,33
2011-08-14,19
2011-08-21,15
2011-08-28,19
2011-09-04,20
2011-09-11,18
2011-09-18,17
2011-09-25,13
2011-10-02,18
2011-10-09,7
2011-10-16,26
2011-10-23,34
2011-10-30,21
2011-11-06,30
2011-11-13,31
2011-11-20,25
2011-11-27,20
2011-12-04,24
2011-12-11,17
2011-12-18,6
2011-12-25,7
2012-01-01,65
2012-01-08,39
2012-01-15,53
2012-01-22,35
2012-01-29,61
2012-02-05,50
2012-02-12,47
2012-02-19,48
2012-02-26,72
2012-03-04,61
2012-03-11,55
2012-03-18,44
2012-03-25,66
2012-04-01,45
2012-04-08,86
2012-04-15,71
2012-04-22,63
2012-04-29,52
2012-05-06,80
2012-05-13,63
2012-05-20,78
2012-05-27,40
2012-06-03,73
2012-06-10,100
2012-06-17,90
2012-06-24,63
2012-07-01,33
2012-07-08,49
2012-07-15,49
2012-07-22,15
2012-07-29,57
2012-08-05,52
2012-08-12,35
2012-08-19,41
2012-08-26,24
2012-09-02,18
2012-09-09,42
2012-09-16,38
2012-09-23,17
2012-09-30,41
2012-10-07,33
2012-10-14,23
2012-10-21,49
2012-10-28,50
2012-11-04,47
2012-11-11,40
2012-11-18,28
2012-11-25,45
2012-12-02,28
2012-12-09,42
2012-12-16,41
2012-12-23,61
2012-12-30,24
2013-01-06,37
2013-01-13,25
2013-01-20,41
2013-01-27,35
2013-02-03,52
2013-02-10,58
2013-02-17,63
2013-02-24,53
2013-03-03,78
2013-03-10,68
2013-03-17,66
2013-03-24,98
2013-03-31,95
2013-04-07,100
2013-04-14,88
2013-04-21,76
2013-04-28,73
2013-05-05,69
2013-05-12,49
2013-05-19,39
2013-05-26,31
2013-06-02,34
2013-06-09,17
2013-06-16,43
2013-06-23,22
2013-06-30,19
2013-07-07,16
2013-07-14,16
2013-07-21,11
2013-07-28,11
2013-08-04,15
2013-08-11,2
2013-08-18,10
2013-08-25,17
2013-09-01,23
2013-09-08,9
2013-09-15,21
2013-09-22,14
2013-09-29,16
2013-10-06,13
2013-10-13,17
2013-10-20,19
2013-10-27,19
2013-11-03,11
2013-11-10,14
2013-11-17,14
2013-11-24,12
2013-12-01,10
2013-12-08,14
2013-12-15,6
2013-12-22,18
2013-12-29,69
2014-01-05,92
2014-01-12,53
2014-01-19,48
2014-01-26,62
2014-02-02,70
2014-02-09,54
2014-02-16,53
2014-02-23,89
2014-03-02,50
2014-03-09,60
2014-03-16,45
2014-03-23,56
2014-03-30,48
2014-04-06,39
2014-04-13,55
2014-04-20,51
2014-04-27,52
2014-05-04,55
2014-05-11,47
2014-05-18,100
2014-05-25,76
2014-06-01,67
2014-06-08,49
2014-06-15,29
2014-06-22,37
2014-06-29,41
2014-07-06,39
2014-07-13,32
2014-07-20,33
2014-07-27,30
2014-08-03,88
2014-08-10,32
2014-08-17,29
2014-08-24,60
2014-08-31,35
2014-09-07,36
2014-09-14,33
2014-09-21,39
2014-09-28,46
2014-10-05,46
2014-10-12,49
2014-10-19,44
2014-10-26,37
2014-11-02,55
2014-11-09,51
2014-11-16,66
2014-11-23,18
2014-11-30,46
2014-12-07,31
2014-12-14,31
2014-12-21,26
2014-12-28,20
2015-01-04,6
2015-01-11,7
2015-01-18,6
2015-01-25,0
2015-02-01,5
2015-02-08,10
2015-02-15,9
2015-02-22,8
2015-03-01,9
2015-03-08,16
2015-03-15,17
2015-03-22,16
2015-03-29,20
2015-04-05,12
2015-04-12,21
2015-04-19,22
2015-04-26,27
2015-05-03,30
2015-05-10,33
2015-05-17,30
2015-05-24,27
2015-05-31,22
2015-06-07,32
2015-06-14,25
2015-06-21,17
2015-06-28,18
2015-07-05,18
2015-07-12,13
2015-07-19,10
2015-07-26,16
2015-08-02,10
2015-08-09,17
2015-08-16,15
2015-08-23,12
2015-08-30,11
2015-09-06,16
2015-09-13,13
2015-09-20,13
2015-09-27,13
2015-10-04,9
2015-10-11,12
2015-10-18,12
2015-10-25,14
2015-11-01,13
2015-11-08,19
2015-11-15,12
2015-11-22,13
2015-11-29,46
2015-12-06,55
2015-12-13,44
2015-12-20,28
2015-12-27,49
2016-01-03,29
2016-01-10,26
2016-01-17,24
2016-01-24,35
2016-01-31,43
2016-02-07,54
2016-02-14,79
2016-02-21,100
2016-02-28,84
2016-03-06,72
2016-03-13,64
2016-03-20,52
2016-03-27,58
2016-04-03,63
2016-04-10,55
2016-04-17,33
2016-04-24,35
2016-05-01,25
2016-05-08,24
2016-05-15,25
2016-05-22,11
2016-05-29,14
2016-06-05,17
2016-06-12,12
2016-06-19,8
2016-06-26,9
2016-07-03,9
2016-07-10,11
2016-07-17,6
2016-07-24,9
2016-07-31,8
2016-08-07,5
2016-08-14,10
2016-08-21,3
2016-08-28,7
2016-09-04,6
2016-09-11,7
2016-09-18,8
2016-09-25,7
2016-10-02,5
2016-10-09,6
2016-10-16,9
2016-10-23,8
2016-10-30,6
2016-11-06,6
2016-11-13,5
2016-11-20,7
2016-11-27,11
2016-12-04,9
2016-12-11,8
2016-12-18,11
2016-12-25,10
2017-01-01,80
2017-01-08,92
2017-01-15,71
2017-01-22,58
2017-01-29,71
2017-02-05,60
2017-02-12,58
2017-02-19,87
2017-02-26,88
2017-03-05,95
2017-03-12,97
2017-03-19,86
2017-03-26,75
2017-04-02,99
2017-04-09,78
2017-04-16,71
2017-04-23,82
2017-04-30,87
2017-05-07,85
2017-05-14,50
2017-05-21,50
2017-05-28,73
2017-06-04,51
2017-06-11,42
2017-06-18,65
2017-06-25,48
2017-07-02,12
2017-07-09,48
2017-07-16,38
