Week,buscas
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,48
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,59
2010-04-18,0
2010-04-25,34
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,62
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,31
2010-08-22,0
2010-08-29,0
2010-09-05,100
2010-09-12,0
2010-09-19,61
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,62
2010-12-26,0
2011-01-02,19
2011-01-09,18
2011-01-16,37
2011-01-23,35
2011-01-30,24
2011-02-06,22
2011-02-13,39
2011-02-20,55
2011-02-27,52
2011-03-06,56
2011-03-13,62
2011-03-20,52
2011-03-27,83
2011-04-03,100
2011-04-10,68
2011-04-17,53
2011-04-24,74
2011-05-01,64
2011-05-08,20
2011-05-15,45
2011-05-22,61
2011-05-29,43
2011-06-05,49
2011-06-12,38
2011-06-19,34
2011-06-26,37
2011-07-03,36
2011-07-10,17
2011-07-17,13
2011-07-24,41
2011-07-31,19
2011-08-07,35
2011-08-14,34
2011-08-21,31
2011-08-28,28
2011-09-04,15
2011-09-11,34
2011-09-18,31
2011-09-25,18
2011-10-02,18
2011-10-09,25
2011-10-16,23
2011-10-23,19
2011-10-30,9
2011-11-06,0
2011-11-13,32
2011-11-20,0
2011-11-27,16
2011-12-04,29
2011-12-11,23
2011-12-18,0
2011-12-25,9
2012-01-01,57
2012-01-08,60
2012-01-15,32
2012-01-22,35
2012-01-29,25
2012-02-05,0
2012-02-12,47
2012-02-19,54
2012-02-26,30
2012-03-04,58
2012-03-11,23
2012-03-18,100
2012-03-25,92
2012-04-01,67
2012-04-08,47
2012-04-15,52
2012-04-22,68
2012-04-29,69
2012-05-06,49
2012-05-13,51
2012-05-20,40
2012-05-27,52
2012-06-03,25
2012-06-10,26
2012-06-17,43
2012-06-24,29
2012-07-01,34
2012-07-08,35
2012-07-15,0
2012-07-22,25
2012-07-29,24
2012-08-05,31
2012-08-12,15
2012-08-19,65
2012-08-26,41
2012-09-02,0
2012-09-09,37
2012-09-16,48
2012-09-23,22
2012-09-30,13
2012-10-07,0
2012-10-14,25
2012-10-21,45
2012-10-28,44
2012-11-04,17
2012-11-11,19
2012-11-18,16
2012-11-25,0
2012-12-02,24
2012-12-09,24
2012-12-16,30
2012-12-23,0
2012-12-30,26
2013-01-06,76
2013-01-13,26
2013-01-20,50
2013-01-27,38
2013-02-03,52
2013-02-10,48
2013-02-17,15
2013-02-24,47
2013-03-03,32
2013-03-10,91
2013-03-17,51
2013-03-24,86
2013-03-31,73
2013-04-07,100
2013-04-14,80
2013-04-21,59
2013-04-28,86
2013-05-05,94
2013-05-12,70
2013-05-19,59
2013-05-26,35
2013-06-02,29
2013-06-09,56
2013-06-16,32
2013-06-23,0
2013-06-30,61
2013-07-07,0
2013-07-14,15
2013-07-21,16
2013-07-28,24
2013-08-04,35
2013-08-11,24
2013-08-18,40
2013-08-25,37
2013-09-01,33
2013-09-08,21
2013-09-15,15
2013-09-22,0
2013-09-29,13
2013-10-06,22
2013-10-13,0
2013-10-20,34
2013-10-27,31
2013-11-03,17
2013-11-10,36
2013-11-17,31
2013-11-24,32
2013-12-01,26
2013-12-08,17
2013-12-15,0
2013-12-22,13
2013-12-29,0
2014-01-05,0
2014-01-12,38
2014-01-19,57
2014-01-26,52
2014-02-02,38
2014-02-09,72
2014-02-16,0
2014-02-23,61
2014-03-02,20
2014-03-09,41
2014-03-16,64
2014-03-23,38
2014-03-30,79
2014-04-06,100
2014-04-13,81
2014-04-20,41
2014-04-27,56
2014-05-04,69
2014-05-11,45
2014-05-18,80
2014-05-25,89
2014-06-01,57
2014-06-08,33
2014-06-15,16
2014-06-22,39
2014-06-29,55
2014-07-06,24
2014-07-13,47
2014-07-20,65
2014-07-27,67
2014-08-03,70
2014-08-10,34
2014-08-17,37
2014-08-24,59
2014-08-31,0
2014-09-07,35
2014-09-14,65
2014-09-21,41
2014-09-28,21
2014-10-05,71
2014-10-12,33
2014-10-19,61
2014-10-26,29
2014-11-02,72
2014-11-09,15
2014-11-16,48
2014-11-23,37
2014-11-30,67
2014-12-07,44
2014-12-14,0
2014-12-21,72
2014-12-28,37
2015-01-04,9
2015-01-11,21
2015-01-18,14
2015-01-25,15
2015-02-01,17
2015-02-08,19
2015-02-15,24
2015-02-22,54
2015-03-01,37
2015-03-08,63
2015-03-15,63
2015-03-22,84
2015-03-29,47
2015-04-05,78
2015-04-12,89
2015-04-19,79
2015-04-26,100
2015-05-03,66
2015-05-10,53
2015-05-17,51
2015-05-24,55
2015-05-31,31
2015-06-07,33
2015-06-14,34
2015-06-21,36
2015-06-28,19
2015-07-05,22
2015-07-12,19
2015-07-19,8
2015-07-26,18
2015-08-02,0
2015-08-09,19
2015-08-16,16
2015-08-23,11
2015-08-30,7
2015-09-06,16
2015-09-13,31
2015-09-20,14
2015-09-27,0
2015-10-04,0
2015-10-11,9
2015-10-18,10
2015-10-25,7
2015-11-01,12
2015-11-08,9
2015-11-15,12
2015-11-22,14
2015-11-29,43
2015-12-06,44
2015-12-13,20
2015-12-20,23
2015-12-27,25
2016-01-03,12
2016-01-10,14
2016-01-17,18
2016-01-24,20
2016-01-31,32
2016-02-07,44
2016-02-14,85
2016-02-21,80
2016-02-28,100
2016-03-06,78
2016-03-13,86
2016-03-20,54
2016-03-27,70
2016-04-03,92
2016-04-10,78
2016-04-17,48
2016-04-24,51
2016-05-01,34
2016-05-08,43
2016-05-15,34
2016-05-22,25
2016-05-29,28
2016-06-05,21
2016-06-12,20
2016-06-19,14
2016-06-26,15
2016-07-03,10
2016-07-10,6
2016-07-17,7
2016-07-24,6
2016-07-31,9
2016-08-07,7
2016-08-14,6
2016-08-21,10
2016-08-28,11
2016-09-04,12
2016-09-11,4
2016-09-18,9
2016-09-25,5
2016-10-02,7
2016-10-09,8
2016-10-16,5
2016-10-23,7
2016-10-30,4
2016-11-06,7
2016-11-13,0
2016-11-20,8
2016-11-27,7
2016-12-04,6
2016-12-11,4
2016-12-18,2
2016-12-25,9
2017-01-01,9
2017-01-08,28
2017-01-15,32
2017-01-22,37
2017-01-29,55
2017-02-05,47
2017-02-12,71
2017-02-19,76
2017-02-26,15
2017-03-05,74
2017-03-12,94
2017-03-19,72
2017-03-26,46
2017-04-02,100
2017-04-09,63
2017-04-16,52
2017-04-23,42
2017-04-30,64
2017-05-07,50
2017-05-14,27
2017-05-21,30
2017-05-28,51
2017-06-04,46
2017-06-11,46
2017-06-18,27
2017-06-25,14
2017-07-02,36
2017-07-09,6
2017-07-16,0
