Week,buscas
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,85
2010-02-07,37
2010-02-14,36
2010-02-21,54
2010-02-28,27
2010-03-07,24
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,25
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,40
2010-06-27,0
2010-07-04,28
2010-07-11,68
2010-07-18,47
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,52
2010-08-29,19
2010-09-05,32
2010-09-12,20
2010-09-19,0
2010-09-26,0
2010-10-03,29
2010-10-10,0
2010-10-17,36
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,34
2010-11-21,0
2010-11-28,25
2010-12-05,0
2010-12-12,89
2010-12-19,0
2010-12-26,24
2011-01-02,16
2011-01-09,37
2011-01-16,46
2011-01-23,76
2011-01-30,71
2011-02-06,49
2011-02-13,86
2011-02-20,100
2011-02-27,73
2011-03-06,66
2011-03-13,63
2011-03-20,80
2011-03-27,78
2011-04-03,81
2011-04-10,53
2011-04-17,41
2011-04-24,40
2011-05-01,0
2011-05-08,29
2011-05-15,40
2011-05-22,46
2011-05-29,40
2011-06-05,28
2011-06-12,24
2011-06-19,21
2011-06-26,34
2011-07-03,28
2011-07-10,0
2011-07-17,0
2011-07-24,14
2011-07-31,30
2011-08-07,0
2011-08-14,19
2011-08-21,23
2011-08-28,17
2011-09-04,16
2011-09-11,22
2011-09-18,28
2011-09-25,32
2011-10-02,15
2011-10-09,18
2011-10-16,15
2011-10-23,14
2011-10-30,7
2011-11-06,23
2011-11-13,44
2011-11-20,0
2011-11-27,31
2011-12-04,37
2011-12-11,12
2011-12-18,25
2011-12-25,19
2012-01-01,52
2012-01-08,37
2012-01-15,51
2012-01-22,53
2012-01-29,88
2012-02-05,68
2012-02-12,75
2012-02-19,54
2012-02-26,64
2012-03-04,100
2012-03-11,99
2012-03-18,83
2012-03-25,72
2012-04-01,73
2012-04-08,76
2012-04-15,63
2012-04-22,86
2012-04-29,73
2012-05-06,39
2012-05-13,46
2012-05-20,53
2012-05-27,53
2012-06-03,43
2012-06-10,54
2012-06-17,40
2012-06-24,34
2012-07-01,14
2012-07-08,52
2012-07-15,0
2012-07-22,19
2012-07-29,26
2012-08-05,0
2012-08-12,26
2012-08-19,26
2012-08-26,76
2012-09-02,21
2012-09-09,28
2012-09-16,22
2012-09-23,32
2012-09-30,30
2012-10-07,0
2012-10-14,9
2012-10-21,9
2012-10-28,31
2012-11-04,29
2012-11-11,24
2012-11-18,13
2012-11-25,49
2012-12-02,46
2012-12-09,0
2012-12-16,10
2012-12-23,0
2012-12-30,39
2013-01-06,24
2013-01-13,79
2013-01-20,33
2013-01-27,82
2013-02-03,75
2013-02-10,55
2013-02-17,84
2013-02-24,62
2013-03-03,97
2013-03-10,78
2013-03-17,78
2013-03-24,72
2013-03-31,83
2013-04-07,41
2013-04-14,93
2013-04-21,58
2013-04-28,76
2013-05-05,100
2013-05-12,76
2013-05-19,65
2013-05-26,45
2013-06-02,54
2013-06-09,41
2013-06-16,41
2013-06-23,23
2013-06-30,23
2013-07-07,14
2013-07-14,27
2013-07-21,34
2013-07-28,0
2013-08-04,13
2013-08-11,19
2013-08-18,12
2013-08-25,16
2013-09-01,28
2013-09-08,0
2013-09-15,24
2013-09-22,24
2013-09-29,0
2013-10-06,0
2013-10-13,22
2013-10-20,44
2013-10-27,28
2013-11-03,26
2013-11-10,35
2013-11-17,32
2013-11-24,45
2013-12-01,16
2013-12-08,0
2013-12-15,0
2013-12-22,18
2013-12-29,36
2014-01-05,41
2014-01-12,59
2014-01-19,23
2014-01-26,90
2014-02-02,100
2014-02-09,95
2014-02-16,63
2014-02-23,78
2014-03-02,57
2014-03-09,58
2014-03-16,52
2014-03-23,54
2014-03-30,53
2014-04-06,70
2014-04-13,47
2014-04-20,81
2014-04-27,82
2014-05-04,43
2014-05-11,58
2014-05-18,55
2014-05-25,53
2014-06-01,54
2014-06-08,48
2014-06-15,73
2014-06-22,67
2014-06-29,52
2014-07-06,32
2014-07-13,34
2014-07-20,45
2014-07-27,62
2014-08-03,48
2014-08-10,29
2014-08-17,16
2014-08-24,57
2014-08-31,29
2014-09-07,44
2014-09-14,31
2014-09-21,31
2014-09-28,21
2014-10-05,55
2014-10-12,56
2014-10-19,15
2014-10-26,41
2014-11-02,47
2014-11-09,37
2014-11-16,26
2014-11-23,49
2014-11-30,29
2014-12-07,42
2014-12-14,15
2014-12-21,30
2014-12-28,34
2015-01-04,14
2015-01-11,11
2015-01-18,20
2015-01-25,18
2015-02-01,21
2015-02-08,10
2015-02-15,34
2015-02-22,38
2015-03-01,23
2015-03-08,62
2015-03-15,82
2015-03-22,60
2015-03-29,53
2015-04-05,54
2015-04-12,41
2015-04-19,56
2015-04-26,55
2015-05-03,50
2015-05-10,39
2015-05-17,36
2015-05-24,50
2015-05-31,34
2015-06-07,37
2015-06-14,29
2015-06-21,40
2015-06-28,16
2015-07-05,22
2015-07-12,20
2015-07-19,16
2015-07-26,19
2015-08-02,25
2015-08-09,19
2015-08-16,24
2015-08-23,23
2015-08-30,8
2015-09-06,17
2015-09-13,32
2015-09-20,12
2015-09-27,20
2015-10-04,13
2015-10-11,17
2015-10-18,11
2015-10-25,21
2015-11-01,25
2015-11-08,27
2015-11-15,23
2015-11-22,24
2015-11-29,41
2015-12-06,56
2015-12-13,31
2015-12-20,33
2015-12-27,22
2016-01-03,25
2016-01-10,22
2016-01-17,29
2016-01-24,37
2016-01-31,48
2016-02-07,54
2016-02-14,89
2016-02-21,82
2016-02-28,74
2016-03-06,73
2016-03-13,59
2016-03-20,39
2016-03-27,41
2016-04-03,46
2016-04-10,42
2016-04-17,32
2016-04-24,31
2016-05-01,27
2016-05-08,18
2016-05-15,28
2016-05-22,20
2016-05-29,22
2016-06-05,12
2016-06-12,13
2016-06-19,14
2016-06-26,14
2016-07-03,6
2016-07-10,5
2016-07-17,5
2016-07-24,7
2016-07-31,4
2016-08-07,7
2016-08-14,6
2016-08-21,8
2016-08-28,11
2016-09-04,9
2016-09-11,9
2016-09-18,9
2016-09-25,9
2016-10-02,8
2016-10-09,5
2016-10-16,8
2016-10-23,8
2016-10-30,13
2016-11-06,10
2016-11-13,8
2016-11-20,11
2016-11-27,10
2016-12-04,6
2016-12-11,8
2016-12-18,7
2016-12-25,8
2017-01-01,44
2017-01-08,44
2017-01-15,48
2017-01-22,69
2017-01-29,60
2017-02-05,100
2017-02-12,100
2017-02-19,89
2017-02-26,87
2017-03-05,84
2017-03-12,86
2017-03-19,78
2017-03-26,70
2017-04-02,76
2017-04-09,48
2017-04-16,40
2017-04-23,52
2017-04-30,29
2017-05-07,51
2017-05-14,29
2017-05-21,25
2017-05-28,25
2017-06-04,38
2017-06-11,15
2017-06-18,35
2017-06-25,26
2017-07-02,10
2017-07-09,12
2017-07-16,12
