Week,buscas
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,30
2010-11-21,0
2010-11-28,0
2010-12-05,39
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,43
2011-01-09,0
2011-01-16,0
2011-01-23,0
2011-01-30,0
2011-02-06,0
2011-02-13,0
2011-02-20,0
2011-02-27,83
2011-03-06,0
2011-03-13,0
2011-03-20,0
2011-03-27,0
2011-04-03,0
2011-04-10,0
2011-04-17,74
2011-04-24,0
2011-05-01,53
2011-05-08,0
2011-05-15,0
2011-05-22,29
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,32
2011-06-26,0
2011-07-03,0
2011-07-10,0
2011-07-17,0
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,0
2011-09-11,0
2011-09-18,24
2011-09-25,0
2011-10-02,0
2011-10-09,0
2011-10-16,0
2011-10-23,18
2011-10-30,0
2011-11-06,41
2011-11-13,32
2011-11-20,17
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,64
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,27
2012-04-01,0
2012-04-08,68
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,41
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,39
2012-06-17,39
2012-06-24,64
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,29
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,65
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,34
2012-12-30,0
2013-01-06,16
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,23
2013-02-24,16
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,20
2013-04-07,0
2013-04-14,50
2013-04-21,38
2013-04-28,27
2013-05-05,22
2013-05-12,39
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,25
2013-06-16,0
2013-06-23,0
2013-06-30,17
2013-07-07,0
2013-07-14,0
2013-07-21,12
2013-07-28,23
2013-08-04,20
2013-08-11,16
2013-08-18,0
2013-08-25,16
2013-09-01,42
2013-09-08,19
2013-09-15,0
2013-09-22,10
2013-09-29,0
2013-10-06,0
2013-10-13,14
2013-10-20,0
2013-10-27,9
2013-11-03,10
2013-11-10,16
2013-11-17,0
2013-11-24,13
2013-12-01,14
2013-12-08,0
2013-12-15,0
2013-12-22,0
2013-12-29,62
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,21
2014-03-23,47
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,46
2014-04-27,27
2014-05-04,100
2014-05-11,51
2014-05-18,0
2014-05-25,51
2014-06-01,28
2014-06-08,0
2014-06-15,0
2014-06-22,33
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,42
2014-08-03,0
2014-08-10,27
2014-08-17,28
2014-08-24,0
2014-08-31,0
2014-09-07,0
2014-09-14,0
2014-09-21,23
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,23
2014-11-02,0
2014-11-09,0
2014-11-16,54
2014-11-23,0
2014-11-30,0
2014-12-07,41
2014-12-14,0
2014-12-21,44
2014-12-28,44
2015-01-04,43
2015-01-11,42
2015-01-18,0
2015-01-25,0
2015-02-01,21
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,85
2015-04-26,0
2015-05-03,100
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,26
2015-06-07,0
2015-06-14,23
2015-06-21,26
2015-06-28,0
2015-07-05,0
2015-07-12,17
2015-07-19,0
2015-07-26,37
2015-08-02,27
2015-08-09,22
2015-08-16,44
2015-08-23,0
2015-08-30,0
2015-09-06,26
2015-09-13,45
2015-09-20,0
2015-09-27,41
2015-10-04,32
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,59
2015-11-08,40
2015-11-15,36
2015-11-22,0
2015-11-29,38
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,24
2016-01-10,0
2016-01-17,27
2016-01-24,31
2016-01-31,23
2016-02-07,23
2016-02-14,100
2016-02-21,47
2016-02-28,41
2016-03-06,34
2016-03-13,0
2016-03-20,54
2016-03-27,0
2016-04-03,0
2016-04-10,32
2016-04-17,23
2016-04-24,25
2016-05-01,40
2016-05-08,0
2016-05-15,59
2016-05-22,19
2016-05-29,0
2016-06-05,0
2016-06-12,29
2016-06-19,0
2016-06-26,19
2016-07-03,20
2016-07-10,0
2016-07-17,0
2016-07-24,53
2016-07-31,0
2016-08-07,17
2016-08-14,0
2016-08-21,16
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,18
2016-09-25,0
2016-10-02,32
2016-10-09,21
2016-10-16,0
2016-10-23,0
2016-10-30,50
2016-11-06,0
2016-11-13,0
2016-11-20,36
2016-11-27,39
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,48
2017-02-05,0
2017-02-12,17
2017-02-19,56
2017-02-26,0
2017-03-05,0
2017-03-12,31
2017-03-19,28
2017-03-26,76
2017-04-02,100
2017-04-09,59
2017-04-16,18
2017-04-23,28
2017-04-30,0
2017-05-07,49
2017-05-14,30
2017-05-21,67
2017-05-28,49
2017-06-04,50
2017-06-11,0
2017-06-18,18
2017-06-25,38
2017-07-02,0
2017-07-09,64
2017-07-16,28
2017-07-23,55
2017-07-30,28
2017-08-06,0
2017-08-13,0
2017-08-20,55
2017-08-27,42
2017-09-03,32
2017-09-10,64
2017-09-17,16
2017-09-24,0
2017-10-01,27
2017-10-08,0
2017-10-15,66
2017-10-22,22
2017-10-29,0
2017-11-05,0
2017-11-12,54
2017-11-19,19
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,65
2017-12-24,0
2017-12-31,51
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,100
2018-02-11,47
2018-02-18,76
2018-02-25,0
2018-03-04,34
2018-03-11,37
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,61
2018-04-15,32
2018-04-22,0
2018-04-29,32
2018-05-06,37
2018-05-13,21
2018-05-20,49
2018-05-27,0
2018-06-03,33
2018-06-10,0
2018-06-17,34
2018-06-24,43
2018-07-01,24
2018-07-08,37
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,52
2018-08-12,23
2018-08-19,29
2018-08-26,29
2018-09-02,0
2018-09-09,25
2018-09-16,0
2018-09-23,36
2018-09-30,0
2018-10-07,34
2018-10-14,23
2018-10-21,20
2018-10-28,0
2018-11-04,0
2018-11-11,26
2018-11-18,0
2018-11-25,60
2018-12-02,76
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,24
2019-01-27,25
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,25
2019-03-03,42
2019-03-10,0
2019-03-17,0
2019-03-24,21
2019-03-31,39
2019-04-07,27
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,38
2019-05-12,0
2019-05-19,39
2019-05-26,0
2019-06-02,45
2019-06-09,99
2019-06-16,0
2019-06-23,52
2019-06-30,0
2019-07-07,0
2019-07-14,100
2019-07-21,0
2019-07-28,29
2019-08-04,40
2019-08-11,0
2019-08-18,0
2019-08-25,37
2019-09-01,35
2019-09-08,38
2019-09-15,34
2019-09-22,25
2019-09-29,28
2019-10-06,28
2019-10-13,40
2019-10-20,31
2019-10-27,34
2019-11-03,0
2019-11-10,29
2019-11-17,0
2019-11-24,65
2019-12-01,32
2019-12-08,17
2019-12-15,33
2019-12-22,0
2019-12-29,49
2020-01-05,0
2020-01-12,98
2020-01-19,61
2020-01-26,29
2020-02-02,48
2020-02-09,20
2020-02-16,84
2020-02-23,26
2020-03-01,26
2020-03-08,0
2020-03-15,73
2020-03-22,30
2020-03-29,39
2020-04-05,23
2020-04-12,0
2020-04-19,49
2020-04-26,57
2020-05-03,37
2020-05-10,84
2020-05-17,63
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,22
2020-06-21,0
2020-06-28,42
2020-07-05,57
2020-07-12,0
2020-07-19,17
2020-07-26,0
2020-08-02,57
2020-08-09,45
2020-08-16,0
2020-08-23,38
2020-08-30,0
2020-09-06,0
2020-09-13,27
2020-09-20,28
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,27
2020-10-25,0
2020-11-01,0
2020-11-08,37
2020-11-15,82
2020-11-22,0
2020-11-29,0
2020-12-06,44
2020-12-13,0
2020-12-20,20
2020-12-27,41
2021-01-03,100
2021-01-10,70
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,30
2021-02-14,38
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,31
2021-03-21,24
2021-03-28,56
2021-04-04,0
2021-04-11,41
2021-04-18,0
2021-04-25,68
2021-05-02,38
2021-05-09,28
2021-05-16,50
2021-05-23,23
2021-05-30,41
2021-06-06,32
2021-06-13,0
2021-06-20,51
2021-06-27,0
2021-07-04,63
2021-07-11,0
2021-07-18,0
2021-07-25,90
2021-08-01,50
2021-08-08,26
2021-08-15,43
2021-08-22,32
2021-08-29,0
2021-09-05,75
2021-09-12,52
2021-09-19,32
2021-09-26,90
2021-10-03,28
2021-10-10,29
2021-10-17,50
2021-10-24,0
2021-10-31,61
2021-11-07,0
2021-11-14,64
2021-11-21,94
2021-11-28,31
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,50
2022-01-16,36
2022-01-23,43
2022-01-30,0
2022-02-06,0
2022-02-13,25
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,66
2022-03-20,0
2022-03-27,35
2022-04-03,16
2022-04-10,21
2022-04-17,34
2022-04-24,17
2022-05-01,0
2022-05-08,20
2022-05-15,39
2022-05-22,63
2022-05-29,100
2022-06-05,55
2022-06-12,61
2022-06-19,74
2022-06-26,70
2022-07-03,22
2022-07-10,49
2022-07-17,21
2022-07-24,69
2022-07-31,0
2022-08-07,54
2022-08-14,53
2022-08-21,42
2022-08-28,0
2022-09-04,0
2022-09-11,32
2022-09-18,22
2022-09-25,0
2022-10-02,0
2022-10-09,18
2022-10-16,95
2022-10-23,0
2022-10-30,30
2022-11-06,0
2022-11-13,0
2022-11-20,24
2022-11-27,45
2022-12-04,27
2022-12-11,27
2022-12-18,0
2022-12-25,23
