Week,buscas
2010-01-03,47
2010-01-10,0
2010-01-17,0
2010-01-24,74
2010-01-31,60
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,51
2010-03-07,100
2010-03-14,30
2010-03-21,65
2010-03-28,26
2010-04-04,53
2010-04-11,94
2010-04-18,38
2010-04-25,29
2010-05-02,39
2010-05-09,40
2010-05-16,40
2010-05-23,0
2010-05-30,44
2010-06-06,53
2010-06-13,73
2010-06-20,29
2010-06-27,0
2010-07-04,55
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,22
2010-08-22,30
2010-08-29,37
2010-09-05,60
2010-09-12,0
2010-09-19,32
2010-09-26,72
2010-10-03,44
2010-10-10,0
2010-10-17,21
2010-10-24,48
2010-10-31,75
2010-11-07,46
2010-11-14,55
2010-11-21,95
2010-11-28,0
2010-12-05,0
2010-12-12,35
2010-12-19,0
2010-12-26,32
2011-01-02,32
2011-01-09,39
2011-01-16,49
2011-01-23,26
2011-01-30,35
2011-02-06,76
2011-02-13,23
2011-02-20,75
2011-02-27,88
2011-03-06,51
2011-03-13,100
2011-03-20,92
2011-03-27,89
2011-04-03,96
2011-04-10,82
2011-04-17,48
2011-04-24,69
2011-05-01,64
2011-05-08,88
2011-05-15,64
2011-05-22,39
2011-05-29,50
2011-06-05,23
2011-06-12,43
2011-06-19,39
2011-06-26,39
2011-07-03,59
2011-07-10,51
2011-07-17,35
2011-07-24,32
2011-07-31,39
2011-08-07,42
2011-08-14,30
2011-08-21,25
2011-08-28,26
2011-09-04,13
2011-09-11,10
2011-09-18,34
2011-09-25,31
2011-10-02,24
2011-10-09,35
2011-10-16,44
2011-10-23,57
2011-10-30,42
2011-11-06,54
2011-11-13,26
2011-11-20,50
2011-11-27,37
2011-12-04,43
2011-12-11,29
2011-12-18,33
2011-12-25,32
2012-01-01,63
2012-01-08,48
2012-01-15,40
2012-01-22,31
2012-01-29,16
2012-02-05,43
2012-02-12,70
2012-02-19,34
2012-02-26,49
2012-03-04,46
2012-03-11,52
2012-03-18,100
2012-03-25,64
2012-04-01,44
2012-04-08,89
2012-04-15,73
2012-04-22,67
2012-04-29,59
2012-05-06,61
2012-05-13,88
2012-05-20,96
2012-05-27,89
2012-06-03,63
2012-06-10,38
2012-06-17,54
2012-06-24,43
2012-07-01,46
2012-07-08,20
2012-07-15,16
2012-07-22,15
2012-07-29,29
2012-08-05,24
2012-08-12,15
2012-08-19,39
2012-08-26,0
2012-09-02,46
2012-09-09,7
2012-09-16,51
2012-09-23,23
2012-09-30,28
2012-10-07,37
2012-10-14,20
2012-10-21,43
2012-10-28,23
2012-11-04,31
2012-11-11,24
2012-11-18,27
2012-11-25,30
2012-12-02,16
2012-12-09,18
2012-12-16,15
2012-12-23,0
2012-12-30,18
2013-01-06,19
2013-01-13,17
2013-01-20,24
2013-01-27,18
2013-02-03,19
2013-02-10,20
2013-02-17,25
2013-02-24,37
2013-03-03,33
2013-03-10,34
2013-03-17,47
2013-03-24,51
2013-03-31,53
2013-04-07,67
2013-04-14,100
2013-04-21,80
2013-04-28,61
2013-05-05,45
2013-05-12,40
2013-05-19,36
2013-05-26,26
2013-06-02,31
2013-06-09,37
2013-06-16,29
2013-06-23,20
2013-06-30,11
2013-07-07,22
2013-07-14,12
2013-07-21,0
2013-07-28,15
2013-08-04,14
2013-08-11,13
2013-08-18,14
2013-08-25,13
2013-09-01,9
2013-09-08,14
2013-09-15,17
2013-09-22,11
2013-09-29,10
2013-10-06,8
2013-10-13,4
2013-10-20,17
2013-10-27,14
2013-11-03,10
2013-11-10,13
2013-11-17,11
2013-11-24,22
2013-12-01,19
2013-12-08,13
2013-12-15,8
2013-12-22,0
2013-12-29,31
2014-01-05,50
2014-01-12,45
2014-01-19,31
2014-01-26,35
2014-02-02,17
2014-02-09,30
2014-02-16,34
2014-02-23,52
2014-03-02,36
2014-03-09,86
2014-03-16,71
2014-03-23,80
2014-03-30,91
2014-04-06,100
2014-04-13,65
2014-04-20,87
2014-04-27,80
2014-05-04,82
2014-05-11,64
2014-05-18,76
2014-05-25,59
2014-06-01,64
2014-06-08,52
2014-06-15,18
2014-06-22,36
2014-06-29,55
2014-07-06,36
2014-07-13,20
2014-07-20,39
2014-07-27,35
2014-08-03,46
2014-08-10,43
2014-08-17,26
2014-08-24,43
2014-08-31,38
2014-09-07,27
2014-09-14,30
2014-09-21,36
2014-09-28,35
2014-10-05,29
2014-10-12,42
2014-10-19,35
2014-10-26,42
2014-11-02,61
2014-11-09,40
2014-11-16,52
2014-11-23,36
2014-11-30,24
2014-12-07,33
2014-12-14,36
2014-12-21,22
2014-12-28,34
2015-01-04,17
2015-01-11,15
2015-01-18,20
2015-01-25,31
2015-02-01,80
2015-02-08,83
2015-02-15,61
2015-02-22,70
2015-03-01,82
2015-03-08,82
2015-03-15,85
2015-03-22,91
2015-03-29,64
2015-04-05,80
2015-04-12,95
2015-04-19,70
2015-04-26,73
2015-05-03,75
2015-05-10,69
2015-05-17,61
2015-05-24,44
2015-05-31,40
2015-06-07,39
2015-06-14,37
2015-06-21,23
2015-06-28,22
2015-07-05,20
2015-07-12,14
2015-07-19,13
2015-07-26,11
2015-08-02,15
2015-08-09,13
2015-08-16,18
2015-08-23,14
2015-08-30,10
